"Date","UUID","Major","Minor","RSSI"
"2022-05-11T00:28:50.165","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-68"
"2022-05-11T00:28:51.218","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T00:28:53.432","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-63"
"2022-05-11T00:28:54.552","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67"
"2022-05-11T00:28:55.659","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-65"
"2022-05-11T00:28:56.766","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64"
"2022-05-11T00:28:57.878","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-65"
"2022-05-11T00:28:58.986","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-65"
"2022-05-11T00:29:02.316","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T00:29:03.426","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-68"
"2022-05-11T00:29:05.644","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71"
"2022-05-11T00:29:06.762","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T00:29:07.880","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64"
"2022-05-11T00:29:08.982","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64"
"2022-05-11T00:29:10.089","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64"
"2022-05-11T00:29:11.197","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70"
"2022-05-11T00:29:12.319","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67"
"2022-05-11T00:29:13.424","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-76"
"2022-05-11T00:29:14.536","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-68"
"2022-05-11T00:29:15.657","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-68"
"2022-05-11T00:29:16.763","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70"
"2022-05-11T00:29:17.877","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70"
"2022-05-11T00:29:18.987","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-69"
"2022-05-11T00:29:20.097","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-74"
"2022-05-11T00:29:21.206","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70"
"2022-05-11T00:29:22.311","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70"
"2022-05-11T00:29:23.420","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-65"
"2022-05-11T00:29:25.633","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67"
