"Date","UUID","Major","Minor","RSSI"
"2022-05-11T05:28:16.085","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-65"
"2022-05-11T05:28:17.163","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T05:28:18.276","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-69"
"2022-05-11T05:28:19.384","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-72"
"2022-05-11T05:28:21.596","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-75"
"2022-05-11T05:28:22.706","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-78"
"2022-05-11T05:28:23.818","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-65"
"2022-05-11T05:28:24.933","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T05:28:26.036","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-65"
"2022-05-11T05:28:27.149","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T05:28:28.256","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-81"
"2022-05-11T05:28:29.364","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-81"
"2022-05-11T05:28:30.475","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-77"
"2022-05-11T05:28:31.581","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T05:28:32.689","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T05:28:33.796","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T05:28:36.011","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-68"
"2022-05-11T05:28:37.122","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T05:28:38.228","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67"
"2022-05-11T05:28:39.337","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T05:28:40.444","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-75"
"2022-05-11T05:28:41.557","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-81"
"2022-05-11T05:28:42.667","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-76"
"2022-05-11T05:28:43.770","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-68"
"2022-05-11T05:28:44.880","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67"
"2022-05-11T05:28:45.987","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-69"
"2022-05-11T05:28:47.094","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-68"
"2022-05-11T05:28:48.206","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70"
"2022-05-11T05:28:49.314","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-78"
"2022-05-11T05:28:50.425","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-77"
"2022-05-11T05:28:51.535","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-75"
"2022-05-11T05:28:52.643","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64"
"2022-05-11T05:28:53.755","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-65"
"2022-05-11T05:28:54.859","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-65"
"2022-05-11T05:28:55.967","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T05:28:57.077","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67"
"2022-05-11T05:28:58.191","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-72"
"2022-05-11T05:28:59.301","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-68"
"2022-05-11T05:29:00.409","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-74"
"2022-05-11T05:29:01.523","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-77"
"2022-05-11T05:29:02.631","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73"
"2022-05-11T05:29:03.740","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-74"
"2022-05-11T05:29:04.847","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-76"
"2022-05-11T05:29:05.957","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64"
"2022-05-11T05:29:07.067","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T05:29:08.179","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-65"
"2022-05-11T05:29:09.285","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-72"
"2022-05-11T05:29:10.398","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-72"
"2022-05-11T05:29:11.506","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71"
"2022-05-11T05:29:12.615","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-65"
"2022-05-11T05:29:13.726","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T05:29:14.833","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-65"
"2022-05-11T05:29:15.941","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64"
"2022-05-11T05:29:17.051","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64"
"2022-05-11T05:29:18.161","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70"
"2022-05-11T05:29:19.269","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70"
"2022-05-11T05:29:20.379","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-65"
"2022-05-11T05:29:21.492","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-76"
"2022-05-11T05:29:22.604","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73"
