"Date","UUID","Major","Minor","RSSI","Filtered RSSI","Error","AP RSSI"
"2022-06-10T04:49:02.679","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-50","-50.0","0.0","-57"
"2022-06-10T04:49:03.733","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-45","-47.4975","6.237506250000012","-54"
"2022-06-10T04:49:05.954","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-49","-48.0","1.0","-57"
"2022-06-10T04:49:07.057","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-45","-47.244766","5.038974394755993","-58"
"2022-06-10T04:49:08.168","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-44","-46.58806","6.698054563599993","-57"
"2022-06-10T04:49:11.489","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-51","-47.336784","13.41915146265599","-59"
"2022-06-10T04:49:12.600","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-51","-47.873604","9.774351948815998","-59"
"2022-06-10T04:49:13.707","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-50","-48.148613","3.4276338237690096","-58"
"2022-06-10T04:49:15.923","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-44","-47.66702","13.447035680400006","-57"
"2022-06-10T04:49:17.036","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-44","-47.279728","10.756615753983992","-57"
"2022-06-10T04:49:18.142","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-44","-46.961075","8.767965155625006","-55"
"2022-06-10T04:49:21.466","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-45","-46.784157","3.1832162006490017","-58"
"2022-06-10T04:49:22.581","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-43","-46.464664","12.003896632895994","-58"
"2022-06-10T04:49:25.901","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-44","-46.268593","5.146514199649013","-57"
"2022-06-10T04:49:27.017","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-42","-45.946724","15.576630332176025","-56"
"2022-06-10T04:49:28.130","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-42","-45.663177","13.418865733328982","-58"
"2022-06-10T04:49:31.445","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-44","-45.54881","2.3988124161000095","-57"
"2022-06-10T04:49:32.556","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-44","-45.44645","2.0922176024999963","-57"
"2022-06-10T04:49:33.669","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-44","-45.35424","1.8339659775999926","-57"
"2022-06-10T04:49:35.878","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-42","-45.14731","9.905560236099983","-56"
"2022-06-10T04:49:36.990","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-42","-44.95885","8.754793322499989","-56"
"2022-06-10T04:49:38.102","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-42","-44.786427","7.764175426329018","-57"
"2022-06-10T04:49:41.427","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-48","-44.969112","9.186282068543983","-56"
"2022-06-10T04:49:42.531","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-48","-45.13756","8.193562753599997","-55"
"2022-06-10T04:49:43.639","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-47","-45.238956","3.101275969935994","-57"
