"Date","UUID","Major","Minor","RSSI","Filtered RSSI","Error","AP RSSI"
"2022-06-14T05:07:54.856","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-27","-27.0","0.0","-57"
"2022-06-14T05:07:58.143","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-25","-25.999","0.9980009999999976","-58"
"2022-06-14T05:07:59.264","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-25","-25.664892","0.4420813716639977","-58"
"2022-06-14T05:08:00.380","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-25","-25.497509","0.24751520508100086","-60"
"2022-06-14T05:08:02.583","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-26","-25.599209","0.16063342568100134","-63"
"2022-06-14T05:08:03.693","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-26","-25.667223","0.11074053172900007","-61"
"2022-06-14T05:08:04.805","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-27","-25.862532","1.2938334510239964","-57"
"2022-06-14T05:08:09.229","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-30","-26.397636","12.97702638849601","-58"
"2022-06-14T05:08:10.360","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-29","-26.699734","5.291223670756002","-56"
"2022-06-14T05:08:12.560","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-28","-26.83706","1.3524294435999975","-54"
"2022-06-14T05:08:13.668","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-28","-26.95005","1.102395002499998","-55"
"2022-06-14T05:08:14.779","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-30","-27.225199","7.699520589601001","-57"
"2022-06-14T05:08:19.210","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-45","-28.7259","264.84633081000004","-58"
"2022-06-14T05:08:20.317","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-30","-28.82726","1.3753191076000024","-56"
"2022-06-14T05:08:23.646","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-33","-29.1419","14.884935610000003","-56"
"2022-06-14T05:08:24.751","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-35","-29.562765","29.563524445225013","-56"
"2022-06-14T05:08:25.862","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-36","-30.005426","35.934917441476","-56"
"2022-06-14T05:08:28.077","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-47","-31.12858","251.90197281640002","-56"
"2022-06-14T05:08:29.183","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-39","-31.630373","54.31140211912902","-56"
"2022-06-14T05:08:30.291","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-40","-32.146717","61.67405387808896","-56"
"2022-06-14T05:08:32.505","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-36","-32.37745","13.122868502499976","-57"
"2022-06-14T05:08:33.613","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-37","-32.64682","18.950176112400015","-56"
"2022-06-14T05:08:34.726","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-38","-32.951134","25.491047885955968","-56"
"2022-06-14T05:08:35.830","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-43","-33.509617","90.06736948668903","-55"
"2022-06-14T05:08:38.049","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-42","-33.971855","64.45111214102504","-56"
"2022-06-14T05:08:39.160","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-33","-33.91993","0.8462712049000015","-56"
"2022-06-14T05:08:43.585","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-33","-33.87162","0.7597214244000001","-58"
"2022-06-14T05:08:44.697","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-36","-33.98165","4.0737367224999925","-57"
