"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020"
"2022-06-28T07:28:16.641","-77.0","-200","-74.0","-68.0","-200","-200","-200","-200","-81.0","-68.0","-200","-74.0","-75.0","-68.0","-85.0","-200","-200","-200","-93.0","-200"
"2022-06-28T07:28:17.762","-200","-63.0","-200","-200","-200","-200","-200","-77.0","-79.99975","-69.00025","-200","-71.9995","-200","-69.500374","-200","-97.0","-200","-98.0","-200","-200"
"2022-06-28T07:28:18.898","-200","-64.00025","-72.99975","-72.50112","-200","-78.0","-80.0","-77.0","-200","-69.66739","-59.0","-200","-72.499374","-68.99983","-85.0","-97.0","-200","-97.49988","-200","-64.0"
"2022-06-28T07:28:20.017","-80.00075","-64.00017","-76.669556","-71.66672","-200","-84.501625","-81.00025","-200","-200","-200","-62.000748","-200","-71.99917","-200","-86.66805","-200","-200","-200","-87.49863","-67.00075"
"2022-06-28T07:28:21.146","-80.66772","-200","-78.00449","-71.49975","-200","-83.66705","-200","-200","-80.66705","-73.50725","-64.00217","-72.666885","-70.99763","-70.001625","-87.001625","-200","-200","-200","-84.66339","-200"
"2022-06-28T07:28:22.268","-79.74918","-200","-200","-200","-200","-200","-200","-78.00083","-81.00087","-77.01628","-200","-72.75031","-200","-71.806694","-200","-95.33195","-97.0","-200","-83.49551","-200"
"2022-06-28T07:28:23.404","-200","-64.250565","-200","-200","-200","-84.75218","-79.332115","-79.25281","-81.40189","-78.35299","-66.00512","-72.1986","-70.9981","-72.843636","-200","-94.497505","-200","-200","-200","-68.00133"
"2022-06-28T07:28:24.534","-79.1977","-62.996704","-80.41078","-71.8007","-200","-83.9995","-80.00025","-79.803894","-200","-200","-64.8005","-200","-72.84014","-200","-88.405495","-93.795906","-200","-200","-200","-69.25318"
"2022-06-28T07:28:25.673","-78.66231","-200","-80.50944","-72.16892","-200","-83.99958","-80.4014","-200","-81.83689","-78.44602","-63.829327","-73.002495","-74.8761","-200","-89.007324","-200","-200","-200","-84.1985","-70.00479"
"2022-06-28T07:28:26.781","-78.27951","-200","-200","-72.432205","-200","-200","-200","-200","-82.43548","-78.76806","-200","-73.86484","-200","-72.00342","-200","-200","-200","-200","-84.66756","-200"
"2022-06-28T07:28:27.914","-200","-62.16011","-200","-200","-200","-200","-79.8319","-80.00416","-82.88493","-78.681755","-200","-75.647156","-200","-71.75081","-200","-93.49522","-200","-200","-200","-200"
"2022-06-28T07:28:29.032","-200","-62.856007","-81.01132","-72.62989","-200","-83.28072","-79.42472","-79.85978","-200","-200","-64.28522","-200","-74.38736","-200","-89.150055","-93.136444","-200","-200","-200","-70.17142"
"2022-06-28T07:28:30.157","-200","-62.621983","-81.38817","-72.783844","-200","-83.371414","-78.9929","-200","-83.1226","-200","-64.627525","-200","-73.66963","-200","-89.257225","-92.86706","-200","-200","-84.715355","-71.15326"
"2022-06-28T07:28:31.288","-79.757355","-200","-82.01875","-72.60293","-200","-84.11624","-200","-200","-83.00874","-78.714035","-65.11884","-74.78787","-73.29746","-71.66644","-89.67779","-200","-96.49988","-200","-84.12079","-200"
"2022-06-28T07:28:32.404","-81.245384","-62.214993","-200","-200","-200","-200","-200","-80.38182","-82.91544","-78.463005","-200","-76.02642","-200","-70.888916","-200","-92.5449","-96.333115","-200","-200","-200"
"2022-06-28T07:28:33.525","-200","-61.88893","-200","-200","-200","-200","-77.9824","-81.23785","-200","-77.99821","-64.80253","-200","-72.80749","-70.25174","-200","-92.2868","-200","-200","-200","-70.75566"
"2022-06-28T07:28:34.654","-80.40914","-61.621727","-82.21969","-73.00963","-200","-84.61155","-77.47709","-200","-200","-200","-64.63581","-200","-72.313385","-200","-200","-91.8903","-200","-200","-83.54539","-70.67075"
"2022-06-28T07:28:35.787","-79.816345","-200","-82.19937","-73.34913","-200","-84.832466","-200","-200","-82.6674","-77.60418","-64.41155","-76.856415","-72.05218","-69.71983","-200","-200","-94.49663","-200","-83.0844","-70.60272"
"2022-06-28T07:28:36.899","-79.66181","-200","-82.012245","-73.40044","-200","-200","-200","-200","-82.37828","-76.677734","-200","-76.27306","-200","-70.13609","-200","-91.81455","-200","-200","-83.72404","-200"
"2022-06-28T07:28:38.019","-200","-61.994232","-200","-200","-200","-200","-76.9705","-81.112305","-82.27697","-75.87309","-200","-75.85737","-200","-70.49361","-200","-91.82917","-200","-96.66589","-200","-69.99202"
"2022-06-28T07:28:39.148","-200","-62.23119","-81.53828","-72.929985","-200","-84.16608","-76.97301","-80.82444","-200","-200","-64.14261","-200","-71.53382","-200","-89.10195","-91.91523","-200","-200","-200","-69.482216"
"2022-06-28T07:28:40.278","-80.71332","-62.58171","-81.64571","-72.521385","-200","-83.83765","-76.6598","-200","-81.91337","-200","-64.49964","-200","-71.08362","-200","-89.00003","-200","-94.9988","-200","-84.513245","-69.12886"
"2022-06-28T07:28:41.401","-81.24891","-200","-81.46342","-72.422646","-200","-83.26156","-200","-200","-81.98389","-76.07603","-64.80973","-75.35333","-70.88349","-70.666306","-88.659706","-200","-95.166435","-200","-83.84211","-200"
"2022-06-28T07:28:42.516","-200","-62.61053","-200","-200","-200","-200","-200","-80.328896","-82.16903","-76.19413","-200","-74.84666","-200","-70.817764","-200","-200","-95.286285","-200","-83.26569","-200"
"2022-06-28T07:28:43.644","-200","-62.635807","-200","-200","-200","-82.83012","-76.24379","-79.98763","-200","-76.2411","-65.08168","-200","-70.70649","-70.95172","-88.6077","-91.57655","-200","-200","-200","-69.63391"
"2022-06-28T07:28:44.774","-80.88724","-62.59678","-80.97904","-72.089775","-200","-82.451744","-76.22699","-79.69453","-200","-200","-64.83112","-200","-70.373924","-200","-88.78354","-91.21464","-200","-200","-83.798615","-69.24571"
"2022-06-28T07:28:45.903","-80.57006","-200","-80.61202","-71.79315","-200","-82.23986","-76.14736","-200","-82.042625","-75.72807","-64.60785","-74.53211","-70.07559","-71.187645","-89.005165","-200","-200","-200","-84.26598","-68.905266"
"2022-06-28T07:28:47.017","-80.22814","-200","-80.34324","-200","-200","-200","-200","-79.508865","-81.87371","-75.2651","-200","-74.25391","-200","-71.4548","-200","-200","-200","-200","-84.67935","-200"
"2022-06-28T07:28:48.145","-200","-62.85339","-200","-200","-200","-200","-76.13831","-79.34604","-81.721275","-74.84505","-64.407555","-74.006","-200","-71.6959","-200","-91.20146","-200","-95.99825","-200","-68.66554"
"2022-06-28T07:28:49.272","-80.564514","-62.86153","-80.26867","-71.74912","-200","-82.05105","-75.83886","-79.14064","-200","-200","-64.65115","-200","-69.96549","-200","-88.87503","-90.956604","-200","-200","-200","-69.09298"
"2022-06-28T07:28:50.411","-80.866264","-62.868874","-80.25442","-71.70939","-200","-81.88167","-75.57023","-200","-81.78626","-75.04788","-64.87218","-200","-69.8656","-200","-88.75993","-90.681435","-95.25019","-200","-84.17353","-69.476425"
"2022-06-28T07:28:51.535","-81.19162","-200","-80.241486","-71.67333","-200","-200","-200","-78.95761","-200","-75.23363","-65.073685","-73.72809","-69.77453","-71.76218","-88.59909","-200","-95.33444","-200","-83.71977","-200"
"2022-06-28T07:28:52.648","-200","-62.672245","-200","-200","-200","-200","-200","-79.29305","-81.7967","-75.13234","-200","-74.37904","-200","-71.38325","-200","-90.48616","-95.30052","-200","-83.31029","-200"
"2022-06-28T07:28:53.778","-200","-62.492977","-80.32733","-71.982185","-200","-200","-75.38085","-79.59577","-200","-200","-64.92922","-74.91883","-69.691124","-71.03624","-200","-90.41063","-200","-200","-200","-69.504196"
"2022-06-28T07:28:54.900","-80.7753","-62.328808","-80.405945","-72.31202","-200","-82.47143","-75.20903","-200","-200","-200","-64.796394","-200","-69.61444","-200","-200","-90.39059","-94.625275","-200","-83.091225","-69.42775"
"2022-06-28T07:28:56.030","-80.39573","-200","-80.478226","-72.56995","-200","-82.90488","-75.10119","-200","-81.80625","-75.038864","-64.67381","-75.5086","-69.54367","-70.71718","-200","-200","-94.146675","-200","-82.8915","-69.45569"
"2022-06-28T07:28:57.144","-80.18913","-200","-200","-200","-200","-200","-200","-79.463844","-81.679","-74.697586","-200","-75.249695","-200","-70.90492","-200","-200","-93.81978","-200","-82.7086","-200"
"2022-06-28T07:28:58.269","-200","-62.449936","-200","-200","-200","-82.71425","-75.19043","-79.34357","-81.56156","-74.38056","-64.43294","-75.05699","-200","-71.12122","-200","-90.41923","-200","-95.597404","-200","-69.19927"
