"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020"
"2022-06-28T08:37:26.026","-67.0","-200","-200","-200","-67.0","-200","-200","-64.0","-67.0","-67.0","-200","-87.0","-200","-85.0","-70.0","-200","-82.0","-200","-76.0","-200"
"2022-06-28T08:37:27.144","-65.99975","-64.0","-200","-200","-62.999","-72.0","-57.0","-71.00175","-200","-200","-82.0","-84.9995","-200","-82.499374","-200","-76.0","-200","-92.0","-200","-80.0"
"2022-06-28T08:37:28.277","-200","-62.99975","-67.0","-60.0","-200","-73.500374","-57.0","-71.33478","-200","-200","-83.00025","-200","-70.0","-200","-200","-75.49988","-200","-93.00025","-200","-80.0"
"2022-06-28T08:37:29.423","-65.33261","-62.66622","-68.500374","-60.500126","-200","-68.9965","-56.66639","-200","-69.500626","-65.99975","-82.66656","-200","-71.500374","-81.66556","-75.00125","-74.999504","-80.99975","-93.33378","-79.00075","-79.33278"
"2022-06-28T08:37:30.543","-64.99888","-200","-68.33344","-59.666058","-65.33461","-200","-200","-69.49788","-71.66889","-68.66872","-200","-84.999664","-73.001495","-81.74931","-76.00166","-200","-80.66622","-200","-80.00133","-200"
"2022-06-28T08:37:31.668","-64.79851","-65.25418","-200","-200","-66.00212","-200","-200","-68.9968","-72.50313","-70.75518","-200","-85.500626","-200","-81.7996","-200","-78.25531","-81.00025","-91.998","-200","-200"
"2022-06-28T08:37:32.791","-200","-66.20619","-68.75081","-59.74969","-200","-66.24257","-57.250813","-68.160194","-200","-200","-83.25094","-85.4002","-73.75243","-81.83315","-200","-81.01248","-200","-91.19601","-200","-78.748566"
"2022-06-28T08:37:33.927","-65.50196","-66.339096","-67.3966","-60.000504","-200","-65.19091","-58.203495","-200","-200","-200","-83.4012","-200","-72.5985","-200","-77.25343","-82.182396","-82.404396","-90.158615","-79.24969","-77.996605"
"2022-06-28T08:37:35.048","-65.717354","-200","-66.66048","-60.16785","-66.80409","-64.15437","-58.504284","-68.42473","-72.6028","-70.00189","-83.166595","-200","-71.66115","-82.00092","-78.20559","-200","-83.173836","-200","-79.8014","-200"
"2022-06-28T08:37:36.159","-65.6269","-200","-200","-200","-67.33918","-200","-200","-68.24509","-72.669304","-69.49929","-200","-200","-200","-81.74863","-79.008316","-82.587524","-83.58019","-200","-80.16951","-200"
"2022-06-28T08:37:37.289","-200","-66.43412","-200","-200","-67.86555","-63.55704","-59.006912","-68.44228","-200","-200","-83.43021","-200","-72.42879","-82.0016","-200","-82.765625","-200","-89.56068","-200","-78.33203"
"2022-06-28T08:37:38.410","-200","-67.26202","-67.14065","-59.99993","-200","-63.108532","-59.006042","-200","-200","-200","-83.37596","-200","-200","-200","-78.431984","-83.241425","-83.38094","-89.61607","-81.72676","-200"
"2022-06-28T08:37:39.543","-65.55646","-68.01914","-67.50118","-60.378212","-200","-63.096336","-58.892998","-200","-73.00442","-200","-83.44608","-85.500626","-72.87908","-82.10286","-79.13406","-200","-83.22577","-200","-82.0134","-77.99672"
"2022-06-28T08:37:40.665","-65.70286","-200","-67.78197","-200","-67.75641","-200","-200","-68.09317","-73.634315","-70.43399","-200","-85.572426","-73.005035","-81.90836","-79.23137","-200","-83.101456","-200","-82.68609","-200"
"2022-06-28T08:37:41.789","-65.63785","-67.91578","-200","-200","-68.233246","-200","-200","-68.26954","-73.450676","-71.13581","-83.50226","-85.62634","-200","-81.91616","-200","-83.62262","-200","-89.09738","-82.413666","-200"
"2022-06-28T08:37:42.910","-200","-67.92357","-67.195564","-60.44808","-200","-62.883728","-58.90385","-68.75709","-200","-200","-83.548294","-200","-72.49743","-200","-200","-83.56503","-200","-88.78325","-200","-77.61886"
"2022-06-28T08:37:44.042","-65.75374","-67.84499","-66.53003","-60.504055","-200","-62.89448","-59.09773","-200","-73.10071","-200","-83.58672","-200","-72.08145","-200","-79.2079","-83.346794","-83.46204","-88.155846","-82.09792","-77.43695"
"2022-06-28T08:37:45.172","-65.85199","-200","-66.14461","-60.549927","-68.41243","-62.81838","-59.259575","-69.091576","-72.90641","-70.558716","-200","-200","-71.7342","-81.84393","-79.188675","-200","-83.763054","-200","-81.83435","-200"
