"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020"
"2022-06-28T09:19:41.215","-59.0","-83.0","-200","-200","-53.0","-200","-200","-61.0","-76.0","-82.0","-200","-96.0","-200","-85.0","-67.0","-73.0","-200","-88.0","-79.0","-88.0"
"2022-06-28T09:19:42.327","-200","-79.49912","-61.0","-65.0","-54.500374","-62.0","-66.0","-60.499874","-200","-200","-89.0","-200","-76.0","-200","-200","-71.499626","-200","-89.00025","-200","-86.499626"
"2022-06-28T09:19:43.456","-59.500126","-78.66539","-62.500374","-65.0","-200","-60.99975","-67.00025","-200","-200","-85.00075","-90.00025","-200","-76.0","-200","-67.50012","-70.99934","-84.0","-89.66739","-75.99925","-87.66739"
"2022-06-28T09:19:44.594","-63.003","-200","-64.33511","-65.66722","-55.000664","-60.33261","-68.33461","-61.00033","-82.001495","-79.32911","-200","-89.498375","-76.0","-91.001495","-68.33411","-200","-82.99975","-200","-77.000336","-88.251564"
"2022-06-28T09:19:45.726","-65.005745","-200","-200","-200","-55.250935","-200","-200","-61.50112","-82.001","-76.99275","-200","-87.664055","-200","-91.33461","-68.751305","-75.0065","-82.66622","-90.502","-77.50113","-200"
"2022-06-28T09:19:46.844","-200","-77.74744","-200","-67.503624","-55.401196","-60.750187","-70.00387","-61.601196","-83.50337","-200","-200","-86.74644","-74.74781","-92.503","-200","-77.41239","-200","-90.8025","-200","-87.599304"
"2022-06-28T09:19:47.964","-200","-77.196304","-64.501625","-69.20799","-200","-61.0009","-71.60789","-200","-200","-200","-92.66905","-200","-73.7954","-200","-200","-79.01764","-82.24894","-91.003","-77.8018","-87.1641"
"2022-06-28T09:19:49.104","-64.001595","-200","-63.598602","-68.83831","-54.999165","-61.16818","-72.678116","-200","-83.2018","-75.59001","-200","-200","-73.15994","-89.794304","-69.60359","-200","-82.199005","-200","-76.49555","-86.99672"
"2022-06-28T09:19:50.214","-63.33161","-200","-63.16352","-200","-54.8555","-200","-200","-61.500538","-83.50287","-76.16094","-200","-200","-200","-87.98702","-70.17225","-200","-82.66798","-200","-75.70538","-200"
"2022-06-28T09:19:51.331","-200","-76.828575","-200","-200","-54.747627","-61.431564","-200","-61.42857","-83.861916","-76.56915","-91.49975","-200","-200","-86.69483","-200","-78.439964","-200","-200","-200","-200"
