"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020"
"2022-06-28T03:59:52.187","-77.0","-85.0","-200","-200","-200","-200","-70.0","-73.0","-200","-200","-200","-200","-96.0","-200","-68.0","-57.0","-200","-73.0","-200","-200"
"2022-06-28T03:59:53.296","-75.99975","-86.00025","-88.0","-200","-74.0","-90.0","-70.0","-73.0","-200","-200","-200","-200","-93.9995","-200","-200","-200","-200","-72.49988","-66.0","-200"
"2022-06-28T03:59:54.410","-75.99983","-200","-200","-81.0","-200","-84.49863","-200","-200","-76.0","-200","-200","-200","-200","-200","-200","-200","-65.0","-200","-64.99975","-200"
"2022-06-28T03:59:55.543","-200","-200","-89.500374","-79.99975","-200","-200","-200","-200","-200","-200","-200","-200","-200","-94.0","-69.00025","-60.000748","-66.00025","-70.665054","-65.66705","-200"
"2022-06-28T03:59:56.662","-200","-200","-200","-200","-200","-200","-67.99834","-74.33444","-77.500374","-200","-200","-200","-92.99883","-95.500374","-71.66905","-60.0005","-200","-69.747185","-200","-200"
"2022-06-28T03:59:57.796","-79.00512","-88.66905","-88.66622","-85.33761","-200","-84.66589","-67.748314","-75.50287","-200","-200","-200","-200","-93.5","-200","-74.75718","-59.4995","-200","-69.3967","-65.24956","-200"
"2022-06-28T03:59:58.913","-200","-200","-88.499374","-85.503494","-200","-82.74607","-67.598206","-200","-79.001495","-200","-200","-200","-200","-200","-200","-200","-200","-200","-64.99889","-200"
"2022-06-28T04:00:00.053","-200","-200","-86.5938","-86.004295","-200","-81.192215","-200","-200","-81.004616","-200","-200","-200","-200","-94.33261","-74.003494","-58.9981","-64.332115","-200","-64.99908","-200"
"2022-06-28T04:00:01.158","-200","-200","-200","-200","-200","-200","-200","-74.398994","-200","-200","-200","-200","-200","-200","-73.83548","-59.668137","-63.998505","-70.0","-200","-200"
"2022-06-28T04:00:02.283","-200","-200","-200","-200","-200","-200","-200","-74.49962","-200","-200","-200","-200","-200","-200","-73.715355","-59.140717","-200","-70.575134","-200","-200"
"2022-06-28T04:00:03.413","-80.60889","-200","-85.32238","-86.00358","-200","-80.32288","-68.502625","-74.42778","-200","-200","-200","-200","-200","-200","-200","-200","-63.998806","-71.25916","-64.42407","-200"
"2022-06-28T04:00:04.530","-81.67895","-200","-85.13224","-86.5782","-200","-80.99538","-200","-200","-80.60249","-200","-200","-200","-200","-94.75019","-200","-200","-65.84073","-200","-64.3706","-200"
"2022-06-28T04:00:05.647","-200","-200","-200","-85.62266","-200","-200","-68.28657","-75.25648","-80.50162","-200","-200","-200","-200","-200","-74.75997","-58.996883","-66.1512","-72.24134","-200","-200"
"2022-06-28T04:00:06.771","-82.87538","-200","-200","-200","-200","-200","-69.637436","-76.35132","-80.57328","-200","-200","-200","-200","-94.5997","-74.33748","-59.1096","-66.76259","-72.82538","-200","-200"
"2022-06-28T04:00:07.904","-82.8911","-90.75543","-84.6112","-85.103226","-200","-81.12205","-70.12764","-76.72137","-200","-200","-200","-200","-200","-200","-73.69473","-59.199905","-200","-72.56405","-64.32896","-200"
"2022-06-28T04:00:09.016","-82.45387","-200","-84.31779","-84.7885","-200","-81.8949","-200","-76.46966","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-64.29559","-200"
"2022-06-28T04:00:10.134","-200","-200","-84.38698","-84.3456","-200","-82.209816","-200","-200","-80.12272","-200","-200","-200","-200","-200","-73.353","-59.458893","-67.80056","-200","-63.990776","-200"
"2022-06-28T04:00:11.257","-200","-200","-200","-200","-200","-200","-200","-76.684944","-200","-200","-200","-200","-200","-200","-73.06772","-59.59001","-200","-72.345894","-200","-200"
"2022-06-28T04:00:12.388","-82.103584","-91.20569","-200","-200","-75.00025","-81.35797","-70.013275","-76.70978","-200","-200","-200","-200","-93.600296","-200","-72.43171","-59.149326","-200","-71.92445","-200","-200"
"2022-06-28T04:00:13.510","-82.92644","-200","-200","-84.23111","-75.33378","-80.98719","-70.10454","-76.73111","-200","-200","-94.0","-200","-93.49979","-200","-200","-200","-68.834984","-71.56249","-64.84237","-200"
"2022-06-28T04:00:14.622","-200","-200","-84.35119","-84.291725","-200","-80.59403","-200","-200","-80.67076","-200","-200","-200","-93.71549","-200","-200","-200","-200","-200","-65.01247","-200"
"2022-06-28T04:00:15.743","-200","-200","-84.23623","-200","-200","-200","-70.09564","-200","-81.718346","-200","-200","-200","-200","-94.49929","-72.39998","-58.697334","-68.94274","-71.661545","-65.158554","-200"
"2022-06-28T04:00:16.857","-200","-200","-200","-200","-200","-200","-70.088104","-77.645386","-81.46692","-200","-200","-200","-200","-200","-200","-58.649284","-200","-71.55371","-200","-200"
"2022-06-28T04:00:17.973","-200","-91.840965","-83.82343","-200","-200","-200","-69.78762","-77.7333","-200","-200","-200","-200","-200","-200","-72.64803","-200","-200","-200","-64.94092","-200"
"2022-06-28T04:00:19.094","-82.93269","-200","-83.83641","-84.637794","-200","-200","-200","-200","-81.512276","-200","-96.0005","-200","-200","-93.99615","-200","-200","-69.117775","-200","-64.87985","-200"
