"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020"
"2022-06-28T02:55:10.699","-200","-200","-74.0","-83.0","-200","-58.0","-200","-200","-64.0","-200","-200","-200","-200","-200","-53.0","-200","-88.0","-200","-76.0","-200"
"2022-06-28T02:55:11.803","-74.0","-87.0","-200","-200","-200","-200","-73.0","-74.0","-65.500374","-200","-200","-200","-200","-80.0","-53.0","-200","-200","-74.0","-200","-200"
"2022-06-28T02:55:12.947","-74.50012","-88.500374","-200","-200","-69.0","-200","-73.50012","-76.0005","-200","-200","-200","-200","-92.0","-200","-53.0","-77.0","-92.50112","-74.50012","-200","-94.0"
"2022-06-28T02:55:14.081","-76.00133","-200","-74.50012","-81.99975","-68.49988","-56.99975","-74.66772","-77.33478","-200","-200","-200","-200","-89.9995","-200","-200","-74.9995","-200","-200","-83.50188","-200"
"2022-06-28T02:55:15.205","-200","-200","-75.000496","-78.99733","-68.333115","-56.999832","-200","-200","-66.334274","-200","-200","-91.0","-200","-84.001","-52.499126","-200","-200","-200","-80.99917","-200"
"2022-06-28T02:55:16.332","-200","-200","-200","-76.744064","-200","-200","-73.49875","-200","-66.00012","-200","-200","-91.0","-200","-85.668724","-52.5996","-200","-90.9995","-200","-200","-200"
"2022-06-28T02:55:17.462","-75.75056","-88.33344","-200","-200","-200","-200","-72.395706","-77.25094","-65.7995","-200","-200","-200","-89.999664","-200","-52.66664","-74.33244","-89.99787","-73.999664","-200","-200"
"2022-06-28T02:55:18.588","-76.0012","-87.9995","-73.99863","-200","-68.750565","-56.999874","-72.162025","-76.3982","-200","-200","-200","-200","-90.500626","-200","-200","-74.24918","-200","-73.99975","-81.24982","-200"
"2022-06-28T02:55:19.712","-76.16843","-200","-73.3971","-77.5978","-69.0012","-56.9999","-200","-200","-200","-200","-91.0","-200","-89.999","-200","-200","-73.9986","-200","-200","-80.99911","-200"
"2022-06-28T02:55:20.814","-200","-200","-200","-200","-200","-56.999916","-200","-200","-200","-200","-200","-200","-200","-85.25082","-52.858356","-200","-200","-200","-200","-200"
