"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020"
"2022-06-28T10:20:49.213","-89.0","-200","-200","-200","-200","-200","-200","-200","-87.0","-91.0","-200","-76.0","-200","-68.0","-200","-200","-200","-200","-200","-200"
"2022-06-28T10:20:50.321","-87.99975","-71.0","-200","-200","-200","-200","-200","-200","-85.99975","-92.00025","-53.0","-69.498375","-200","-72.001","-90.0","-200","-200","-200","-200","-71.0"
"2022-06-28T10:20:51.441","-200","-74.00075","-94.0","-81.0","-200","-91.0","-90.0","-200","-200","-200","-59.0015","-200","-92.0","-200","-200","-200","-200","-200","-200","-70.49988"
"2022-06-28T10:20:52.569","-200","-76.66939","-91.9995","-82.00025","-200","-92.00025","-91.500374","-200","-200","-90.332115","-59.33461","-200","-89.499374","-200","-200","-200","-200","-200","-200","-68.99867"
"2022-06-28T10:20:53.697","-87.99983","-200","-91.66605","-82.66739","-200","-200","-91.33344","-90.0","-87.667885","-89.74807","-200","-67.997665","-88.66556","-71.66705","-200","-200","-200","-200","-200","-200"
"2022-06-28T10:20:54.810","-87.248566","-200","-200","-200","-200","-200","-200","-90.0","-88.001495","-89.39741","-200","-66.49563","-200","-70.49825","-200","-200","-200","-200","-200","-200"
"2022-06-28T10:20:55.936","-200","-74.74869","-200","-83.75243","-200","-200","-91.24994","-90.66722","-200","-200","-63.00737","-65.99501","-200","-70.5989","-200","-200","-200","-200","-200","-68.49813"
"2022-06-28T10:20:57.063","-200","-74.3979","-92.00012","-82.1973","-200","-92.33378","-91.1998","-200","-200","-90.00059","-61.200497","-200","-86.49538","-200","-200","-200","-200","-200","-200","-67.59581"
"2022-06-28T10:20:58.210","-88.6029","-74.16386","-91.5989","-82.833984","-200","-93.25194","-90.49663","-90.750565","-89.20479","-89.281586","-60.49721","-65.326126","-87.399","-70.66605","-90.50012","-200","-200","-200","-200","-66.32405"
"2022-06-28T10:20:59.323","-89.3391","-200","-200","-200","-200","-200","-200","-91.2018","-89.003075","-88.9939","-200","-64.847885","-86.32762","-70.13893","-91.000496","-200","-200","-200","-200","-200"
"2022-06-28T10:21:00.444","-89.00278","-73.13381","-200","-200","-200","-92.8002","-200","-91.16801","-200","-200","-59.131664","-64.61488","-200","-69.86923","-91.000374","-200","-200","-200","-200","-65.41476"
"2022-06-28T10:21:01.555","-200","-73.116936","-92.16834","-82.28272","-200","-200","-90.71279","-200","-200","-200","-57.72806","-200","-84.12376","-200","-200","-200","-200","-200","-200","-66.119"
"2022-06-28T10:21:02.678","-200","-72.87907","-92.57549","-82.24707","-200","-200","-90.74901","-200","-88.57128","-89.10695","-56.747322","-200","-82.847244","-200","-200","-200","-200","-200","-200","-66.33036"
"2022-06-28T10:21:03.809","-89.25461","-200","-92.8812","-82.33167","-200","-200","-90.66485","-91.14385","-88.12097","-88.99468","-200","-65.219986","-81.740746","-70.670494","-92.203896","-200","-200","-200","-200","-200"
"2022-06-28T10:21:04.917","-89.45073","-200","-200","-200","-200","-200","-200","-91.25181","-87.882645","-88.625206","-200","-65.603355","-200","-71.31243","-92.83948","-200","-200","-200","-200","-200"
"2022-06-28T10:21:06.040","-200","-73.29701","-200","-81.993774","-200","-200","-200","-90.99878","-200","-200","-56.164433","-66.01001","-81.76704","-70.82107","-92.28742","-200","-200","-200","-200","-67.108215"
"2022-06-28T10:21:07.155","-200","-73.732","-200","-81.53188","-200","-200","-200","-200","-200","-88.23169","-55.68676","-200","-82.06606","-200","-200","-200","-200","-200","-200","-67.93064"
"2022-06-28T10:21:08.280","-88.7965","-200","-92.669815","-200","-200","-200","-200","-200","-200","-87.97692","-55.288006","-65.92408","-82.400764","-70.41089","-91.999","-200","-200","-200","-200","-68.361946"
"2022-06-28T10:21:09.389","-89.000305","-200","-200","-200","-200","-200","-200","-200","-200","-87.978615","-200","-66.008896","-200","-70.615","-200","-200","-200","-200","-200","-200"
"2022-06-28T10:21:10.512","-89.17044","-73.924965","-200","-200","-200","-92.16393","-200","-90.9989","-200","-200","-54.87113","-66.08174","-200","-70.643295","-200","-200","-200","-200","-200","-68.569916"
"2022-06-28T10:21:11.625","-200","-74.16738","-92.196205","-81.061226","-200","-91.85279","-90.59742","-200","-200","-200","-54.51309","-200","-81.738495","-200","-200","-200","-200","-200","-200","-69.04254"
"2022-06-28T10:21:12.755","-89.39351","-73.93457","-92.178055","-80.741066","-200","-91.997444","-90.91213","-200","-200","-87.77338","-54.133217","-200","-81.16969","-70.25445","-200","-200","-200","-200","-95.0","-69.728645"
"2022-06-28T10:21:13.870","-89.6586","-200","-91.992744","-80.61309","-200","-200","-200","-91.55396","-88.09739","-87.463585","-200","-66.0072","-80.675674","-70.56243","-91.77438","-200","-200","-200","-200","-200"
"2022-06-28T10:21:14.988","-89.47541","-74.00798","-200","-200","-200","-92.67193","-200","-91.84715","-88.55084","-87.18959","-53.735172","-65.94183","-200","-70.71206","-91.69585","-200","-200","-200","-200","-200"
"2022-06-28T10:21:16.109","-200","-74.20216","-91.83565","-80.70866","-200","-93.212296","-200","-200","-200","-200","-53.383118","-67.11172","-200","-200","-200","-200","-200","-200","-200","-69.87605"
"2022-06-28T10:21:17.227","-200","-74.37391","-92.14174","-80.66267","-200","-93.56263","-200","-200","-200","-87.06198","-53.069397","-200","-80.17753","-200","-200","-200","-200","-200","-200","-69.760895"
"2022-06-28T10:21:18.358","-88.99026","-74.76007","-92.200874","-80.25368","-200","-200","-91.00469","-92.01687","-89.01446","-86.89199","-52.787968","-66.98865","-79.73694","-70.32089","-91.816475","-200","-200","-200","-94.49988","-69.65827"
