"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020"
"2022-06-28T09:45:55.861","-200","-77.0","-200","-200","-200","-92.0","-200","-91.0","-91.0","-200","-73.0","-79.0","-200","-73.0","-200","-200","-200","-200","-200","-49.0"
"2022-06-28T09:45:56.964","-200","-81.001","-200","-77.0","-200","-91.49988","-88.0","-89.499626","-200","-200","-74.00025","-77.99975","-78.0","-200","-200","-200","-200","-200","-200","-51.0005"
"2022-06-28T09:45:58.089","-87.0","-78.66539","-90.0","-76.49988","-200","-91.333115","-89.00025","-200","-200","-84.0","-76.33544","-200","-74.99925","-200","-200","-200","-200","-200","-200","-52.66839"
"2022-06-28T09:45:59.204","-85.99975","-200","-90.50012","-76.333115","-200","-200","-89.33378","-88.99934","-91.0","-84.50012","-200","-77.66622","-74.33228","-73.50012","-200","-200","-200","-200","-200","-200"
"2022-06-28T09:46:00.323","-200","-200","-200","-200","-200","-200","-200","-200","-200","-82.33161","-200","-77.74981","-200","-73.333275","-200","-200","-200","-200","-200","-200"
"2022-06-28T09:46:01.457","-200","-76.495255","-90.333275","-75.99925","-200","-200","-200","-200","-200","-200","-77.75406","-77.799995","-75.50125","-74.00112","-200","-200","-200","-200","-200","-52.501"
"2022-06-28T09:46:02.589","-200","-75.192314","-89.74894","-75.798805","-200","-92.001","-200","-200","-200","-200","-79.40819","-200","-76.002495","-200","-200","-200","-200","-200","-200","-52.601097"
"2022-06-28T09:46:03.702","-87.334274","-74.490395","-200","-75.83249","-200","-200","-200","-200","-91.0","-82.749435","-80.34442","-200","-75.83465","-200","-200","-200","-200","-200","-200","-52.835316"
"2022-06-28T09:46:04.813","-87.25056","-200","-200","-200","-200","-200","-200","-200","-90.749565","-82.3985","-200","-79.507774","-200","-74.60269","-200","-200","-200","-200","-200","-200"
"2022-06-28T09:46:05.946","-87.200294","-75.1388","-200","-200","-200","-200","-200","-200","-90.198006","-81.99692","-79.288414","-80.44125","-200","-74.33435","-200","-200","-200","-200","-200","-52.858994"
"2022-06-28T09:46:07.064","-200","-75.24739","-89.9999","-75.856575","-200","-92.2014","-89.500626","-200","-200","-200","-78.62159","-200","-75.570854","-200","-200","-200","-200","-200","-200","-53.381138"
"2022-06-28T09:46:08.188","-87.166756","-74.77013","-90.66963","-78.144295","-200","-92.837395","-91.2056","-200","-200","-81.99736","-78.32701","-200","-76.38151","-200","-200","-200","-200","-200","-200","-53.11358"
"2022-06-28T09:46:09.306","-86.99899","-200","-90.860916","-79.813576","-200","-200","-200","-88.24819","-91.33686","-81.997696","-200","-81.64652","-200","-72.99222","-98.0","-200","-200","-200","-200","-200"
"2022-06-28T09:46:10.424","-86.87303","-74.28634","-200","-200","-200","-200","-200","-88.1984","-92.294914","-82.11032","-200","-82.92227","-200","-71.984474","-97.49988","-200","-200","-200","-200","-200"
"2022-06-28T09:46:11.545","-200","-74.44484","-200","-79.4268","-200","-92.573204","-91.3386","-88.165184","-200","-200","-78.39526","-83.84293","-77.01284","-71.19965","-200","-200","-200","-200","-200","-53.40632"
"2022-06-28T09:46:12.660","-200","-74.40699","-90.878456","-79.10985","-200","-92.62702","-91.00235","-200","-200","-200","-77.98873","-200","-77.315796","-200","-200","-200","-200","-200","-200","-54.016186"
"2022-06-28T09:46:13.782","-200","-74.45374","-200","-79.01542","-200","-200","-91.00205","-200","-200","-81.794876","-77.64937","-83.57999","-77.749054","-71.179405","-200","-200","-200","-200","-200","-54.610374"
