"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","021","022","accer_x","accer_y","accer_z","gyro_x","gyro_y","gyro_z","magn_x","magn_y","magn_z"
"2022-07-14T22:52:24.237","-200","-53.0","-76.0","-65.0","-200","-85.0","-70.0","-200","-90.0","-200","-200","-200","-200","-65.0","-93.0","-200","-200","-200","-88.0","-63.0","-200","-90.0","-0.20709845","6.1040173","8.221688","0.20738874","1.0999392","0.20395264","0.39749998","-39.6","-23.1975"
"2022-07-14T22:52:25.306","-200","-60.001747","-200","-64.49988","-200","-200","-200","-75.0","-83.998505","-200","-200","-200","-63.0","-200","-200","-200","-200","-200","-200","-61.99975","-200","-200","-1.0881647","7.0844426","6.793547","0.06078109","-0.06620252","-0.06604981","3.5024998","-42.6","-16.102499"
"2022-07-14T22:52:26.440","-78.0","-200","-71.999","-64.666725","-200","-79.49863","-70.50012","-71.49912","-200","-63.0","-69.0","-200","-68.00125","-65.0","-200","-200","-200","-200","-200","-64.001495","-200","-200","-0.50996494","8.043321","6.83784","0.3594942","0.9056841","0.0463494","0.0","-43.4025","-15.3975"
"2022-07-14T22:52:27.577","-78.50012","-60.334774","-73.00017","-200","-200","-81.33395","-72.00133","-71.99983","-200","-70.50188","-71.0005","-72.0","-70.66972","-64.33278","-200","-88.0","-200","-94.0","-88.0","-200","-200","-89.49988","0.22146365","6.597223","7.0808516","-0.08582657","-0.13400856","0.0041996986","-0.6375","-44.37","-12.2699995"
"2022-07-14T22:52:28.704","-200","-61.50312","-74.25231","-65.5015","-200","-82.25206","-72.251434","-72.25031","-82.99817","-69.66722","-71.66756","-70.99975","-200","-63.24769","-200","-200","-200","-200","-88.66722","-65.00287","-200","-88.999504","2.754529","7.536947","5.076905","0.3857614","1.0968848","-0.16378824","-8.8875","-42.765","-16.095"
"2022-07-14T22:52:29.801","-200","-62.003994","-200","-65.8021","-200","-200","-200","-200","-81.99688","-200","-200","-200","-200","-200","-89.99925","-200","-200","-200","-88.50012","-65.40349","-200","-88.999626","-0.24660277","7.4627266","5.603629","0.13164146","-0.3581961","-0.017180584","-0.29999998","-44.399998","-13.1025"
"2022-07-14T22:52:30.916","-78.666885","-200","-200","-65.33295","-200","-200","-200","-73.002495","-81.395706","-200","-72.75256","-200","-67.99763","-200","-200","-200","-200","-200","-200","-65.67079","-200","-200","0.7529764","7.511808","5.1259856","-0.12186762","0.2764929","0.13187054","-1.8974999","-42.3","-16.199999"
"2022-07-14T22:52:32.038","-81.254684","-61.16618","-74.2017","-200","-200","-80.5967","-71.7998","-73.002075","-200","-68.74881","-75.81119","-69.66539","-68.5999","-64.602196","-200","-200","-96.0","-200","-89.202194","-200","-200","-200","-0.78170687","8.137892","8.070854","-0.3173445","-0.2616794","-0.11308643","-2.1","-42.6","-15.0975"
"2022-07-14T22:52:33.153","-200","-61.286068","-76.00965","-200","-200","-79.32479","-71.665886","-73.00178","-80.82716","-68.398","-77.01481","-69.248314","-200","-65.67338","-200","-89.500374","-200","-200","-88.163765","-200","-200","-89.2003","-0.061052144","7.8206596","6.326678","-0.106595986","-0.08819367","0.09521862","-0.6975","-41.9025","-17.4975"
"2022-07-14T22:52:34.274","-200","-62.384815","-78.02124","-65.57264","-76.0","-78.70296","-72.001495","-200","-80.564445","-67.49422","-200","-68.7973","-200","-200","-88.99867","-200","-200","-200","-200","-66.00569","-200","-88.99934","0.3878607","7.541735","6.4152637","-0.030848695","-0.015500706","0.36888626","0.2025","-41.9025","-17.699999"
