"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","accer_x","accer_y","accer_z","gyro_x","gyro_y","gyro_z","magn_x","magn_y","magn_z"
"2022-06-30T09:28:05.768","-64.0","-200","-200","-200","-77.0","-71.0","-64.0","-200","-77.0","-68.0","-89.0","-200","-68.0","-200","-200","-200","-200","-200","-84.0","-85.0","0.6500258","2.8993783","9.467871","-0.24373522","0.028731028","-0.120930955","-64.119","-9.671001","-71.73"
"2022-06-30T09:28:06.904","-64.0","-77.0","-65.0","-51.0","-79.0005","-68.9995","-64.0","-67.0","-74.9995","-65.9995","-85.49912","-200","-69.500374","-79.0","-200","-200","-200","-90.0","-200","-85.0","0.4417302","2.2134395","9.719262","-0.028099801","0.0049072835","-0.36161187","-61.792","-7.8409996","-78.844"
"2022-06-30T09:28:08.043","-200","-73.49912","-62.499374","-51.0","-80.00117","-68.999664","-200","-67.0","-74.33244","-200","-200","-200","-69.66705","-75.99925","-77.0","-85.0","-200","-88.499626","-79.999","-83.66556","-0.11492168","3.3854012","9.118318","0.06719518","0.07210246","-0.0586227","-56.9","-12.5","-83.4"
"2022-06-30T09:28:09.171","-200","-73.33261","-64.00083","-49.99917","-200","-200","-64.33361","-68.33444","-200","-200","-200","-200","-200","-77.000336","-79.0005","-83.99975","-200","-88.33295","-78.66489","-200","0.12090719","2.9963434","9.425972","-0.040927973","-0.08366818","-0.06228789","-58.4","-13.100002","-81.9"
"2022-06-30T09:28:10.288","-64.33361","-200","-200","-200","-200","-200","-64.500496","-70.75506","-200","-69.00217","-83.33094","-200","-73.506996","-200","-76.99867","-85.00066","-200","-200","-78.498375","-84.500626","0.4345476","3.3758245","9.196129","0.036651917","0.0415592","-0.078781255","-58.1","-13.299999","-83.0"
"2022-06-30T09:28:11.422","-63.749187","-72.748436","-200","-49.4985","-79.750435","-69.500626","-64.40009","-200","-74.24918","-70.25381","-82.747185","-200","-75.611885","-76.24894","-200","-200","-200","-200","-200","-84.4002","-0.23343466","3.3411086","9.221268","0.10690142","0.018957185","-0.06961828","-57.200005","-13.899998","-82.9"
"2022-06-30T09:28:12.553","-63.3983","-72.7989","-63.750187","-49.7997","-78.1957","-70.6038","-200","-71.40599","-73.3968","-200","-200","-200","-75.50944","-74.99541","-76.247696","-85.000496","-200","-87.74869","-200","-84.165764","0.9959879","3.572149","9.041702","-0.015882496","-0.13375913","-0.07145087","-57.200005","-15.0","-83.8"
"2022-06-30T09:28:13.678","-200","-71.82799","-62.396103","-52.67954","-200","-70.5027","-200","-72.00774","-200","-200","-200","-200","-200","-76.16818","-76.198006","-84.7998","-200","-87.3979","-81.006195","-200","1.0953473","0.40342298","10.832565","0.10873401","-0.22172372","-0.68781394","-66.169","-23.832","-80.652"
"2022-06-30T09:28:14.787","-62.494465","-200","-61.325207","-200","-200","-200","-65.337685","-72.29419","-200","-71.40649","-82.3967","-81.0","-200","-200","-77.671715","-200","-200","-88.50329","-81.67487","-200","3.1771057","1.1767502","9.524135","-0.09590584","0.059885155","-0.29686016","-76.322","-28.54","-71.039"
"2022-06-30T09:28:15.923","-61.992016","-71.996506","-200","-200","-77.49322","-70.5742","-65.72048","-200","-71.32121","-200","-80.990845","-81.0","-76.58646","-200","-200","-200","-200","-200","-82.58433","-82.99166","3.359065","2.0518308","8.945934","0.10018189","0.13196725","0.066604674","-75.9","-33.3","-69.5"
"2022-06-30T09:28:17.054","-61.236477","-71.492584","-61.566013","-54.163456","-75.55311","-71.006165","-65.62964","-71.75273","-70.124756","-72.00815","-80.41702","-200","-76.890785","-76.144","-200","-85.50304","-200","-88.862274","-200","-81.857895","3.095703","2.0470424","9.198523","-0.023823746","0.022622375","-0.050070588","-74.3","-33.5","-70.1"
