"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","021","022","accer_x","accer_y","accer_z","gyro_x","gyro_y","gyro_z","magn_x","magn_y","magn_z"
"2022-06-30T10:19:56.177","-58.0","-82.0","-67.0","-65.0","-62.0","-63.0","-200","-71.0","-70.0","-200","-200","-200","-89.0","-88.0","-200","-200","-88.0","-86.0","-200","-200","-93.0","-200","-0.8750807","1.8327614","9.631873","0.061208695","0.027936906","-0.010160725","2.5","-27.099998","-38.6"
"2022-06-30T10:19:57.313","-200","-81.49988","-65.99975","-64.49988","-62.0","-63.500126","-200","-72.00025","-200","-200","-200","-200","-200","-86.499626","-73.0","-200","-200","-90.50112","-76.0","-200","-91.99975","-82.0","-1.0079589","1.7896658","9.725247","0.03005457","-0.009936742","0.030767247","3.0999985","-27.2","-38.1"
"2022-06-30T10:19:58.433","-57.499874","-200","-65.66622","-200","-200","-200","-76.0","-74.00183","-200","-73.0","-82.0","-200","-200","-200","-71.99975","-79.0","-89.00025","-200","-76.0","-200","-200","-82.0","-0.8726865","1.6172832","9.458294","0.0050090933","-0.011158471","0.011219558","1.9000015","-26.400002","-38.7"
"2022-06-30T10:19:59.556","-56.9995","-79.665054","-200","-200","-66.003334","-62.666058","-77.00025","-200","-71.500374","-76.00075","-200","-200","-81.49812","-200","-200","-200","-89.00017","-200","-76.0","-200","-200","-82.0","-0.8331822","1.4987702","9.718064","0.05815437","-0.028873567","0.03565417","2.4000015","-26.099998","-39.0"
"2022-06-30T10:20:00.693","-56.498753","-78.747185","-66.751564","-63.9995","-70.7608","-63.000126","-200","-74.50225","-72.00066","-77.66856","-85.00075","-200","-78.663055","-86.66656","-200","-200","-90.25231","-90.66755","-200","-200","-93.667885","-200","-1.0630256","1.5837644","9.757569","-0.011484269","0.051760647","-0.023599759","2.699997","-26.099998","-39.0"
"2022-06-30T10:20:01.826","-200","-77.9955","-67.2026","-63.749187","-73.01538","-63.0001","-200","-74.4015","-72.25094","-200","-200","-200","-77.24481","-87.25094","-72.33344","-83.001","-200","-90.75081","-77.00175","-200","-94.25193","-85.75656","-1.2030864","1.6124948","9.556456","0.015393802","0.024882577","-0.0040520728","3.0","-26.599998","-38.7"
"2022-06-30T10:20:02.975","-200","-77.32654","-67.336105","-63.5989","-200","-200","-77.33378","-74.334274","-200","-78.002","-200","-200","-200","-87.2006","-72.500374","-83.667885","-200","-91.201996","-77.603195","-200","-200","-87.61079","-1.3634979","1.7286136","9.574412","0.016004667","0.0578693","-0.022988895","3.9000015","-26.8","-38.2"
"2022-06-30T10:20:04.089","-58.204098","-200","-200","-200","-72.00823","-62.832653","-79.00325","-200","-73.003","-75.39381","-200","-200","-76.9951","-200","-74.40599","-84.001495","-200","-200","-78.33935","-200","-200","-86.67138","-1.5023615","1.9081788","9.543288","-0.0072082113","0.012665273","0.0026674455","4.100006","-27.2","-38.3"
"2022-06-30T10:20:05.211","-59.174503","-76.416885","-200","-63.331196","-71.28813","-61.418877","-77.9996","-200","-73.33736","-73.65358","-200","-200","-76.82849","-86.83215","-200","-200","-90.4023","-200","-200","-200","-200","-200","-2.3834279","1.1528081","9.4295635","-0.32119295","0.5826025","1.4754635","1.0","-26.0","-39.1"
"2022-06-30T10:20:06.351","-60.012115","-77.246956","-69.875885","-63.13979","-70.99962","-62.87915","-200","-74.142426","-72.56993","-200","-200","-200","-76.56558","-86.7125","-200","-83.3994","-89.497795","-90.665886","-77.284065","-200","-92.797195","-85.85593","-1.2844892","1.6053122","8.88608","-0.06401868","0.06825401","0.48525098","-12.300003","-10.299999","-45.1"
"2022-06-30T10:20:07.466","-200","-77.66867","-69.89153","-63.374344","-71.56149","-200","-75.82309","-73.36792","-200","-200","-200","-200","-200","-87.25311","-200","-83.499954","-200","-89.41987","-78.63525","-200","-200","-84.61318","-1.733402","1.9668367","9.528923","0.069760814","0.08719084","-0.1091209","-14.400002","-3.2999992","-44.9"
"2022-06-30T10:20:08.579","-200","-200","-71.81395","-200","-200","-200","-74.26691","-73.101845","-200","-74.13474","-200","-200","-200","-200","-200","-82.852936","-200","-200","-78.4515","-200","-200","-84.207184","-1.5298948","1.8902222","9.562442","0.019058993","0.07619526","0.01488475","-13.900002","-3.5","-45.3"
"2022-06-30T10:20:09.700","-60.64104","-78.10795","-200","-200","-71.20029","-62.3309","-72.97234","-200","-73.38071","-74.369934","-200","-200","-77.62909","-200","-200","-200","-89.28243","-200","-78.30429","-200","-92.16143","-200","-1.7154455","1.9752164","9.386468","0.017837264","-0.044145197","-0.032151874","-12.900002","-3.0","-46.0"
"2022-06-30T10:20:10.837","-61.692673","-78.560425","-72.542755","-64.00648","-70.81179","-61.68882","-71.96416","-74.714226","-73.56266","-74.5531","-200","-200","-78.34496","-87.89887","-200","-81.988846","-200","-89.49302","-200","-200","-92.282005","-200","-1.8112136","1.851915","9.481039","-0.059131756","0.008389216","0.028323786","-12.199997","-2.7999992","-46.0"
"2022-06-30T10:20:11.967","-200","-78.68291","-73.50997","-64.31008","-70.57256","-61.070152","-200","-74.09321","-73.50559","-200","-200","-200","-78.81708","-88.01055","-73.6683","-81.9901","-200","-88.651054","-77.5362","-200","-92.246445","-83.476234","-2.1416135","1.7202339","9.64983","-0.14526376","-0.058195096","0.04176282","-11.300003","-1.0999985","-46.6"
"2022-06-30T10:20:13.086","-200","-200","-74.06215","-64.651375","-200","-200","-71.15643","-73.57479","-200","-74.699844","-200","-200","-200","-200","-73.42842","-82.09252","-200","-87.87509","-76.980095","-200","-92.106384","-82.87723","-2.1691468","1.4197617","9.636662","-0.053633973","-0.011158471","0.116899244","-11.199997","-0.5","-46.6"
"2022-06-30T10:20:14.201","-62.940876","-200","-200","-200","-71.00043","-60.63878","-70.12454","-200","-73.921295","-74.91259","-200","-200","-200","-200","-73.75267","-200","-200","-200","-76.66633","-200","-200","-82.54735","-1.9608512","1.4508862","9.607931","-0.04691445","0.03099123","0.02404773","-9.699997","1.5999985","-46.4"
"2022-06-30T10:20:15.327","-63.963764","-78.944405","-200","-65.10644","-71.0739","-60.036583","-69.51838","-73.608315","-74.863884","-75.005104","-200","-200","-78.7415","-88.37955","-200","-200","-88.36418","-200","-200","-200","-91.28424","-200","-2.0566192","1.5035586","9.793482","-0.117774814","0.17882062","0.6764518","-9.099998","5.199997","-46.1"
"2022-06-30T10:20:16.461","-64.47733","-79.536514","-73.97842","-65.49222","-70.31087","-59.592876","-200","-73.5636","-74.55928","-200","-200","-200","-78.84857","-87.66661","-200","-81.436516","-87.873795","-86.59174","-76.76436","-200","-90.79549","-82.0312","-2.0362685","1.4975731","9.813833","-0.037751473","0.057258435","0.34230852","15.085007","13.219002","-42.602"
"2022-06-30T10:20:17.586","-200","-80.05077","-74.34752","-65.823555","-69.836395","-200","-200","-73.11134","-200","-75.16237","-200","-200","-200","-87.45639","-72.88153","-81.399376","-200","-86.030914","-76.43607","-200","-90.3024","-81.58788","-2.1655555","1.745373","9.004593","0.11129965","-0.06369288","-0.15921184","20.300003","10.5","-41.8"
"2022-06-30T10:20:18.694","-200","-200","-200","-200","-200","-200","-68.768005","-200","-74.88569","-75.22394","-200","-200","-200","-200","-71.87935","-81.446724","-88.08943","-200","-76.083275","-200","-200","-200","-2.2744915","1.7884687","9.437943","-0.01637119","0.03771075","0.04054109","19.199997","10.800003","-42.2"
"2022-06-30T10:20:19.820","-64.99154","-80.436874","-200","-66.11133","-69.662285","-59.68983","-68.49104","-200","-75.03137","-76.035355","-200","-200","-79.49118","-200","-71.058075","-200","-87.6187","-200","-200","-200","-90.12089","-200","-2.3295584","1.6412252","9.423578","0.00928515","-0.0062715495","-0.021156298","18.800003","12.099998","-42.0"
"2022-06-30T10:20:20.948","-65.580185","-80.71698","-74.32357","-66.5584","-69.3323","-59.77486","-200","-72.77962","-75.483635","-200","-200","-200","-80.1166","-87.496346","-200","-81.19338","-87.3959","-85.79198","-200","-200","-89.965","-200","-2.255338","1.7322049","9.437943","0.017837264","-0.030095294","0.022826","17.899994","11.800003","-42.4"
"2022-06-30T10:20:22.073","-200","-80.96659","-74.43237","-66.95382","-68.81422","-59.850067","-200","-72.48622","-75.699486","-200","-200","-200","-80.59089","-87.53105","-70.54265","-81.04225","-200","-85.58676","-75.709854","-200","-89.7607","-81.61628","-2.2493525","1.745373","9.540894","-0.005986482","0.010832677","0.0045000413","18.600006","11.800003","-42.2"
"2022-06-30T10:20:23.187","-200","-200","-74.22168","-67.13135","-200","-200","-68.043785","-72.22477","-200","-77.26615","-88.67022","-200","-200","-200","-70.3422","-80.58521","-200","-85.54633","-75.551926","-200","-200","-81.77098","-2.8119898","1.7932571","9.524135","-0.01637119","0.09696468","0.18714875","19.300003","11.800003","-41.7"
"2022-06-30T10:20:24.312","-66.29815","-200","-200","-200","-68.39972","-59.97536","-68.43034","-200","-75.425606","-77.311195","-89.253685","-200","-80.55254","-200","-70.09654","-200","-87.60119","-200","-75.132675","-200","-200","-81.47811","-1.0953473","0.35673606","9.392453","-0.23872614","-0.14677055","0.4272188","28.5","5.5","-38.5"
"2022-06-30T10:20:25.438","-66.3437","-80.8019","-200","-67.734726","-67.972824","-60.420853","-68.895004","-72.43435","-75.346466","-77.409615","-200","-200","-80.94832","-86.977394","-200","-200","-87.704","-85.31618","-200","-200","-89.257034","-200","-1.9668367","1.757344","9.205706","-0.059742622","0.12872967","0.054590993","30.899994","0.40000153","-37.2"
"2022-06-30T10:20:26.562","-66.445366","-80.75937","-74.15048","-68.17315","-67.58361","-60.55766","-200","-72.14609","-75.222","-200","-200","-200","-81.12617","-86.54909","-70.2277","-81.10175","-200","-85.23538","-75.28477","-200","-89.118484","-81.50853","-2.4672248","1.839944","9.445126","0.041050144","0.05664757","-0.007717264","32.100006","-0.29999924","-36.4"
"2022-06-30T10:20:27.690","-200","-80.7716","-74.14213","-68.52011","-200","-200","-68.90112","-71.782906","-200","-77.33136","-89.2028","-200","-200","-200","-70.40762","-80.97926","-200","-85.04683","-75.47359","-200","-88.87846","-81.64684","-2.883816","1.946486","9.131485","-0.018203788","-0.0062715495","0.0368759","33.600006","-0.29999924","-35.4"
"2022-06-30T10:20:28.809","-200","-200","-73.97546","-200","-200","-200","-68.96213","-200","-200","-77.63205","-200","-200","-200","-200","-70.075676","-81.14696","-200","-200","-75.45047","-200","-200","-81.61253","-2.9005754","1.8148049","9.229648","0.0062308237","-0.0282627","-0.00832813","34.0","0.40000153","-35.0"
"2022-06-30T10:20:29.932","-66.30286","-80.29458","-200","-68.592354","-67.08619","-61.037544","-69.65371","-200","-75.82059","-77.752396","-200","-200","-81.452255","-200","-200","-200","-87.724396","-200","-200","-200","-200","-200","-2.6850972","1.8243817","9.363723","-0.018814653","0.031602096","0.13278174","33.300003","0.0","-35.7"
"2022-06-30T10:20:31.064","-66.1195","-79.95174","-73.417656","-68.51752","-66.67417","-61.475067","-200","-71.256516","-75.92698","-200","-200","-200","-81.64044","-86.45881","-200","-200","-87.74228","-85.54387","-200","-200","-89.05176","-200","-2.586935","1.780089","9.352949","0.0062308237","0.024882577","0.008776098","33.100006","-1.0","-36.0"
"2022-06-30T10:20:32.186","-200","-79.636505","-73.39727","-68.63009","-66.46928","-200","-200","-70.680466","-200","-200","-200","-200","-81.4046","-86.21127","-69.95471","-81.03307","-200","-85.62111","-75.1003","-200","-88.99597","-81.937164","-2.4779987","1.6699557","9.208099","0.025778512","0.049317185","-0.06025167","33.100006","-0.9000015","-35.9"
"2022-06-30T10:20:33.305","-200","-200","-200","-200","-200","-200","-69.36637","-70.37753","-200","-77.618034","-89.00141","-200","-200","-85.934845","-70.45686","-81.082214","-200","-85.691185","-74.732994","-200","-200","-82.28195","-2.6324248","2.6408045","8.804677","0.13390166","-0.10339912","0.0038891758","33.699997","-1.0999985","-35.3"
"2022-06-30T10:20:34.428","-66.06012","-200","-200","-200","-66.61917","-61.640736","-69.00677","-200","-75.93041","-77.63599","-89.57635","-200","-81.18958","-200","-70.43263","-200","-87.573944","-200","-74.65703","-200","-200","-82.4097","-2.2697031","1.0546459","10.316615","-0.4378682","0.21119648","0.84505063","29.104996","-15.941002","-36.19"
"2022-06-30T10:20:35.563","-66.00624","-79.65244","-73.80159","-68.47096","-66.75841","-61.52099","-68.771454","-70.360985","-75.93357","-77.335075","-88.74713","-200","-80.992676","-86.19227","-200","-200","-87.423935","-85.26691","-200","-200","-88.64042","-200","-1.8986019","1.3204023","9.5013895","-0.017592922","-0.028873567","0.17798577","27.100006","-20.099998","-35.9"
"2022-06-30T10:20:36.693","-66.10357","-79.24266","-73.40247","-68.450966","-66.60801","-61.673492","-200","-70.2183","-76.33101","-200","-200","-200","-80.90231","-86.42697","-70.309","-80.93175","-200","-85.06637","-74.54423","-200","-88.60915","-82.79923","-2.2936451","1.5215151","9.229648","0.11863003","0.107960254","-0.05475389","26.100006","-21.900002","-35.9"
"2022-06-30T10:20:37.818","-200","-78.90319","-73.340996","-68.55595","-200","-200","-68.23767","-70.00339","-200","-76.838196","-89.000275","-200","-200","-86.5009","-70.293915","-81.263954","-200","-85.199394","-74.686554","-200","-88.67452","-83.46557","-2.3463178","1.1563994","9.799467","-0.13121386","0.17882062","0.19570087","27.699997","-21.900002","-34.7"
"2022-06-30T10:20:38.942","-66.4277","-200","-73.15671","-200","-200","-61.602448","-67.83273","-200","-76.06223","-76.46298","-89.50735","-200","-200","-200","-70.1391","-81.705444","-87.23386","-200","-74.619064","-200","-200","-83.78543","-2.0901382","1.3000516","9.455899","-0.040194936","-0.07468846","0.16576847","26.100006","-22.0","-35.4"
