"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","021","022","accer_x","accer_y","accer_z","gyro_x","gyro_y","gyro_z","magn_x","magn_y","magn_z"
"2022-07-14T22:42:59.218","-200","-52.0","-81.0","-65.0","-200","-85.0","-79.0","-200","-85.0","-80.0","-200","-69.0","-200","-75.0","-84.0","-200","-200","-200","-88.0","-63.0","-200","-96.0","-0.25857377","3.6343982","9.02614","0.8695667","0.6417903","0.24732406","-9.0","-28.8975","-40.4025"
"2022-07-14T22:43:00.302","-85.0","-54.500626","-200","-69.001","-200","-200","-200","-200","-85.0","-200","-200","-200","-76.0","-200","-89.50137","-200","-200","-99.0","-200","-75.50312","-200","-93.9995","-2.2529438","3.3973722","8.767567","-0.2837469","-2.194457","-2.0024927","-5.4674997","-38.4825","-31.439999"
"2022-07-14T22:43:00.741","-82.499374","-200","-200","-200","-200","-200","-200","-200","-85.0","-200","-65.0","-200","-200","-200","-200","-200","-200","-200","-200","-73.66722","-200","-200","-0.62728083","7.632715","6.101623","1.6355917","-0.9666179","-0.25175285","-3.1125","-40.7925","-26.887499"
"2022-07-14T22:43:00.903","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-65.0","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-0.78649527","6.5828576","4.6339774","1.3020593","-0.7210501","-0.31833714","0.195","-45.4875","-14.594999"
"2022-07-14T22:43:02.136","-82.33278","-200","-75.49863","-200","-200","-83.99975","-76.499374","-76.0","-200","-77.9995","-67.668884","-66.499374","-68.99825","-69.99875","-200","-90.0","-200","-200","-91.00075","-72.24794","-200","-200","-1.210269","6.513426","8.944737","-0.010079277","-0.5726098","0.31574097","2.1975","-41.7","-23.3025"
"2022-07-14T22:43:03.228","-83.00075","-55.00083","-79.002","-200","-200","-82.66539","-76.33278","-200","-200","-75.33078","-66.24918","-65.33195","-200","-70.66639","-200","-200","-200","-200","-89.999664","-200","-200","-92.66522","-1.4317327","5.261258","8.7771435","0.33444872","0.49457178","0.14225525","2.4975","-39.0975","-25.297499"
"2022-07-14T22:43:04.348","-200","-55.25106","-200","-72.67039","-200","-84.00137","-76.49988","-200","-200","-75.74882","-200","-65.24882","-200","-200","-90.66856","-200","-200","-200","-89.248436","-73.0006","-200","-200","-0.45010993","5.5270147","6.1746464","0.33628133","-0.88659453","-0.25541803","2.0025","-40.2","-22.199999"
"2022-07-14T22:43:05.463","-82.198204","-200","-200","-71.50075","-200","-200","-200","-200","-84.49912","-200","-200","-200","-70.33328","-200","-200","-200","-200","-200","-200","-72.498215","-200","-200","1.1599907","7.845799","5.42167","0.45051312","0.092622444","0.16180293","0.59999996","-42.802498","-15.5025"
"2022-07-14T22:43:06.588","-82.49988","-200","-79.001495","-73.20569","-200","-85.0041","-78.204994","-80.001","-200","-74.79621","-67.001595","-66.803696","-71.00113","-75.00737","-200","-200","-200","-200","-200","-71.85144","-200","-200","-0.059855044","7.465121","6.063316","-0.015577064","-0.08391761","-0.008017606","1.8974999","-42.6975","-15.697499"
"2022-07-14T22:43:07.708","-82.428","-56.003094","-81.40839","-200","-200","-85.00341","-78.84039","-83.00317","-200","-74.160614","-200","-67.50628","-72.6057","-75.40709","-200","-200","-200","-200","-88.7974","-200","-200","-200","-0.5494693","7.9248075","6.4583592","-0.06078109","0.088346384","0.028023442","2.1975","-42.2025","-16.4025"
"2022-07-14T22:43:08.821","-200","-56.83972","-82.34459","-73.67354","-200","-200","-200","-200","-85.20139","-73.99374","-69.01048","-67.721054","-200","-76.00865","-90.25069","-200","-200","-200","-200","-71.4919","-200","-200","-0.10175357","7.455544","6.519411","-0.027794369","0.034590244","0.028023442","2.0025","-42.899998","-15.5025"
"2022-07-14T22:43:09.936","-200","-56.862766","-200","-73.28912","-200","-200","-200","-200","-85.335106","-200","-200","-200","-73.174","-200","-89.7992","-200","-200","-200","-200","-70.98716","-200","-200","0.62368953","7.739257","4.1611223","0.29168814","0.04925101","0.22716552","1.5975","-42.997498","-14.099999"
"2022-07-14T22:43:11.075","-82.752304","-200","-200","-73.25267","-200","-200","-200","-82.501495","-85.57449","-200","-69.00897","-200","-74.01169","-200","-200","-200","-200","-200","-200","-70.58279","-200","-200","0.62009823","7.394492","6.2512608","-0.15057829","0.037644573","0.036575556","0.29999998","-42.3","-16.199999"
"2022-07-14T22:43:12.177","-82.555405","-200","-200","-200","-200","-200","-79.72604","-81.799095","-200","-73.23798","-68.37739","-68.26059","-74.89285","-76.15119","-200","-92.0005","-200","-200","-200","-200","-200","-200","1.6316484","5.8466406","4.522647","0.31245756","-0.09980011","0.44035748","1.8974999","-41.9025","-17.1975"
"2022-07-14T22:43:13.292","-200","-56.501797","-81.43234","-200","-200","-85.00292","-78.87795","-81.330444","-200","-73.32361","-68.559715","-69.24261","-200","-75.50167","-200","-200","-200","-200","-200","-200","-200","-200","-0.51235914","8.51019","5.7269306","0.4908302","0.17325665","-0.10514518","1.1999999","-43.2","-13.2"
"2022-07-14T22:43:14.415","-200","-56.557777","-81.37783","-74.68504","-200","-85.7591","-79.565865","-200","-85.62814","-73.696465","-200","-69.116585","-200","-200","-90.335106","-200","-200","-200","-88.161606","-70.80636","-200","-200","-0.009576807","7.3226657","6.4990606","0.046120327","0.12255484","-0.008017606","1.8","-42.6975","-15.202499"
"2022-07-14T22:43:15.525","-83.00617","-56.70405","-200","-76.3397","-200","-200","-200","-200","-85.89466","-200","-67.69159","-200","-75.69146","-200","-200","-200","-200","-200","-200","-71.163155","-200","-200","0.016759412","7.8027034","6.7133417","-0.13836098","0.09812023","0.13125966","2.3025","-43.1025","-13.799999"
"2022-07-14T22:43:16.650","-83.19059","-200","-81.11064","-77.23321","-200","-200","-79.60989","-82.14564","-200","-73.90952","-66.88768","-69.198296","-75.92559","-76.68133","-200","-93.66839","-200","-200","-200","-71.229126","-200","-200","0.44532153","7.5584946","5.4623713","0.35033122","0.18791743","-0.16867517","-0.0975","-42.802498","-14.197499"
"2022-07-14T22:43:17.783","-200","-57.471363","-80.69374","-200","-200","-86.0109","-79.27601","-82.12727","-200","-74.08738","-67.918205","-68.8411","-75.19253","-76.61223","-200","-200","-200","-200","-88.71351","-200","-200","-92.9995","-0.14604631","7.499837","6.126762","0.11942416","-0.027718011","-0.14240795","0.0","-42.6","-15.8025"
"2022-07-14T22:43:18.892","-200","-57.6865","-81.646996","-77.38353","-200","-86.51689","-79.67793","-200","-86.108185","-74.001656","-200","-68.932465","-200","-77.20305","-90.14314","-200","-200","-200","-200","-70.991776","-200","-200","0.049081136","7.3992805","6.51582","0.038179077","0.030314188","0.028023442","1.8974999","-42.0975","-16.5"
"2022-07-14T22:43:19.997","-200","-57.947716","-200","-77.74747","-200","-200","-200","-200","-86.283165","-200","-200","-200","-75.00599","-200","-200","-200","-200","-200","-200","-70.78563","-200","-92.5984","0.12689269","7.702147","6.0645127","0.083383106","0.04802928","0.005421429","1.2975","-42.6975","-15.202499"
"2022-07-14T22:43:21.119","-200","-200","-200","-77.83953","-200","-200","-200","-81.88824","-86.344154","-200","-68.161156","-200","-74.69018","-200","-200","-200","-200","-200","-200","-70.66975","-200","-200","0.08020575","7.445967","6.519411","0.03390302","-0.016111571","-0.05261077","0.6975","-42.3975","-16.199999"
"2022-07-14T22:43:22.236","-83.514694","-58.392574","-81.16654","-200","-200","-87.4865","-79.545654","-82.00099","-200","-74.66306","-67.487785","-68.79042","-75.006966","-76.84545","-200","-94.75318","-200","-200","-88.24527","-200","-200","-200","0.12689269","7.4208283","6.5505357","-0.025961773","-0.012446379","0.02985604","1.1025","-42.5025","-15.997499"
"2022-07-14T22:43:23.357","-200","-58.43443","-80.99574","-78.33292","-200","-87.78544","-79.65255","-82.27838","-86.79003","-75.0308","-66.90295","-68.52924","-200","-76.22696","-90.12509","-200","-200","-200","-87.88061","-200","-200","-200","-0.4165911","7.6949644","6.23091","0.013744468","-0.003894266","0.039629884","2.7","-43.2","-13.5"
"2022-07-14T22:43:24.485","-200","-58.536034","-80.70204","-78.57091","-200","-200","-79.60759","-200","-87.09948","-75.4182","-200","-68.3651","-200","-75.91627","-89.99867","-200","-200","-200","-87.48704","-70.62863","-200","-200","-0.22505496","7.6351094","5.9531827","0.057726767","0.00038179077","-0.02695443","1.8","-43.1025","-14.197499"
"2022-07-14T22:43:25.586","-83.78945","-58.6259","-200","-200","-200","-200","-200","-200","-87.09263","-200","-66.45495","-200","-74.868675","-200","-90.10023","-200","-200","-200","-200","-70.47544","-200","-200","-0.6607997","7.7967176","6.277597","0.064446285","0.039477166","-0.015347989","2.3999999","-42.997498","-14.4"
"2022-07-14T22:43:26.726","-84.17244","-200","-80.92928","-78.597244","-200","-200","-79.892654","-82.16962","-200","-75.14699","-67.04087","-68.58823","-74.8123","-76.33546","-200","-200","-200","-200","-200","-70.44904","-200","-200","-0.21547815","7.419631","6.420052","0.016187929","-0.020998493","-0.0019089539","1.8974999","-42.6975","-15.299999"
"2022-07-14T22:43:27.854","-84.36727","-58.472866","-81.12857","-200","-200","-200","-79.776474","-82.15624","-200","-74.90531","-67.38816","-68.787056","-74.946594","-75.98919","-200","-200","-200","-200","-87.349495","-200","-200","-200","-0.21308395","7.6387005","6.215348","0.00030543262","0.027259862","0.009697486","1.8974999","-42.997498","-14.4"
"2022-07-14T22:43:28.977","-200","-58.335583","-81.18206","-78.795555","-200","-200","-79.731224","-82.14476","-86.89192","-74.79954","-67.69971","-68.85439","-200","-75.805695","-200","-200","-200","-200","-87.064514","-70.425224","-200","-200","0.108936176","8.002619","5.3965306","0.07727446","0.15187638","-0.056886826","2.3999999","-43.5","-12.599999"
"2022-07-14T22:43:30.088","-200","-58.264736","-200","-79.36206","-94.0","-200","-200","-200","-200","-200","-200","-200","-75.29938","-200","-90.36844","-200","-200","-200","-200","-70.50526","-200","-92.665634","-0.40821138","7.5549035","6.1530986","0.0033597588","-0.0051159966","-0.019013181","2.6025","-42.899998","-14.7975"
"2022-07-14T22:43:31.212","-84.603035","-200","-81.34628","-79.60808","-92.499626","-200","-200","-82.20369","-87.021324","-200","-67.39737","-68.64994","-75.22724","-75.64218","-90.59233","-200","-200","-200","-200","-70.52941","-200","-200","-0.22984336","7.5884223","6.167464","-0.03145956","0.017486017","-0.028787024","2.3999999","-42.6975","-15.0"
"2022-07-14T22:43:32.332","-84.87294","-200","-81.160515","-200","-200","-88.51186","-79.524086","-82.06067","-200","-75.07539","-67.377174","-68.66773","-75.1091","-75.43999","-200","-200","-200","-200","-200","-200","-200","-200","-0.4321534","6.9958572","7.1083846","-0.09010262","-0.031994067","-0.11064297","2.1","-41.9025","-17.4"
"2022-07-14T22:43:33.458","-200","-58.20046","-80.93983","-79.83129","-200","-88.10673","-79.708466","-82.36387","-86.72869","-75.57979","-67.4564","-68.73277","-200","-75.3636","-200","-200","-200","-200","-86.90176","-200","-200","-200","0.40701428","7.121553","6.715736","-0.058948494","-0.36125043","0.059788436","0.9","-41.7","-17.602499"
"2022-07-14T22:43:34.584","-200","-58.141857","-80.688774","-79.88834","-200","-87.68595","-79.7741","-200","-86.57721","-76.03966","-200","-68.98033","-200","-75.7517","-200","-200","-200","-200","-86.76197","-70.12853","-200","-200","-0.1364695","6.9838862","6.870162","0.046731193","-0.022220224","-0.0012980887","3.2024999","-40.8975","-19.4025"
"2022-07-14T22:43:35.700","-84.53068","-58.088192","-200","-79.846596","-200","-200","-200","-200","-200","-200","-67.62295","-200","-74.84944","-200","-200","-200","-200","-200","-200","-69.80528","-200","-200","-0.21308395","7.297527","6.51582","0.04795292","0.004046982","0.016417004","3.6975","-41.7975","-17.1"
"2022-07-14T22:43:36.811","-84.27916","-200","-200","-200","-200","-200","-80.126854","-200","-200","-75.8968","-67.866776","-69.026566","-74.85679","-75.32446","-200","-200","-200","-200","-200","-69.550804","-200","-200","-0.36511576","7.7943234","6.3542113","0.08032878","-0.01488984","0.19112447","3.0","-42.3","-16.4025"
"2022-07-14T22:43:37.937","-84.158264","-58.174885","-80.89924","-200","-200","-87.44673","-80.35589","-82.34267","-200","-75.67475","-68.223305","-68.89389","-75.19251","-75.262215","-200","-200","-200","-200","-200","-200","-200","-200","0.18674773","6.9288197","7.493851","-0.2660318","0.10239629","0.06650795","0.29999998","-42.3","-16.8"
"2022-07-14T22:43:39.056","-200","-57.94804","-80.90398","-79.53613","-200","-200","-80.38509","-200","-86.86485","-75.469826","-200","-68.9833","-200","-75.47705","-90.2303","-95.003296","-200","-200","-86.709465","-69.315155","-200","-200","0.6488287","6.266823","5.209783","0.47067168","0.964938","0.19540052","-1.9124999","-40.7925","-18.2925"
"2022-07-14T22:43:40.184","-200","-57.737976","-200","-79.11811","-200","-200","-200","-200","-87.07501","-200","-200","-200","-75.90931","-200","-200","-200","-200","-200","-200","-69.05507","-200","-200","0.33518824","7.48188","5.827487","-0.042455133","-0.32704198","0.030466905","0.5025","-42.5025","-15.9"
"2022-07-14T22:43:41.299","-200","-200","-200","-78.6461","-200","-200","-200","-82.49019","-87.217804","-200","-68.34119","-68.81925","-75.913284","-75.4123","-89.99287","-200","-200","-200","-200","-68.81277","-200","-200","0.93493575","6.849811","6.740875","-0.16157386","-0.3917937","-0.14668402","-1.5975","-41.9025","-17.602499"
"2022-07-14T22:43:42.415","-200","-57.707584","-80.81764","-200","-200","-87.051","-80.2367","-82.14592","-200","-75.49233","-68.20358","-69.1066","-76.129234","-75.43725","-200","-200","-200","-200","-86.72832","-200","-200","-93.28885","0.45370123","6.277597","7.0605006","0.26542094","-0.28122708","0.03596469","-1.8","-40.4025","-20.4"
