"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","021","022","accer_x","accer_y","accer_z","gyro_x","gyro_y","gyro_z","magn_x","magn_y","magn_z"
"2022-06-30T10:10:53.622","-77.0","-200","-76.0","-200","-200","-200","-70.0","-91.0","-200","-200","-200","-200","-200","-200","-58.0","-77.0","-85.0","-200","-85.0","-200","-200","-73.0","-1.590947","2.372654","9.351752","0.03005457","0.01938479","0.0014457148","19.699997","-26.0","-35.2"
"2022-06-30T10:10:54.731","-77.0","-200","-200","-200","-65.0","-61.0","-70.50012","-200","-68.0","-88.0","-200","-200","-94.0","-200","-58.0","-200","-83.99975","-200","-83.99975","-200","-200","-200","-1.6017209","2.5198972","9.264363","0.007452554","-0.01909972","-0.005273803","20.100006","-26.599998","-34.7"
"2022-06-30T10:10:55.870","-77.66722","-85.0","-76.50012","-73.0","-64.49988","-61.500126","-70.666885","-200","-69.500374","-88.0","-200","-200","-94.0","-79.0","-200","-77.0","-83.33261","-87.0","-200","-200","-88.0","-200","-1.5454572","2.5845408","9.3421755","-0.015149459","0.025493443","-0.0022194765","19.800003","-27.0","-34.4"
"2022-06-30T10:10:56.996","-200","-89.50112","-75.66605","-76.00075","-64.333115","-200","-200","-87.99925","-69.66705","-200","-200","-200","-92.66556","-80.500374","-59.334442","-77.0","-200","-200","-83.66622","-200","-88.0","-75.0005","-1.8674773","2.2816741","9.740809","-0.014538594","0.084747374","-0.018101972","19.600006","-26.3","-35.0"
"2022-06-30T10:10:58.131","-200","-200","-75.24881","-77.00133","-200","-200","-71.25118","-89.33395","-200","-85.331116","-200","-200","-200","-81.00066","-59.50112","-78.25219","-200","-82.999","-82.9985","-200","-87.33278","-75.66756","-1.4640543","2.742558","9.194932","0.04899139","-0.0985122","0.007554367","19.600006","-27.400002","-33.8"
"2022-06-30T10:10:59.259","-77.50012","-200","-200","-200","-200","-200","-71.8026","-200","-68.49825","-83.996","-96.0","-200","-200","-200","-59.199997","-200","-83.75019","-200","-82.1964","-200","-200","-76.251686","-1.7082629","2.9951463","8.582016","0.027611107","0.031602096","0.09612983","19.0","-28.400002","-33.3"
"2022-06-30T10:11:00.388","-78.402794","-90.00117","-200","-78.50362","-65.001","-61.66689","-72.003075","-200","-67.59591","-200","-200","-200","-92.74931","-200","-200","-200","-84.0009","-200","-200","-200","-88.501625","-200","-1.4401124","2.8119898","8.917204","-0.114109635","0.0578693","0.024658594","17.699997","-29.099998","-33.1"
"2022-06-30T10:11:01.536","-80.00965","-90.00088","-74.9983","-77.6002","-67.60859","-62.251186","-200","-87.99813","-67.49614","-200","-200","-200","-92.3984","-81.75181","-200","-78.4022","-83.83332","-80.330444","-200","-200","-88.401","-76.201195","-1.3802572","2.7856536","9.3661175","-0.06585128","-0.10889691","-0.035817064","16.0","-28.8","-33.7"
"2022-06-30T10:11:02.664","-200","-90.2013","-74.99858","-76.66256","-200","-62.401398","-72.86533","-87.396706","-200","-200","-200","-200","-200","-81.8016","-58.831654","-78.50229","-200","-79.24594","-81.493805","-200","-88.83615","-76.16751","-1.2605472","2.4851813","9.312247","-0.03836234","-0.044756062","-0.052310426","15.199997","-28.2","-34.7"
"2022-06-30T10:11:03.773","-81.15853","-200","-75.14257","-200","-200","-200","-73.26059","-87.49771","-200","-82.793205","-200","-200","-200","-200","-58.712074","-78.57385","-200","-200","-81.422806","-200","-200","-76.143425","0.6679823","1.4808137","8.8884735","0.052045718","0.059701897","-0.34552574","15.199997","-27.099998","-35.5"
