"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","021","022","accer_x","accer_y","accer_z","gyro_x","gyro_y","gyro_z","magn_x","magn_y","magn_z"
"2022-07-01T08:04:05.614","-87.0","-200","-88.0","-200","-200","-79.0","-200","-88.0","-88.0","-200","-200","-200","-200","-200","-70.0","-64.0","-60.0","-73.0","-71.0","-200","-200","-82.0","-1.4879963","2.694674","9.385271","0.03924809","-0.20441078","-0.099189244","30.502499","-28.199999","-55.7025"
"2022-07-01T08:04:06.716","-200","-93.0","-200","-200","-70.0","-78.49988","-70.0","-85.9995","-200","-95.0","-200","-200","-200","-91.0","-73.00075","-200","-56.499126","-74.500374","-200","-200","-82.0","-88.001495","-1.2952632","2.7341783","9.591172","0.082619525","0.13034338","0.054137934","30.6975","-25.8","-56.7975"
"2022-07-01T08:04:07.843","-200","-93.50012","-200","-82.0","-70.0","-200","-68.99975","-85.66605","-84.49912","-200","-200","-200","-93.0","-200","-200","-200","-200","-77.335945","-71.0","-200","-80.99975","-88.001","-0.7457938","3.4715924","9.203311","0.056352317","-0.0052687125","-0.016722437","29.3025","-28.5975","-55.199997"
"2022-07-01T08:04:08.948","-87.0","-200","-86.499626","-83.500374","-70.0","-200","-200","-200","-85.66705","-200","-200","-200","-200","-200","-200","-62.499626","-200","-200","-71.66722","-200","-80.33261","-200","-0.89184016","3.6978445","9.01417","0.02275473","0.01366811","-0.006948592","30.0","-29.797499","-53.7975"
"2022-07-01T08:04:10.068","-200","-200","-85.665726","-84.00066","-200","-79.33395","-200","-85.49925","-200","-200","-200","-200","-200","-200","-73.66772","-62.332947","-55.999","-200","-72.001","-200","-200","-200","-0.9888053","3.5793316","9.105149","0.004428773","-0.00038179077","-0.0075594573","30.9975","-29.797499","-53.7975"
"2022-07-01T08:04:11.208","-200","-200","-85.248566","-200","-200","-79.75119","-69.33344","-85.3991","-200","-200","-200","-200","-200","-200","-73.75093","-62.249565","-55.999252","-77.00137","-200","-200","-200","-87.249435","-1.2593501","3.4931402","9.305065","-0.040775254","0.022831088","-0.0032834008","30.8025","-29.4975","-54.2025"
"2022-07-01T08:04:12.313","-200","-200","-200","-200","-70.75131","-200","-70.50212","-85.16485","-86.00087","-200","-200","-200","-200","-200","-74.001495","-200","-55.9994","-76.1987","-200","-200","-81.75194","-86.7982","-0.79966336","3.3446999","9.153033","0.00870483","-0.0046578473","-0.005726862","29.797499","-28.4025","-55.2975"
"2022-07-01T08:04:13.438","-85.99917","-200","-85.5999","-86.50487","-70.8012","-200","-72.20679","-200","-86.60249","-200","-200","-200","-93.50012","-200","-200","-200","-200","-75.66315","-71.8002","-200","-200","-86.49713","-1.2066777","3.156755","9.263166","0.007483099","-0.017486017","-0.065591656","30.9975","-27.9975","-55.2975"
"2022-07-01T08:04:14.548","-86.50025","-200","-85.666885","-88.008385","-70.83449","-79.6005","-200","-200","-85.664474","-200","-200","-200","-200","-200","-200","-62.1995","-200","-200","-71.33137","-200","-200","-200","-1.541866","2.944868","9.39365","0.00015271631","0.05826127","-0.044211373","32.1975","-26.9025","-55.2975"
"2022-07-01T08:04:15.669","-86.8011","-200","-85.427216","-200","-200","-82.0114","-200","-85.42871","-84.9938","-200","-200","-200","-200","-92.500374","-74.336105","-61.328953","-55.832073","-75.567795","-71.85886","-200","-200","-85.85052","-2.03148","2.5689783","9.5385","0.028863383","0.100410976","0.101174556","32.6025","-26.4975","-55.5"
"2022-07-01T08:04:16.797","-200","-200","-200","-200","-71.14585","-83.30382","-71.669876","-85.75293","-200","-92.9995","-200","-200","-200","-93.00066","-74.57535","-60.70652","-55.85622","-75.62229","-200","-200","-82.403496","-85.11282","-2.0853498","2.610877","9.350554","-0.01817324","0.036270123","0.0028252518","33.6","-26.1975","-55.2975"
"2022-07-01T08:04:17.912","-200","-200","-200","-87.67212","-71.37965","-200","-72.1487","-85.66833","-86.0033","-200","-200","-200","-94.000496","-200","-200","-200","-56.630894","-75.7771","-73.011475","-200","-83.00565","-84.31358","-2.255338","2.719813","9.202114","0.013591751","0.0081703225","-0.037491854","34.1025","-26.1975","-55.102497"
"2022-07-01T08:04:19.026","-200","-200","-86.0038","-87.28791","-71.56172","-200","-200","-200","-86.7895","-200","-200","-200","-200","-200","-200","-60.491344","-200","-200","-73.34728","-200","-83.14862","-200","-2.2481554","2.6300306","9.143456","-0.009010263","-0.013209961","0.0107665","34.7025","-26.1975","-54.899998"
"2022-07-01T08:04:20.131","-87.83898","-200","-86.34047","-86.99943","-200","-83.769875","-200","-85.60055","-200","-200","-200","-200","-200","-200","-74.5028","-60.5485","-57.009468","-200","-74.021996","-200","-200","-200","-2.1068976","2.6683378","9.234436","0.03436117","-0.012599096","-0.00022907447","34.5","-26.1975","-54.899998"
"2022-07-01T08:04:21.255","-200","-200","-86.50878","-200","-200","-83.9081","-73.26476","-85.545","-200","-200","-200","-200","-94.25081","-200","-74.33394","-60.49287","-57.211346","-76.408226","-200","-200","-200","-84.28178","-2.1380222","2.743755","9.186552","0.020922136","-0.027259862","-0.020998493","34.5975","-26.602499","-54.899998"
