,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,A01,-200.0,-59.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.0,-200.0,-69.0,-200.0,-200.0,-200,-200,-200.0,-62.0,-200,-200
1,A01,-200.0,-57.999,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.0,-70.998,-200.0,-200.0,-200.0,-200,-200,-200.0,-62.5005,-200,-200
2,A01,-200.0,-57.664894,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-64.5839,-67.33777,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-62.667557,-200,-200
3,A01,-200.0,-57.497513,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-64.5839,-200.0,-69.01313,-200.0,-200.0,-200.0,-200,-200,-200.0,-66.67278999999999,-200,-200
4,A01,-200.0,-63.275597,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-70.246765,-68.98356,-200.0,-200.0,-200,-200,-200.0,-65.01695,-200,-200
5,A01,-200.0,-57.39682,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.619095,-200.0,-67.97494,-200.0,-200.0,-200,-200,-200.0,-65.21591,-200,-200
6,A01,-200.0,-57.32948,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-70.16509,-67.63978,-200.0,-200.0,-200,-200,-200.0,-65.00957,-200,-200
7,A01,-200.0,-58.74662,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-64.5839,-200.0,-200.0,-69.19449,-200.0,-200.0,-200,-200,-200.0,-64.86162,-200,-200
8,A01,-200.0,-59.943375,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-64.5839,-200.0,-200.0,-68.27873,-200.0,-200.0,-200,-200,-200.0,-66.67278999999999,-200,-200
9,A01,-200.0,-63.275597,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.33973,-68.63068,-200.0,-200.0,-200,-200,-200.0,-66.043495,-200,-200
10,A01,-200.0,-60.41429,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.371605,-68.789635,-200.0,-200.0,-200,-200,-200.0,-66.73496,-200,-200
11,A01,-200.0,-60.581764,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.01552,-69.234314,-200.0,-200.0,-200,-200,-200.0,-66.762955,-200,-200
12,A01,-200.0,-60.81672,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-64.5839,-200.0,-68.30549,-200.0,-200.0,-200.0,-200,-200,-200.0,-66.59167,-200,-200
