,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,S04,-200.0,-70.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-54.0,-67.0,-200.0,-68.919115,-200.0,-200,-200,-200,-200,-200.0,-200,-200
1,S04,-200.0,-67.998,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-54.0,-65.498505,-200.0,-68.919115,-200.0,-200,-200,-200,-200,-200.0,-200,-200
2,S04,-200.0,-66.995346,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-57.95469,-64.997345,-200.0,-69.0,-200.0,-200,-200,-200,-200,-200.0,-200,-200
3,S04,-200.0,-68.0035,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-53.665558,-68.255233,-200.0,-68.499504,-200.0,-200,-200,-200,-200,-200.0,-200,-200
4,S04,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-53.749752,-66.25674,-200.0,-66.99468,-200.0,-200,-200,-200,-200,-72.10462749999999,-200,-200
5,S04,-200.0,-70.02669,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-56.43147,-67.41911,-200.0,-66.49253,-200.0,-200,-200,-200,-200,-200.0,-200,-200
6,S04,-200.0,-71.21009,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-57.95469,-68.0268,-200.0,-68.919115,-200.0,-200,-200,-200,-200,-200.0,-200,-200
7,S04,-200.0,-71.03276,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-57.95469,-67.87633,-200.0,-67.20241,-200.0,-200,-200,-200,-200,-200.0,-200,-200
8,S04,-200.0,-70.76986,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-55.849133,-68.255233,-200.0,-67.16806,-200.0,-200,-200,-200,-200,-200.0,-200,-200
9,S04,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-55.724697,-68.66831,-200.0,-67.28997,-200.0,-200,-200,-200,-200,-72.10462749999999,-200,-200
10,S04,-200.0,-70.33223,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-55.889633,-69.05507,-200.0,-67.51113,-200.0,-200,-200,-200,-200,-200.0,-200,-200
11,S04,-200.0,-70.29714,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-57.95469,-69.3661,-200.0,-68.919115,-200.0,-200,-200,-200,-200,-200.0,-200,-200
12,S04,-200.0,-70.26827,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-56.482872,-69.33053,-200.0,-66.75528,-200.0,-200,-200,-200,-200,-200.0,-200,-200
13,S04,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-56.431873,-68.255233,-200.0,-66.78113,-200.0,-200,-200,-200,-200,-72.10462749999999,-200,-200
14,S04,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-56.38991,-69.2105,-200.0,-66.70524,-200.0,-200,-200,-200,-200,-72.10462749999999,-200,-200
15,S04,-200.0,-70.244064,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-56.44495,-69.27716,-200.0,-66.37098,-200.0,-200,-200,-200,-200,-200.0,-200,-200
16,S04,-200.0,-70.22346,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-57.95469,-69.49377,-200.0,-68.919115,-200.0,-200,-200,-200,-200,-200.0,-200,-200
17,S04,-200.0,-70.20568,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-56.913956,-69.305725,-200.0,-66.42409,-200.0,-200,-200,-200,-200,-200.0,-200,-200
18,S04,-200.0,-70.26557,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-56.9208,-68.255233,-200.0,-66.23124,-200.0,-200,-200,-200,-200,-200.0,-200,-200
19,S04,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-56.92677,-69.140076,-200.0,-66.1384,-200.0,-200,-200,-200,-200,-71.956474,-200,-200
