,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,E02,-200.0,-65.25509,-200.0,-66.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.45192,-69.0,-200.0,-71.879857,-60.0,-200.0,-200.0,-200,-200,-200.0,-70.8424,-200,-200
1,E02,-200.0,-65.25509,-200.0,-65.4532,-200.0,-200.0,-67.0,-69.0,-200.0,-66.45192,-200.0,-200.0,-68.0,-62.002,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200
2,E02,-200.0,-59.0,-200.0,-65.4532,-200.0,-200.0,-66.499504,-200.0,-200.0,-55.0,-200.0,-200.0,-69.501495,-65.6802,-200.0,-200.0,-200,-200,-200.0,-65.0,-200,-200
3,E02,-200.0,-58.4995,-200.0,-62.496502,-200.0,-200.0,-67.33577,-70.669556,-200.0,-56.001,-200.0,-200.0,-200.0,-65.56882,-200.0,-200.0,-200,-200,-200.0,-66.501495,-200,-200
4,E02,-200.0,-57.998,-200.0,-61.661564,-200.0,-200.0,-68.509964,-200.0,-200.0,-57.338436,-200.0,-72.00099,-200.0,-65.25722,-200.0,-200.0,-200,-200,-200.0,-67.67155,-200,-200
5,E02,-200.0,-57.746758,-200.0,-61.74676,-200.0,-200.0,-200.0,-200.0,-200.0,-60.777668,-72.21193,-200.0,-71.879857,-64.597984,-200.0,-200.0,-200,-200,-200.0,-70.8424,-200,-200
6,E02,-200.0,-65.25509,-200.0,-63.214745,-200.0,-200.0,-69.4187,-200.0,-200.0,-66.45192,-200.0,-200.0,-72.19957,-64.496506,-200.0,-200.0,-200,-200,-200.0,-70.8424,-200,-200
7,E02,-200.0,-58.40518,-200.0,-65.4532,-200.0,-200.0,-69.51735,-200.0,-200.0,-62.23939,-200.0,-200.0,-71.317184,-65.00991,-200.0,-200.0,-200,-200,-200.0,-69.2647,-200,-200
8,E02,-200.0,-58.84553,-200.0,-62.66919,-200.0,-200.0,-69.58807,-200.0,-200.0,-63.5564,-200.0,-200.0,-70.83108,-65.56882,-200.0,-200.0,-200,-200,-200.0,-69.8183,-200,-200
9,E02,-200.0,-59.307796,-200.0,-62.86421,-200.0,-200.0,-69.64135,-200.0,-200.0,-64.35412,-200.0,-70.398544,-200.0,-64.232635,-200.0,-200.0,-200,-200,-200.0,-70.01884,-200,-200
10,E02,-200.0,-58.879993,-200.0,-62.88177,-200.0,-200.0,-200.0,-72.21929800000001,-200.0,-64.178986,-200.0,-200.0,-71.879857,-64.32172,-200.0,-200.0,-200,-200,-200.0,-70.8424,-200,-200
11,E02,-200.0,-65.25509,-200.0,-63.127666,-200.0,-200.0,-70.72775,-200.0,-200.0,-66.45192,-200.0,-200.0,-70.175255,-64.49897,-200.0,-200.0,-200,-200,-200.0,-69.72299,-200,-200
12,E02,-200.0,-58.893925,-200.0,-65.4532,-200.0,-200.0,-71.17896,-200.0,-200.0,-63.577778,-200.0,-200.0,-69.523056,-64.644806,-200.0,-200.0,-200,-200,-200.0,-69.11216,-200,-200
13,E02,-200.0,-59.11636,-200.0,-62.691723,-200.0,-200.0,-200.0,-200.0,-200.0,-63.0943,-200.0,-70.98983,-68.986435,-65.56882,-200.0,-200.0,-200,-200,-200.0,-68.40262,-200,-200
14,E02,-200.0,-59.785168,-200.0,-62.33304,-200.0,-200.0,-71.68465,-200.0,-200.0,-62.79366,-200.0,-70.7965,-200.0,-65.39856,-200.0,-200.0,-200,-200,-200.0,-68.148865,-200,-200
15,E02,-200.0,-60.25562,-200.0,-62.122566,-200.0,-200.0,-200.0,-72.21929800000001,-200.0,-62.72206,-200.0,-200.0,-71.879857,-65.95591,-200.0,-200.0,-200,-200,-200.0,-70.8424,-200,-200
16,E02,-200.0,-65.25509,-200.0,-62.02779,-200.0,-200.0,-200.0,-200.0,-200.0,-66.45192,-200.0,-70.905075,-68.71702,-65.95942,-200.0,-200.0,-200,-200,-200.0,-68.23156,-200,-200
