,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,E05,-78.251175,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-64.02946,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.0,-200.0,-200.0,-62.0,-200,-73.0,-200.0
1,E05,-78.251175,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.0,-200.0,-200.0,-70.08651,-200,-73.0,-200.0
2,E05,-200.0,-200.0,-200.0,-74.81110000000001,-200.0,-200.0,-200.0,-68.501495,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-75.97555,-200.0,-200.0,-65.503494,-200,-73.668884,-200.0
3,E05,-200.0,-200.0,-75.20044,-200.0,-200.0,-200.0,-200.0,-68.33377,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.668884,-200.0,-200.0,-66.672874,-200,-74.25573,-200.0
4,E05,-200.0,-200.0,-200.0,-200.0,-74.81116,-72.35444,-200.0,-68.24975,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.75224,-200.0,-200.0,-67.00697,-200,-200.0,-200.0
5,E05,-200.0,-200.0,-200.0,-77.57732,-200.0,-200.0,-200.0,-64.02946,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.20717,-200.0,-200.0,-67.20795,-200,-74.20397,-200.0
6,E05,-200.0,-200.0,-200.0,-77.13994,-200.0,-200.0,-200.0,-64.02946,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-72.02053,-200.0,-200.0,-70.08651,-200,-74.33906,-200.0
7,E05,-200.0,-200.0,-200.0,-74.81110000000001,-200.0,-200.0,-200.0,-67.18725,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-75.97555,-200.0,-200.0,-70.08651,-200,-73.7032,-200.0
8,E05,-200.0,-200.0,-75.20044,-200.0,-74.81116,-200.0,-200.0,-66.137245,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-72.31061,-200.0,-200.0,-67.68177,-200,-200.0,-200.0
9,E05,-200.0,-200.0,-200.0,-200.0,-74.81116,-72.35444,-200.0,-65.23788,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-72.65843,-200.0,-200.0,-67.87495,-200,-200.0,-200.0
10,E05,-200.0,-200.0,-200.0,-200.0,-200.0,-72.35444,-200.0,-64.02946,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-72.81417,-200.0,-200.0,-68.27911,-200,-73.61225,-200.0
11,E05,-200.0,-200.0,-200.0,-76.77822,-200.0,-200.0,-200.0,-64.30179,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-73.15064,-200.0,-200.0,-70.08651,-200,-73.657265,-200.0
12,E05,-200.0,-200.0,-200.0,-74.81110000000001,-200.0,-200.0,-200.0,-63.918495,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-75.97555,-200.0,-200.0,-70.08651,-200,-73.69347,-200.0
13,E05,-200.0,-200.0,-75.20044,-200.0,-200.0,-76.212425,-200.0,-63.821487,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-73.6218,-200.0,-200.0,-67.434105,-200,-200.0,-200.0
14,E05,-200.0,-200.0,-200.0,-200.0,-74.81116,-72.35444,-200.0,-63.741673,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-73.83635,-200.0,-200.0,-66.64896,-200,-200.0,-200.0
15,E05,-200.0,-200.0,-200.0,-75.17845,-200.0,-200.0,-200.0,-64.02946,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-74.01903,-200.0,-200.0,-66.197266,-200,-73.820404,-200.0
16,E05,-200.0,-200.0,-200.0,-74.84604,-200.0,-200.0,-200.0,-63.674763,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-73.858406,-200.0,-200.0,-70.08651,-200,-73.92682,-200.0
17,E05,-200.0,-200.0,-200.0,-74.81110000000001,-200.0,-75.15905,-200.0,-63.70222,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-70.08651,-200,-74.10185,-200.0
18,E05,-200.0,-200.0,-200.0,-74.32982,-74.81116,-200.0,-200.0,-63.72591,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-73.79368,-200.0,-200.0,-65.63819,-200,-200.0,-200.0
19,E05,-200.0,-200.0,-200.0,-73.87506,-200.0,-72.35444,-200.0,-63.59577,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-73.8085,-200.0,-200.0,-65.16217,-200,-200.0,-200.0
20,E05,-200.0,-200.0,-200.0,-73.471054,-200.0,-74.42549,-200.0,-64.02946,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-73.82167,-200.0,-200.0,-64.7515,-200,-200.0,-200.0
21,E05,-200.0,-200.0,-200.0,-73.37383,-200.0,-74.258705,-200.0,-63.552967,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-73.76737,-200.0,-200.0,-70.08651,-200,-200.0,-200.0
22,E05,-200.0,-200.0,-200.0,-74.81110000000001,-200.0,-74.17552,-200.0,-63.721237,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-70.08651,-200,-75.34463,-200.0
23,E05,-200.0,-200.0,-200.0,-73.604996,-200.0,-73.97308,-200.0,-63.937927,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-74.35594,-200.0,-200.0,-65.147255,-200,-200.0,-200.0
24,E05,-200.0,-200.0,-200.0,-73.81444,-200.0,-72.35444,-200.0,-64.45187,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-74.76583,-200.0,-200.0,-65.49589,-200,-200.0,-200.0
