,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,H01,-200.0,-76.65817,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-67.0,-61.912594,-76.02029,-77.0,-200.0,-200,-200,-200,-200,-200.0,-200,-200
1,H01,-200.0,-76.65817,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-67.0,-60.0,-70.0,-76.499504,-200.0,-200,-200,-200,-200,-200.0,-200,-200
2,H01,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-65.66223,-60.5005,-71.501495,-77.00133,-200.0,-200,-200,-200,-200,-75.0,-200,-200
3,H01,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-64.99203,-61.33644,-74.34376,-79.62525,-200.0,-200,-200,-200,-200,-75.500496,-200,-200
4,H01,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-64.51404,-62.258724,-75.2642,-77.756226,-200.0,-200,-200,-200,-200,-76.00199,-200,-200
5,H01,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-63.576912,-61.912594,-76.02029,-77.80556,-200.0,-200,-200,-200,-200,-76.253235,-200,-200
6,H01,-200.0,-76.65817,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-63.1396,-64.63504,-76.02029,-77.66885,-200.0,-200,-200,-200,-200,-200.0,-200,-200
7,H01,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-62.679512,-65.036385,-76.525955,-77.57084,-200.0,-200,-200,-200,-200,-76.20198,-200,-200
8,H01,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-62.203636,-64.59142,-76.00925,-79.62525,-200.0,-200,-200,-200,-200,-76.1677,-200,-200
9,H01,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-64.51404,-64.77359,-75.620056,-79.62525,-200.0,-200,-200,-200,-200,-76.289665,-200,-200
10,H01,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-62.179996,-61.912594,-76.02029,-77.88501,-200.0,-200,-200,-200,-200,-76.12287,-200,-200
11,H01,-200.0,-76.65817,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-62.372215,-61.912594,-76.36068,-78.24662,-200.0,-200,-200,-200,-200,-200.0,-200,-200
12,H01,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-62.62753,-64.21944,-76.53382,-78.4318,-200.0,-200,-200,-200,-200,-76.34078,-200,-200
13,H01,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-63.021988,-64.090645,-76.19048,-79.62525,-200.0,-200,-200,-200,-200,-76.72725,-200,-200
14,H01,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-64.51404,-64.37332,-75.90266,-79.06996,-200.0,-200,-200,-200,-200,-76.75375,-200,-200
15,H01,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-63.442276,-61.912594,-76.02029,-79.24408,-200.0,-200,-200,-200,-200,-76.3249,-200,-200
