,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,R04,-200.0,-68.01494,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-74.40677,-73.0,-200.0,-73.0,-58.0,-200.0,-200,-200,-200,-200,-200.0,-200,-200
1,R04,-200.0,-64.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.999,-200.0,-72.499504,-56.999,-200.0,-200,-200,-200,-200,-72.496506,-200,-200
2,R04,-200.0,-64.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.330444,-200.0,-73.00133,-58.337105,-200.0,-200,-200,-200,-200,-71.327126,-200,-200
3,R04,-200.0,-64.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-75.0,-72.924805,-200.0,-200.0,-56.362553,-200.0,-200,-200,-200,-200,-69.98605,-200,-200
4,R04,-200.0,-63.748257,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-75.668884,-72.50598,-200.0,-200.0,-58.25224,-200.0,-200,-200,-200,-200,-63.863405,-200,-200
5,R04,-200.0,-68.01494,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-74.40677,-73.01074,-200.0,-200.0,-58.60597,-200.0,-200,-200,-200,-200,-67.76259,-200,-200
6,R04,-200.0,-63.596817,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-74.40677,-73.00892,-200.0,-200.0,-59.18195,-200.0,-200,-200,-200,-200,-66.44525,-200,-200
7,R04,-200.0,-63.495533,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-75.75224,-73.15415,-200.0,-200.0,-59.44837,-200.0,-200,-200,-200,-200,-65.647285,-200,-200
8,R04,-200.0,-63.569458,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-75.397606,-72.924805,-200.0,-200.0,-56.362553,-200.0,-200,-200,-200,-200,-64.78758,-200,-200
9,R04,-200.0,-63.62514,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-75.33013,-73.26354,-200.0,-200.0,-58.74373,-200.0,-200,-200,-200,-200,-63.863405,-200,-200
10,R04,-200.0,-68.01494,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-74.40677,-73.34903,-200.0,-200.0,-58.076965,-200.0,-200,-200,-200,-200,-63.863405,-200,-200
11,R04,-200.0,-63.668655,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-74.40677,-73.52339,-200.0,-200.0,-57.540764,-200.0,-200,-200,-200,-200,-65.27658,-200,-200
12,R04,-200.0,-63.49242,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-76.014465,-73.37538,-200.0,-200.0,-57.68254,-200.0,-200,-200,-200,-200,-65.458595,-200,-200
13,R04,-200.0,-63.25026,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-76.14193,-72.924805,-200.0,-200.0,-56.362553,-200.0,-200,-200,-200,-200,-65.41404,-200,-200
14,R04,-200.0,-63.40811,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-74.153435,-200.0,-75.91055800000001,-57.1699,-200.0,-200,-200,-200,-200,-63.863405,-200,-200
15,R04,-200.0,-68.01494,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-76.8515,-74.39376,-200.0,-200.0,-57.49327,-200.0,-200,-200,-200,-200,-65.10604,-200,-200
16,R04,-200.0,-63.373653,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-74.40677,-74.6011,-200.0,-200.0,-57.533585,-200.0,-200,-200,-200,-200,-64.8438,-200,-200
17,R04,-200.0,-63.42348,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-77.06025,-74.55577,-200.0,-200.0,-57.34254,-200.0,-200,-200,-200,-200,-64.45846,-200,-200
18,R04,-77.38803,-63.466953,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-72.924805,-200.0,-200.0,-56.362553,-200.0,-200,-200,-200,-200,-64.04687,-200,-200
19,R04,-200.0,-63.289722,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-74.87505,-200.0,-75.91055800000001,-57.46162,-200.0,-200,-200,-200,-200,-63.863405,-200,-200
20,R04,-200.0,-68.01494,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-74.40677,-74.67735,-200.0,-200.0,-57.567406,-200.0,-200,-200,-200,-200,-63.863405,-200,-200
21,R04,-200.0,-63.61363,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-74.40677,-74.500404,-200.0,-200.0,-57.26555,-200.0,-200,-200,-200,-200,-63.612442,-200,-200
22,R04,-200.0,-63.96961,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-77.258316,-74.02227,-200.0,-200.0,-56.993626,-200.0,-200,-200,-200,-200,-63.432796,-200,-200
23,R04,-200.0,-64.48154,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-76.71101,-72.924805,-200.0,-200.0,-56.362553,-200.0,-200,-200,-200,-200,-63.47028,-200,-200
