,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,heading,direction
0,A06,-200.0,-200.0,-200.0,-68.0,-72.0,-64.625215,-64.0,-71.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-67.04071,-200.0,-200.0,-200.0,-72.69699,-200.0,-200.0,-200.0,199.50767517089844,S
1,A06,-200.0,-200.0,-200.0,-65.998,-69.998,-60.0,-65.001,-72.001,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-70.0,-200.0,-200.0,-200.0,-72.69699,-200.0,-200.0,-200.0,203.7851104736328,S
2,A06,-200.0,-200.0,-200.0,-65.66423,-68.520647,-61.001,-62.295471500000005,-69.36859,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-70.0,-200.0,-200.0,-200.0,-70.0,-200.0,-200.0,-200.0,193.82443237304688,S
3,A06,-200.0,-200.0,-200.0,-65.49702,-68.520647,-60.666225,-63.997337,-71.33178,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-68.99667,-200.0,-200.0,-200.0,-71.501495,-200.0,-200.0,-200.0,189.1881866455078,S
4,A06,-200.0,-200.0,-200.0,-70.119064,-69.32979,-60.24676,-63.998005,-70.49302,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-68.494026,-200.0,-200.0,-200.0,-72.337105,-200.0,-200.0,-200.0,195.67340087890625,S
5,A06,-200.0,-200.0,-200.0,-67.21793,-68.74328,-64.625215,-64.605576,-69.58367,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-67.04071,-200.0,-200.0,-200.0,-73.25922,-200.0,-200.0,-200.0,192.6988983154297,S
6,A06,-200.0,-200.0,-72.39125,-67.859764,-68.59285,-59.792038,-65.01192,-69.14522,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-67.38209,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,193.69908142089844,S
7,A06,-200.0,-200.0,-72.66426,-68.31995,-68.520647,-59.487923,-62.295471500000005,-69.36859,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-66.46873,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,193.69908142089844,S
8,A06,-200.0,-200.0,-72.71346,-69.18389,-68.520647,-59.26988,-64.424,-68.53777,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-65.81387,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,190.6349334716797,S
9,A06,-200.0,-200.0,-200.0,-70.119064,-68.15283,-59.105644,-64.110504,-68.08023,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-65.191284,-200.0,-200.0,-200.0,-73.146515,-200.0,-200.0,-200.0,195.0841064453125,S
10,A06,-200.0,-200.0,-72.87985,-69.278625,-68.27698,-64.625215,-63.8655,-67.72266,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-67.04071,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,193.0005798339844,S
11,A06,-200.0,-200.0,-200.0,-69.35481,-68.24116,-58.86121,-63.562862,-67.64634,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-64.936905,-200.0,-200.0,-200.0,-72.69699,-200.0,-200.0,-200.0,191.9714508056641,S
