,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,heading,direction
0,E01,-200.0,-64.0,-73.0,-69.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.46007750000001,-73.0,-67.0,-72.480902,-200.0,-200.0,-200,-200,-200.0,-69.41256,-200,-200,282.7776794433594,W
1,E01,-200.0,-64.500496,-200.0,-69.500496,-200.0,-200.0,-68.0,-200.0,-200.0,-70.0,-68.46007750000001,-200.0,-67.500496,-200.0,-200.0,-200.0,-200,-200,-200.0,-70.0,-200,-200,275.0025939941406,W
2,E01,-200.0,-64.66755,-200.0,-70.33643,-200.0,-200.0,-67.499504,-200.0,-200.0,-70.0,-200.0,-200.0,-68.00199,-69.0,-200.0,-200.0,-200,-200,-200.0,-69.499504,-200,-200,275.2325744628906,W
3,E01,-200.0,-64.751236,-200.0,-70.0598,-200.0,-200.0,-67.66689,-200.0,-200.0,-71.33777,-200.0,-200.0,-67.0636925,-70.501495,-200.0,-200.0,-200,-200,-200.0,-68.66357,-200,-200,275.2325744628906,W
4,E01,-200.0,-60.856396,-200.0,-70.0,-200.0,-200.0,-70.2682,-200.0,-200.0,-200.0,-200.0,-71.24228,-69.00847,-71.337105,-200.0,-200.0,-200,-200,-200.0,-69.41256,-200,-200,278.55352783203125,W
5,E01,-200.0,-64.5992,-72.603195,-69.79761,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-70.586075,-69.41153,-71.000496,-200.0,-200.0,-200,-200,-200.0,-69.41256,-200,-200,278.55352783203125,W
6,E01,-200.0,-64.83692,-200.0,-69.831955,-200.0,-200.0,-70.011536,-200.0,-200.0,-200.0,-68.46007750000001,-70.1472,-69.6811,-200.0,-200.0,-200.0,-200,-200,-200.0,-69.251755,-200,-200,277.41717529296875,W
7,E01,-200.0,-65.00736,-200.0,-70.44275,-200.0,-200.0,-69.67017,-200.0,-200.0,-71.5984,-200.0,-200.0,-70.16746,-71.60757,-200.0,-200.0,-200,-200,-200.0,-68.99841,-200,-200,275.0687866210937,W
8,E01,-200.0,-65.65307,-200.0,-70.0598,-200.0,-200.0,-70.01159,-200.0,-200.0,-71.32714,-200.0,-69.83254,-67.0636925,-200.0,-200.0,-200.0,-200,-200,-200.0,-68.65928,-200,-200,277.4405822753906,W
9,E01,-200.0,-60.856396,-200.0,-70.12682,-200.0,-200.0,-200.0,-200.0,-200.0,-70.986115,-200.0,-69.983536,-69.75781,-72.597755,-200.0,-200.0,-200,-200,-200.0,-68.41612,-200,-200,278.4591979980469,W
10,E01,-200.0,-65.809425,-200.0,-69.87993,-200.0,-200.0,-200.0,-200.0,-200.0,-73.13379,-200.0,-69.86936,-69.32158,-72.480902,-200.0,-200.0,-200,-200,-200.0,-69.41256,-200,-200,279.5152893066406,W
11,E01,-200.0,-65.935165,-200.0,-69.57577,-200.0,-200.0,-70.39808,-200.0,-200.0,-200.0,-68.46007750000001,-69.671936,-68.97077,-200.0,-200.0,-200.0,-200,-200,-200.0,-68.49164,-200,-200,279.5152893066406,W
12,E01,-200.0,-66.03862,-200.0,-69.42267,-200.0,-200.0,-70.58404,-200.0,-200.0,-70.067696,-68.46007750000001,-200.0,-68.68213,-200.0,-200.0,-200.0,-200,-200,-200.0,-68.2024,-200,-200,279.5152893066406,W
13,E01,-200.0,-66.21557,-200.0,-70.0598,-200.0,-200.0,-70.73358,-200.0,-200.0,-69.743706,-200.0,-69.99529,-67.0636925,-200.0,-200.0,-200.0,-200,-200,-200.0,-67.969795,-200,-200,279.5152893066406,W
14,E01,-200.0,-60.856396,-200.0,-69.20412,-200.0,-200.0,-200.0,-200.0,-200.0,-69.47713,-200.0,-69.9055,-68.53038,-73.86425,-200.0,-200.0,-200,-200,-200.0,-67.87557,-200,-200,278.4210510253906,W
15,E01,-200.0,-66.11294,-73.74894,-69.01803,-200.0,-200.0,-200.0,-200.0,-200.0,-73.13379,-200.0,-69.74463,-68.4856,-200.0,-200.0,-200.0,-200,-200,-200.0,-69.41256,-200,-200,276.3032531738281,W
16,E01,-200.0,-66.1835,-200.0,-68.93704,-200.0,-200.0,-200.0,-200.0,-200.0,-69.343864,-68.46007750000001,-69.8445,-68.446976,-200.0,-200.0,-200.0,-200,-200,-200.0,-67.8868,-200,-200,277.3190612792969,W
17,E01,-200.0,-66.32047,-200.0,-68.94179,-200.0,-200.0,-70.33738,-200.0,-200.0,-69.23041,-200.0,-74.12559,-68.56408,-200.0,-200.0,-200.0,-200,-200,-200.0,-67.896355,-200,-200,280.3812866210937,W
18,E01,-200.0,-66.15376,-200.0,-70.0598,-200.0,-200.0,-70.47775,-200.0,-200.0,-69.13252,-200.0,-70.082436,-67.0636925,-200.0,-200.0,-200.0,-200,-200,-200.0,-67.74549,-200,-200,276.213623046875,W
19,E01,-200.0,-60.856396,-200.0,-68.94597,-200.0,-200.0,-70.75796,-200.0,-200.0,-68.971725,-200.0,-70.076515,-68.52355,-200.0,-200.0,-200.0,-200,-200,-200.0,-67.61387,-200,-200,271.43212890625,W
20,E01,-200.0,-66.00565,-200.0,-68.743385,-200.0,-200.0,-200.0,-200.0,-200.0,-73.13379,-200.0,-69.86496,-68.418785,-73.37186,-200.0,-200.0,-200,-200,-200.0,-69.41256,-200,-200,270.2592468261719,W
21,E01,-200.0,-66.00528,-200.0,-68.62817,-200.0,-200.0,-200.0,-200.0,-200.0,-69.0456,-68.46007750000001,-69.74171,-68.126755,-200.0,-200.0,-200.0,-200,-200,-200.0,-67.56976,-200,-200,274.5898742675781,W
22,E01,-200.0,-66.004944,-200.0,-68.65187,-200.0,-200.0,-70.86413,-200.0,-200.0,-68.90494,-68.46007750000001,-200.0,-67.86368,-200.0,-200.0,-200.0,-200,-200,-200.0,-67.461815,-200,-200,274.6476745605469,W
23,E01,-200.0,-65.88125,-200.0,-70.0598,-200.0,-200.0,-71.011,-200.0,-200.0,-68.779045,-200.0,-69.82192,-67.0636925,-200.0,-200.0,-200.0,-200,-200,-200.0,-67.49738,-200,-200,275.6663513183594,W
24,E01,-200.0,-60.856396,-200.0,-68.92011,-200.0,-200.0,-71.27463,-200.0,-200.0,-69.11188,-200.0,-69.64783,-68.05717,-200.0,-200.0,-200.0,-200,-200,-200.0,-68.10316,-200,-200,275.6663513183594,W
25,E01,-200.0,-66.247635,-200.0,-69.10453,-200.0,-200.0,-200.0,-200.0,-200.0,-73.13379,-200.0,-69.48928,-67.87411,-72.97664,-200.0,-200.0,-200,-200,-200.0,-69.41256,-200,-200,275.6663513183594,W
26,E01,-200.0,-66.23321,-200.0,-69.156715,-200.0,-200.0,-200.0,-200.0,-200.0,-68.98159,-68.46007750000001,-69.81041,-67.64835,-200.0,-200.0,-200.0,-200,-200,-200.0,-68.158485,-200,-200,275.6663513183594,W
27,E01,-200.0,-66.1631,-200.0,-69.3752,-200.0,-200.0,-70.93843,-200.0,-200.0,-68.86294,-200.0,-200.0,-67.440956,-72.79301,-200.0,-200.0,-200,-200,-200.0,-68.20887,-200,-200,275.6663513183594,W
28,E01,-200.0,-66.042885,-200.0,-70.0598,-200.0,-200.0,-70.70261,-200.0,-200.0,-68.870926,-200.0,-69.82119,-67.0636925,-200.0,-200.0,-200.0,-200,-200,-200.0,-68.254974,-200,-200,275.6551513671875,W
29,E01,-200.0,-60.856396,-200.0,-69.298775,-200.0,-200.0,-70.48684,-200.0,-200.0,-69.048805,-200.0,-69.77555,-67.41645,-200.0,-200.0,-200.0,-200,-200,-200.0,-68.297325,-200,-200,275.6551513671875,W
30,E01,-200.0,-65.93166,-200.0,-69.228065,-200.0,-200.0,-200.0,-200.0,-200.0,-73.13379,-200.0,-69.73333,-67.17601,-72.278984,-200.0,-200.0,-200,-200,-200.0,-69.41256,-200,-200,276.6711730957031,W
31,E01,-200.0,-65.7216,-200.0,-69.16245,-200.0,-200.0,-200.0,-200.0,-200.0,-69.0461,-68.46007750000001,-69.801,-67.006325,-200.0,-200.0,-200.0,-200,-200,-200.0,-68.33638,-200,-200,276.6711730957031,W
32,E01,-200.0,-65.578674,-200.0,-69.15392,-200.0,-200.0,-70.5966,-200.0,-200.0,-68.98914,-200.0,-200.0,-66.79592,-72.2079,-200.0,-200.0,-200,-200,-200.0,-68.37251,-200,-200,277.6809997558594,W
33,E01,-200.0,-65.49706,-200.0,-70.0598,-200.0,-200.0,-70.61857,-200.0,-200.0,-68.882866,-200.0,-69.70642,-67.0636925,-200.0,-200.0,-200.0,-200,-200,-200.0,-68.459465,-200,-200,276.6336364746094,W
34,E01,-200.0,-60.856396,-200.0,-69.09426,-200.0,-200.0,-200.0,-200.0,-200.0,-68.889015,-200.0,-69.66991,-66.54798,-72.50285,-200.0,-200.0,-200,-200,-200.0,-68.59289,-200,-200,277.66607666015625,W
35,E01,-200.0,-65.42077,-200.0,-69.0385,-200.0,-200.0,-200.0,-200.0,-200.0,-73.13379,-200.0,-69.635765,-66.3162,-72.84406,-200.0,-200.0,-200,-200,-200.0,-69.41256,-200,-200,278.6820678710937,W
36,E01,-200.0,-65.399605,-200.0,-69.03656,-200.0,-200.0,-200.0,-200.0,-200.0,-68.79135,-68.46007750000001,-69.60379,-66.1494,-200.0,-200.0,-200.0,-200,-200,-200.0,-68.665634,-200,-200,278.6820678710937,W
37,E01,-200.0,-65.379745,-200.0,-69.034744,-200.0,-200.0,-70.50225,-200.0,-200.0,-68.75102,-68.46007750000001,-200.0,-66.34077,-200.0,-200.0,-200.0,-200,-200,-200.0,-68.7846,-200,-200,278.6820678710937,W
38,E01,-200.0,-65.31192,-200.0,-70.0598,-200.0,-200.0,-70.47628,-200.0,-200.0,-68.71324,-200.0,-69.72288,-67.0636925,-200.0,-200.0,-200.0,-200,-200,-200.0,-68.84573,-200,-200,279.7049865722656,W
39,E01,-200.0,-60.856396,-200.0,-68.98387,-200.0,-200.0,-70.45201,-200.0,-200.0,-68.72749,-200.0,-69.834816,-66.12738,-200.0,-200.0,-200.0,-200,-200,-200.0,-68.8037,-200,-200,279.7049865722656,W
40,E01,-200.0,-65.150734,-200.0,-69.033325,-200.0,-200.0,-200.0,-200.0,-200.0,-73.13379,-200.0,-69.98886,-65.926506,-72.267654,-200.0,-200.0,-200,-200,-200.0,-69.41256,-200,-200,279.7049865722656,W
41,E01,-200.0,-64.99879,-200.0,-69.17639,-200.0,-200.0,-200.0,-200.0,-200.0,-68.69173,-68.46007750000001,-70.085846,-65.737144,-200.0,-200.0,-200.0,-200,-200,-200.0,-69.1083,-200,-200,279.7049865722656,W
42,E01,-200.0,-65.14232,-200.0,-69.311424,-200.0,-200.0,-70.21484,-200.0,-200.0,-68.658066,-200.0,-200.0,-65.558426,-72.40197,-200.0,-200.0,-200,-200,-200.0,-69.24904,-200,-200,277.38433837890625,W
43,E01,-200.0,-65.18302,-200.0,-70.0598,-200.0,-200.0,-70.25344,-200.0,-200.0,-68.67455,-200.0,-200.0,-67.0636925,-72.479744,-200.0,-200.0,-200,-200,-200.0,-69.188805,-200,-200,277.3902282714844,W
44,E01,-200.0,-60.856396,-200.0,-69.296646,-200.0,-200.0,-70.28978,-200.0,-200.0,-68.737946,-200.0,-69.98609,-65.579384,-200.0,-200.0,-200.0,-200,-200,-200.0,-69.13195,-200,-200,278.4010925292969,W
45,E01,-200.0,-65.08014,-200.0,-69.28266,-200.0,-200.0,-200.0,-200.0,-200.0,-73.13379,-200.0,-69.986755,-65.50495,-72.763824,-200.0,-200.0,-200,-200,-200.0,-69.41256,-200,-200,278.4010925292969,W
46,E01,-200.0,-64.982735,-200.0,-69.269424,-200.0,-200.0,-200.0,-200.0,-200.0,-68.79784,-68.46007750000001,-70.081635,-65.4813,-200.0,-200.0,-200.0,-200,-200,-200.0,-69.17315,-200,-200,279.4080810546875,W
47,E01,-200.0,-64.89043,-200.0,-69.25688,-200.0,-200.0,-70.02731,-200.0,-200.0,-68.807365,-200.0,-200.0,-65.73823,-72.537735,-200.0,-200.0,-200,-200,-200.0,-69.30637,-200,-200,279.4080810546875,W
48,E01,-200.0,-64.756584,-200.0,-70.0598,-200.0,-200.0,-69.9311,-200.0,-200.0,-68.81638,-200.0,-70.03099,-67.0636925,-200.0,-200.0,-200.0,-200,-200,-200.0,-69.52617,-200,-200,279.4080810546875,W
49,E01,-200.0,-60.856396,-200.0,-69.3839,-200.0,-200.0,-69.93435,-200.0,-200.0,-68.824936,-200.0,-70.02955,-67.0636925,-200.0,-200.0,-200.0,-200,-200,-200.0,-69.73445,-200,-200,279.4080810546875,W
50,E01,-200.0,-64.72172,-200.0,-69.41229,-200.0,-200.0,-200.0,-200.0,-200.0,-73.13379,-200.0,-70.02818,-65.65773,-72.24597,-200.0,-200.0,-200,-200,-200.0,-69.41256,-200,-200,279.4080810546875,W
51,E01,-200.0,-64.64273,-200.0,-69.439255,-200.0,-200.0,-69.890594,-200.0,-200.0,-68.83304,-68.46007750000001,-200.0,-65.535255,-200.0,-200.0,-200.0,-200,-200,-200.0,-69.74674,-200,-200,279.3893127441406,W
