,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,heading,direction
0,H01,-200.0,-74.30541,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-77.0,-62.0,-63.0,-74.50324,-74.0,-200.0,-200,-200,-200,-200,-77.268225,-200,-200.0,66.49948120117188,E
1,H01,-200.0,-74.30541,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-60.999,-63.0,-74.50324,-74.500496,-200.0,-200,-200,-200,-200,-74.0,-200,-75.0,69.68537139892578,E
2,H01,-200.0,-72.0,-200.0,-75.994675,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-63.0957755,-62.665558,-73.0,-200.0,-200.0,-200,-200,-200,-200,-74.0,-200,-75.500496,68.67345428466797,E
3,H01,-200.0,-71.499504,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-60.330452,-61.99452,-74.501495,-75.670876,-200.0,-200,-200,-200,-200,-73.66556,-200,-76.00199,69.68497467041016,E
4,H01,-200.0,-70.99801,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-60.247265,-59.1943365,-75.002655,-75.250244,-200.0,-200,-200,-200,-200,-73.24626,-200,-76.253235,69.68497467041016,E
5,H01,-200.0,-74.30541,-200.0,-76.6008,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-60.197224,-61.590847,-76.008965,-74.794815,-200.0,-200,-200,-200,-200,-77.268225,-200,-200.0,69.68497467041016,E
6,H01,-200.0,-74.30541,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-60.163754,-61.660282,-74.50324,-74.999344,-200.0,-200,-200,-200,-200,-73.6012,-200,-76.606766,70.70166778564453,E
7,H01,-200.0,-71.25026,-200.0,-76.422325,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-63.0957755,-62.003147,-76.61432,-200.0,-200.0,-200,-200,-200,-200,-73.66888,-200,-76.6735,69.68070983886719,E
8,H01,-200.0,-71.402,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-63.0957755,-62.132072,-76.51006,-74.70635,-200.0,-200,-200,-200,-200,-73.57086,-200,-76.57481,71.78157806396484,E
9,H01,-200.0,-71.84289,-200.0,-76.49703,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-60.139755,-59.1943365,-76.43532,-74.485664,-200.0,-200,-200,-200,-200,-74.143684,-200,-200.0,71.767578125,E
