,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,heading,direction
0,R03,-200.0,-72.03706,-200.0,-78.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-75.0,-77.0,-56.75594,-72.0,-200.0,-200,-200,-200,-200.0,-70.66555,-200,-200,120.32154083251952,E
1,R03,-200.0,-72.03706,-200.0,-77.499504,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-75.0,-77.500496,-56.75594,-72.0,-200.0,-200,-200,-200,-200.0,-71.0,-200,-200,120.32154083251952,E
2,R03,-200.0,-72.0,-200.0,-75.66024,-200.0,-200.0,-200.0,-200.0,-200.0,-77.99002,-75.66741,-200.0,-56.0,-70.99667,-200.0,-200,-200,-200,-200.0,-71.0,-200,-200,120.45793914794922,E
3,R03,-200.0,-73.001,-200.0,-67.01482,-200.0,-200.0,-200.0,-200.0,-200.0,-66.604095,-76.33777,-200.0,-55.4995,-74.19328,-200.0,-200,-200,-200,-200.0,-71.33444,-200,-200,126.68231964111328,E
4,R03,-200.0,-71.99734,-200.0,-73.98356,-200.0,-200.0,-200.0,-200.0,-200.0,-66.604095,-75.749245,-200.0,-56.00133,-70.24228,-200.0,-200,-200,-200,-200.0,-71.50199,-200,-200,52.30497741699219,E
5,R03,-200.0,-71.494514,-200.0,-72.36777,-200.0,-200.0,-200.0,-200.0,-200.0,-74.971596,-75.39522,-200.0,-56.75623,-71.0028,-200.0,-200,-200,-200,-200.0,-70.66555,-200,-200,356.4020080566406,N
6,R03,-200.0,-72.03706,-200.0,-71.28713,-200.0,-200.0,-200.0,-200.0,-200.0,-73.15584,-74.81904,-200.0,-56.75594,-71.850845,-200.0,-200,-200,-200,-200.0,-71.198006,-200,-200,342.949462890625,N
7,R03,-200.0,-70.989655,-200.0,-70.3658,-200.0,-200.0,-200.0,-200.0,-200.0,-72.45058,-75.66741,-200.0,-57.007957,-72.16579,-200.0,-200,-200,-200,-200.0,-70.48559,-200,-200,343.0446472167969,N
8,R03,-200.0,-70.8217,-200.0,-67.01482,-200.0,-200.0,-200.0,-200.0,-200.0,-72.677635,-75.43173,-200.0,-57.176308,-74.19328,-200.0,-200,-200,-200,-200.0,-69.53518,-200,-200,11.515192031860352,N
9,R03,-200.0,-71.140915,-200.0,-69.9305,-200.0,-200.0,-200.0,-200.0,-200.0,-66.604095,-75.11723,-200.0,-57.5901,-71.627014,-200.0,-200,-200,-200,-200.0,-68.819305,-200,-200,16.660240173339844,N
10,R03,-200.0,-71.51068,-200.0,-69.7064,-200.0,-200.0,-200.0,-200.0,-200.0,-70.650024,-74.98754,-200.0,-58.031105,-71.32205,-200.0,-200,-200,-200,-200.0,-70.66555,-200,-200,13.219038009643556,N
11,R03,-200.0,-72.03706,-200.0,-69.52618,-200.0,-200.0,-200.0,-200.0,-200.0,-69.29762,-75.51693,-200.0,-56.75594,-71.49927,-200.0,-200,-200,-200,-200.0,-69.652885,-200,-200,20.897899627685547,N
12,R03,-200.0,-72.14791,-200.0,-69.37789,-200.0,-200.0,-200.0,-200.0,-200.0,-68.6325,-75.66741,-200.0,-58.375755,-72.228035,-200.0,-200,-200,-200,-200.0,-69.90078,-200,-200,24.24493789672852,N
13,R03,-200.0,-72.765976,-200.0,-67.01482,-200.0,-200.0,-200.0,-200.0,-200.0,-68.08525,-75.66741,-200.0,-58.75853,-74.19328,-200.0,-200,-200,-200,-200.0,-70.29906,-200,-200,28.534326553344727,N
14,R03,-200.0,-72.98303,-200.0,-69.43401,-200.0,-200.0,-200.0,-200.0,-200.0,-66.604095,-75.563866,-200.0,-59.170628,-72.65853,-200.0,-200,-200,-200,-200.0,-70.99379,-200,-200,24.543081283569336,N
15,R03,-200.0,-73.074776,-200.0,-69.65066,-200.0,-200.0,-200.0,-200.0,-200.0,-68.07756,-75.69343,-200.0,-59.245445,-73.109505,-200.0,-200,-200,-200,-200.0,-70.66555,-200,-200,18.39963722229004,N
16,R03,-200.0,-72.03706,-200.0,-69.5989,-200.0,-200.0,-200.0,-200.0,-200.0,-67.7333,-75.972595,-200.0,-56.75594,-73.18034,-200.0,-200,-200,-200,-200.0,-70.825455,-200,-200,293.8992614746094,W
17,R03,-200.0,-72.56189,-200.0,-69.32753,-200.0,-200.0,-200.0,-200.0,-200.0,-67.4363,-75.66741,-200.0,-58.80258,-73.16675,-200.0,-200,-200,-200,-200.0,-70.68024,-200,-200,263.4168701171875,W
18,R03,-200.0,-72.198975,-200.0,-67.01482,-200.0,-200.0,-200.0,-200.0,-200.0,-67.93123,-76.21343,-200.0,-58.738735,-74.19328,-200.0,-200,-200,-200,-200.0,-70.704346,-200,-200,267.466064453125,W
19,R03,-200.0,-72.25938,-200.0,-69.51952,-200.0,-200.0,-200.0,-200.0,-200.0,-66.604095,-76.272736,-200.0,-58.45682,-73.513985,-200.0,-200,-200,-200,-200.0,-70.86927,-200,-200,273.2468566894531,W
20,R03,-200.0,-72.38443,-200.0,-69.41503,-200.0,-200.0,-200.0,-200.0,-200.0,-67.505104,-76.1813,-200.0,-58.208473,-73.89123,-200.0,-200,-200,-200,-200.0,-70.66555,-200,-200,275.5077209472656,W
21,R03,-200.0,-72.03706,-200.0,-68.99107,-200.0,-200.0,-200.0,-200.0,-200.0,-67.05778,-76.237595,-200.0,-56.75594,-74.16277,-200.0,-200,-200,-200,-200.0,-71.703445,-200,-200,272.3592529296875,W
