,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,heading,direction
0,S08,-200.0,-200,-200.0,-200.0,-85.67991,-200.0,-74.0,-200.0,-200.0,-200,-200,-200,-200,-200,-79.0,-65.0,-60.8059785,-74.873886,-69.0,-200,-200.0,-200.0,300.2161865234375,W
1,S08,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-74.0,-86.148757,-200.0,-200,-200,-200,-200,-200,-81.002,-62.998,-60.8059785,-74.873886,-74.1022275,-200,-200.0,-200.0,304.7397155761719,W
2,S08,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-75.3229625,-200.0,-200.0,-200,-200,-200,-200,-200,-80.05659,-62.329784,-50.0,-66.0,-73.004,-200,-83.244925,-200.0,286.9501647949219,W
3,S08,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-74.0,-200.0,-200.0,-200,-200,-200,-200,-200,-80.05659,-62.246765,-48.999,-65.499504,-74.34043,-200,-83.65757,-200.0,276.9960021972656,W
4,S08,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-73.24477,-200.0,-200.0,-200,-200,-200,-200,-200,-80.33245,-63.32235,-48.664894,-64.329124,-74.25473,-200,-82.73679,-200.0,261.7314758300781,W
5,S08,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-72.992836,-200.0,-200.0,-200,-200,-200,-200,-200,-79.74527,-62.601604,-49.756233,-63.23929,-74.000786,-200,-83.39723,-200.0,269.5400085449219,W
6,S08,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-72.99405,-200.0,-200.0,-200,-200,-200,-200,-200,-78.784874,-62.669216,-60.8059785,-74.873886,-74.1022275,-200,-83.838936,-200.0,269.4605407714844,W
7,S08,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-75.3229625,-200.0,-200.0,-200,-200,-200,-200,-200,-80.05659,-62.13152,-49.80557,-63.39325,-74.340065,-200,-83.244925,-200.0,277.2331237792969,W
8,S08,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-73.874176,-200.0,-200.0,-200,-200,-200,-200,-200,-78.99108,-61.597187,-50.17797,-63.15681,-73.99715,-200,-83.27637,-200.0,272.98492431640625,W
9,S08,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-73.761116,-200.0,-200.0,-200,-200,-200,-200,-200,-78.992386,-63.32235,-50.884605,-63.13383,-73.73885,-200,-82.98196,-200.0,276.7497863769531,W
10,S08,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-73.67276,-200.0,-200.0,-200,-200,-200,-200,-200,-78.86404,-61.179604,-51.28752,-63.116524,-73.65308,-200,-82.75188,-200.0,274.322998046875,W
11,S08,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-73.49609,-200.0,-200.0,-200,-200,-200,-200,-200,-78.99591,-61.160633,-60.8059785,-74.873886,-74.1022275,-200,-82.67247,-200.0,273.2479553222656,W
12,S08,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-75.3229625,-200.0,-200.0,-200,-200,-200,-200,-200,-80.05659,-61.145027,-51.486317,-62.638653,-73.267265,-200,-83.244925,-200.0,272.2242736816406,W
13,S08,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-73.35074,-200.0,-200.0,-200,-200,-200,-200,-200,-78.890724,-61.041733,-51.54057,-62.25436,-73.04698,-200,-82.89861,-200.0,272.2242736816406,W
14,S08,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-73.40932,-200.0,-200.0,-200,-200,-200,-200,-200,-78.901344,-63.32235,-51.48805,-62.229645,-72.86232,-200,-82.81754,-200.0,274.27325439453125,W
15,S08,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-73.54362,-200.0,-200.0,-200,-200,-200,-200,-200,-78.91025,-61.12264,-51.534237,-62.569782,-72.705086,-200,-82.66409,-200.0,272.2462463378906,W
16,S08,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-73.81858,-200.0,-200.0,-200,-200,-200,-200,-200,-79.086685,-61.27199,-60.8059785,-74.873886,-74.1022275,-200,-82.452156,-200.0,273.3026123046875,W
17,S08,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-75.3229625,-200.0,-200.0,-200,-200,-200,-200,-200,-80.05659,-61.40229,-51.57356,-62.43725,-72.8081,-200,-83.244925,-200.0,273.1732177734375,W
18,S08,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-75.3229625,-200.0,-200.0,-200,-200,-200,-200,-200,-80.05659,-61.37339,-51.607483,-62.32291,-72.74717,-200,-82.71967,-200.0,273.1732177734375,W
