,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,A09,-64.0,-74.63513,-74.0,-66.0,-64.7299375,-63.0,-66.744896,-65.86077,-83.0,-81.0,-89.834795,-200,-81.20256,-85.53122300000001,-72.0,-76.0,-85.30027,-83.947395,-71.0,-200,-84.58916,-85.56258
1,A09,-70.24742,-74.63513,-75.001,-66.0,-59.0,-64.001,-70.0,-64.0,-84.001,-77.897934,-89.834795,-200,-84.0,-89.499504,-76.004,-77.001,-81.0,-86.0,-73.13628,-200,-84.58916,-85.56258
2,A09,-70.24742,-76.0,-75.669556,-68.9317,-58.4995,-64.00066,-70.0,-64.0,-77.02985,-81.500496,-89.834795,-200,-79.4955,-88.66357,-72.49746,-76.87957,-82.001,-85.499504,-73.13628,-200,-88.99335,-85.0
3,A09,-65.001,-76.500496,-71.21158,-68.00665,-58.332443,-62.99352,-70.0,-64.668884,-82.662895,-80.66423,-89.834795,-200,-78.326454,-85.53122300000001,-76.00266,-76.87957,-83.67288,-85.33245,-73.502495,-200,-87.98804,-85.500496
4,A09,-66.33844,-76.66755,-75.24925,-68.760216,-64.7299375,-65.47723,-66.744896,-65.50748,-81.74078,-79.99352,-89.834795,-200,-80.006485,-87.99303,-76.25374,-79.00732,-85.30027,-86.004,-74.33777,-200,-84.58916,-86.00199
5,A09,-67.00848,-74.63513,-74.996414,-69.01114,-64.7299375,-62.38766,-66.744896,-65.86077,-81.59086,-79.59005,-89.834795,-200,-81.20256,-87.58966,-76.40478,-79.508965,-85.30027,-83.947395,-73.4975,-200,-89.00241,-86.00149
6,A09,-70.24742,-74.63513,-74.82732,-69.348656,-59.507477,-62.15217,-70.75523,-65.86077,-81.829994,-77.897934,-89.834795,-200,-79.398,-87.319885,-75.99667,-79.20357,-84.51047,-86.00319,-73.13628,-200,-88.49289,-85.56258
7,A09,-68.42349,-75.74426,-74.26646,-68.9317,-59.60716,-61.836784,-70.80477,-65.40477,-77.02985,-78.30199,-89.834795,-200,-78.82134,-88.15226,-72.49746,-76.87957,-84.60954,-85.66324,-73.13628,-200,-87.83449,-86.00118
8,A09,-68.69103,-74.78407,-71.21158,-69.00448,-58.6556,-61.340565,-70.837906,-65.50578,-80.975655,-77.23193,-89.834795,-200,-78.11481,-85.53122300000001,-75.11791,-76.87957,-83.48788,-85.12642,-73.39681,-200,-84.58916,-85.831276
9,A09,-68.88285,-74.3116,-73.71467,-68.874565,-64.7299375,-65.47723,-66.744896,-65.724754,-80.332146,-77.33127,-89.834795,-200,-77.71197,-88.391235,-74.456,-77.981094,-82.830215,-83.947395,-73.32947,-200,-84.58916,-86.29562
10,A09,-69.15667,-74.412476,-72.93519,-68.65696,-64.7299375,-63.274494,-66.744896,-65.86077,-79.59708,-77.292816,-89.834795,-200,-81.20256,-87.6493,-74.40307,-76.95807,-85.30027,-83.947395,-73.427734,-200,-87.59723,-86.38672
11,A09,-70.24742,-74.63513,-72.51958,-68.27073,-58.85261,-63.13989,-69.39623,-64.46703,-79.322784,-77.897934,-89.834795,-200,-77.86149,-86.84142,-72.49746,-76.05817,-83.240166,-84.59274,-73.88974,-200,-87.29572,-85.56258
12,A09,-68.90631,-75.78178,-72.27478,-68.9317,-59.130337,-63.223457,-68.31034,-63.600212,-77.02985,-77.897934,-89.834795,-200,-78.08735,-86.07956,-72.49746,-76.87957,-83.79272,-84.175674,-73.13628,-200,-87.05326,-86.92226
13,A09,-68.81059,-75.80711,-71.21158,-68.9317,-58.883034,-63.47394,-68.04214,-62.79752,-78.90279,-76.83943,-89.834795,-200,-78.37034,-85.53122300000001,-74.043655,-75.81924,-83.709,-84.68519,-73.90254,-200,-86.85377,-87.1417
14,A09,-68.828995,-76.03872,-71.61849,-68.14726,-58.68416,-65.47723,-69.410675,-62.428555,-78.37027,-76.4664,-89.834795,-200,-81.20256,-86.433235,-73.55362,-75.73271,-85.30027,-85.00725,-74.12406,-200,-84.58916,-87.61372
15,A09,-68.84442,-76.61791,-71.31299,-68.3144,-64.7299375,-63.9405,-66.744896,-65.86077,-77.91686,-76.514534,-89.834795,-200,-81.20256,-86.2278,-73.95474,-75.85584,-85.30027,-83.947395,-74.30632,-200,-86.86696,-88.28007
16,A09,-70.24742,-74.63513,-71.12898,-68.625565,-58.423367,-64.26344,-70.14805,-61.938824,-77.684814,-77.897934,-89.834795,-200,-77.79565,-86.13012,-72.49746,-75.598206,-83.54296,-85.09681,-73.13628,-200,-86.79376,-85.56258
17,A09,-70.24742,-76.562164,-70.74224,-68.9317,-58.29496,-64.243576,-70.67598,-61.437416,-77.02985,-77.897934,-89.834795,-200,-78.23504,-86.19572,-72.49746,-75.71655,-83.76462,-85.17306,-73.13628,-200,-86.73061,-88.256424
18,A09,-68.773125,-76.17699,-71.21158,-68.416695,-58.354485,-64.226074,-71.294334,-61.323063,-77.331566,-75.96452,-89.834795,-200,-78.455,-85.53122300000001,-73.62085,-76.87957,-83.95335,-85.238846,-73.91783,-200,-86.67552,-88.15647
19,A09,-68.632065,-75.765144,-70.8326,-68.30987,-64.7299375,-65.47723,-66.744896,-61.826527,-77.16406,-75.88779,-89.834795,-200,-78.797714,-85.53122300000001,-73.3328,-75.89821,-84.116165,-85.67326,-73.58705,-200,-84.58916,-87.993866
20,A09,-69.112236,-75.70745,-70.70658,-68.287605,-64.7299375,-63.866703,-66.744896,-65.86077,-77.22155,-76.04705,-89.834795,-200,-81.20256,-85.750595,-73.1569,-76.132095,-85.30027,-83.947395,-73.6199,-200,-87.058044,-87.70693
21,A09,-70.24742,-74.63513,-70.26335,-68.54289,-58.326286,-63.545067,-71.19137,-61.91083,-77.02985,-77.897934,-89.834795,-200,-79.09962,-85.42392,-72.49746,-76.19445,-84.55983,-85.553055,-73.120735,-200,-86.98528,-85.56258
22,A09,-70.24742,-75.72847,-69.92782,-68.9317,-58.30168,-63.38282,-71.02613,-61.98573,-77.02985,-75.7563,-89.834795,-200,-79.299065,-85.395905,-72.49746,-76.87957,-84.80698,-85.51502,-73.13628,-200,-86.78799,-85.56258
23,A09,-68.52943,-76.778625,-71.21158,-68.9317,-58.423695,-63.235817,-70.80872,-62.11885,-77.47127,-75.22294,-89.834795,-200,-79.47757,-85.53122300000001,-72.9301,-76.87957,-84.95779,-85.414894,-72.968376,-200,-84.58916,-87.72709
24,A09,-68.49302,-77.52023,-69.6855,-68.77137,-64.7299375,-65.47723,-70.61558,-65.86077,-77.24998,-74.6795,-89.834795,-200,-81.20256,-85.53122300000001,-72.59108,-76.45615,-85.30027,-85.26095,-72.69549,-200,-84.58916,-87.216415
25,A09,-68.328255,-74.63513,-69.40494,-68.65845,-64.7299375,-65.47723,-66.744896,-65.86077,-77.04948,-74.57243,-89.834795,-200,-81.20256,-85.43442,-72.28766,-76.49209,-85.30027,-83.947395,-72.451256,-200,-84.58916,-85.56258
26,A09,-70.24742,-74.63513,-68.97343,-68.55614,-58.119495,-63.341454,-70.376625,-62.557514,-77.02985,-77.897934,-89.834795,-200,-79.51087,-85.531006,-72.49746,-76.71571,-84.76231,-84.87469,-72.167496,-200,-87.24774,-85.56258
27,A09,-70.24742,-77.997055,-68.52016,-68.9317,-58.1116,-63.438103,-70.352615,-62.83158,-77.02985,-77.897934,-89.834795,-200,-79.60274,-85.379456,-72.49746,-76.87957,-84.64996,-84.70255,-73.13628,-200,-87.10907,-87.011375
28,A09,-68.11608,-78.367386,-71.21158,-68.64259,-58.168232,-63.470043,-70.51594,-63.081184,-76.92676,-74.35204,-89.834795,-200,-79.86604,-85.53122300000001,-72.39682,-76.87957,-84.48648,-84.83643,-72.157166,-200,-86.98278,-87.072365
29,A09,-67.862144,-77.62684,-68.3801,-68.43033,-64.7299375,-65.47723,-66.744896,-65.86077,-76.69793,-73.97169,-89.834795,-200,-81.20256,-85.532166,-72.248955,-76.98002,-85.30027,-83.947395,-72.387276,-200,-84.58916,-86.76864
30,A09,-67.63088,-76.9493,-68.25052,-68.17848,-64.7299375,-63.83296,-66.744896,-65.86077,-76.31718,-74.672615,-89.834795,-200,-81.20256,-85.16083,-73.01248,-77.16085,-85.30027,-83.947395,-72.53953,-200,-86.80897,-86.43248
31,A09,-70.24742,-74.63513,-68.07685,-68.05741,-58.34293,-64.1687,-69.766495,-64.0671,-76.1884,-77.897934,-89.834795,-200,-79.93213,-85.15189,-72.49746,-77.26802,-84.457344,-84.78888,-73.13628,-200,-86.649284,-85.56258
32,A09,-70.24742,-76.27002,-68.38792,-68.9317,-58.681667,-64.48025,-69.08082,-64.34752,-77.02985,-77.897934,-89.834795,-200,-80.04968,-85.36139,-72.49746,-76.87957,-84.48896,-84.68946,-73.13628,-200,-86.557625,-86.18051
33,A09,-67.53585,-75.58809,-71.21158,-68.9317,-59.10813,-65.03271,-68.50775,-64.60609,-75.85149,-74.57754,-89.834795,-200,-80.04692,-85.53122300000001,-73.18658,-76.87957,-84.7454,-84.37971,-73.13418,-200,-86.36394,-85.94817
