,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,E03,-78.251175,-80.885635,-89.0,-79.0,-82.0,-84.0,-81.0,-64.02946,-88.0,-85.150465,-200,-200,-85.40374,-89.22208,-81.86840000000001,-70.0,-85.4916425,-89.670876,-62.0,-200,-73.0,-89.47602
1,E03,-78.251175,-80.885635,-84.4955,-80.001,-80.498505,-81.497505,-78.497505,-67.0,-89.501495,-85.150465,-200,-200,-85.40374,-89.22208,-81.86840000000001,-70.0,-81.0,-88.0,-70.08651,-200,-73.0,-89.47602
2,E03,-81.0,-85.0,-80.65091,-74.81110000000001,-80.33179,-80.32779,-77.66223,-68.501495,-82.01439,-85.150465,-200,-200,-89.997,-89.22208,-83.0,-75.97555,-85.5045,-88.500496,-65.503494,-200,-73.668884,-89.47602
3,E03,-82.001,-87.502495,-75.20044,-80.669556,-80.75175,-80.748764,-76.99203,-68.33377,-85.98935,-85.150465,-200,-200,-87.99135,-89.22208,-83.500496,-70.668884,-87.00799,-89.670876,-66.672874,-200,-74.25573,-89.47602
4,E03,-82.669556,-86.66556,-81.74577,-78.738785,-74.81116,-72.35444,-76.564855,-68.24975,-85.2368,-85.150465,-200,-200,-85.40374,-89.22208,-83.66755,-70.75224,-87.761215,-89.670876,-67.00697,-200,-79.3691325,-89.47602
5,E03,-84.263214,-80.885635,-80.3805,-77.57732,-80.39721,-80.192444,-78.00559,-64.02946,-84.784096,-85.150465,-200,-200,-88.49702,-89.22208,-81.86840000000001,-71.20717,-85.4916425,-89.670876,-67.20795,-200,-74.20397,-89.47602
6,E03,-78.251175,-80.885635,-79.128,-77.13994,-80.160095,-79.65067,-78.68346,-64.02946,-84.31162,-85.150465,-200,-200,-88.80121,-89.22208,-81.86840000000001,-72.02053,-88.01193,-89.670876,-70.08651,-200,-74.33906,-89.38368
7,E03,-82.995605,-86.24626,-79.40232,-74.81110000000001,-79.9901,-79.26224,-78.87639,-67.18725,-82.01439,-85.150465,-200,-200,-85.40374,-89.22208,-83.4995,-75.97555,-88.0099,-89.670876,-70.08651,-200,-73.7032,-88.470055
8,E03,-81.97813,-85.58926,-75.20044,-76.82635,-74.81116,-78.71099,-79.409706,-66.137245,-84.559044,-85.150465,-200,-200,-85.40374,-89.22208,-83.196014,-72.31061,-88.155,-89.670876,-67.68177,-200,-79.3691325,-88.69426
9,E03,-78.251175,-85.14985,-78.83296,-76.719475,-74.81116,-72.35444,-76.564855,-65.23788,-84.74541,-89.39261,-200,-200,-85.40374,-89.22208,-83.16275,-72.65843,-88.52294,-89.670876,-67.87495,-200,-79.3691325,-88.21648
10,E03,-78.251175,-80.885635,-78.27193,-76.75204,-79.862045,-72.35444,-78.317375,-64.02946,-85.12322,-89.47117,-200,-200,-87.1379,-89.22208,-82.992355,-72.81417,-85.4916425,-89.670876,-68.27911,-200,-73.61225,-89.47602
11,E03,-78.251175,-85.27444,-78.031975,-76.77822,-79.18154,-77.93194,-77.33332,-64.30179,-82.01439,-85.150465,-200,-200,-86.38498,-89.22208,-81.86840000000001,-73.15064,-87.30138,-89.99572,-70.08651,-200,-73.657265,-89.003944
12,E03,-81.98133,-85.10961,-77.83455,-74.81110000000001,-78.6343,-76.988594,-77.30094,-63.918495,-82.01439,-85.150465,-200,-200,-85.9472,-89.22208,-82.47602,-75.97555,-86.53025,-89.86694,-70.08651,-200,-73.69347,-88.68668
13,E03,-81.98375,-84.632545,-75.20044,-76.21682,-78.086876,-76.212425,-77.364006,-63.821487,-84.47652,-88.836044,-200,-200,-85.3729,-89.22208,-82.0725,-73.6218,-86.47874,-89.88239,-67.434105,-200,-79.3691325,-88.32848
14,E03,-81.75346,-84.03767,-77.578835,-75.655975,-74.81116,-72.35444,-76.564855,-63.741673,-83.94442,-88.325294,-200,-200,-85.40374,-89.22208,-81.853615,-73.83635,-85.894264,-89.670876,-66.64896,-200,-79.3691325,-88.29884
15,E03,-81.67388,-80.885635,-77.27668,-75.17845,-78.62032,-75.651985,-76.99556,-64.02946,-83.67879,-88.00221,-200,-200,-85.40374,-89.22208,-81.86840000000001,-74.01903,-85.4916425,-89.670876,-66.197266,-200,-73.820404,-89.47602
16,E03,-78.251175,-83.64537,-76.936455,-74.84604,-78.23023,-75.259224,-77.07546,-63.674763,-83.621475,-88.18244,-200,-200,-85.12229,-89.22208,-81.86840000000001,-73.858406,-85.64991,-89.670876,-70.08651,-200,-73.92682,-88.27361
17,E03,-82.774315,-83.226295,-76.715034,-74.81110000000001,-77.33683,-75.15905,-77.29598,-63.70222,-82.01439,-85.150465,-200,-200,-84.81893,-89.22208,-81.965,-75.97555,-85.27999,-89.670876,-70.08651,-200,-74.10185,-88.01319
