,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,R02,-76.0,-73.0,-76.9590175,-62.0,-85.0,-79.800437,-85.0,-78.0,-81.0,-55.0,-81.04636,-79.0,-60.0,-70.90742,-85.410495,-89.75325,-200,-200,-87.4748725,-74.0,-200,-200
1,R02,-77.001,-74.501495,-76.9590175,-62.0,-79.49003,-79.800437,-85.0,-82.5045,-81.0,-55.5005,-81.04636,-80.501495,-61.001,-70.90742,-87.998,-89.75325,-200,-200,-87.4748725,-74.0,-200,-200
2,R02,-77.669556,-75.337105,-76.9590175,-61.665558,-79.49003,-81.0,-77.49484,-77.20685,-81.668884,-56.67088,-81.04636,-80.53339,-65.08256,-73.0,-87.32979,-88.999,-200,-200,-88.498505,-73.68136,-200,-200
3,R02,-77.75275,-71.22511499999999,-85.0,-61.749752,-82.998,-80.499504,-84.66556,-81.666885,-81.75224,-59.587086,-81.04636,-79.330444,-62.67288,-71.999,-88.002,-88.66489,-200,-200,-89.669556,-76.00665,-200,-200
4,R02,-72.077126,-76.76271,-86.001,-63.8028925,-82.32979,-81.67022,-82.735794,-81.24725,-78.8990775,-59.587086,-89.66223,-79.24725,-63.25872,-71.66489,-85.410495,-89.75325,-200,-200,-87.4748725,-76.00498,-200,-200
5,R02,-78.20757,-76.608345,-76.9590175,-63.419518,-82.75026,-83.7672,-81.77732,-80.79243,-81.80238,-56.250244,-89.74727,-79.602,-64.015915,-70.90742,-88.81116,-89.75325,-200,-200,-88.997505,-75.59919,-200,-200
6,R02,-78.00264,-76.505104,-84.99734,-64.196846,-83.81276,-79.800437,-77.49484,-77.20685,-82.34503,-55.997208,-81.04636,-80.17866,-64.52233,-70.90742,-89.18262,-89.001,-200,-200,-88.39084,-75.1581,-200,-200
7,R02,-78.00226,-76.87071,-84.494514,-64.46108,-79.49003,-83.20714,-77.49484,-77.20685,-82.880646,-55.827976,-87.976906,-80.53339,-65.08256,-72.504486,-89.15585,-89.203186,-200,-200,-88.49422,-73.68136,-200,-200
8,R02,-78.131294,-71.22511499999999,-82.9777,-64.66012,-83.844536,-82.66287,-81.4757,-80.99736,-83.02541,-59.587086,-86.7929,-80.53339,-64.885414,-72.80716,-89.26503,-89.84753,-200,-200,-87.4748725,-74.84185,-200,-200
9,R02,-72.077126,-75.85278,-82.811775,-63.8028925,-83.574234,-82.27265,-80.819824,-80.55811,-78.8990775,-59.587086,-86.237076,-79.41976,-64.770905,-73.00959,-85.410495,-89.75325,-200,-200,-87.4748725,-74.73297,-200,-200
10,R02,-77.65171,-75.173355,-76.9590175,-64.35132,-84.275955,-82.36672,-80.325806,-79.968605,-82.90638,-55.706642,-85.301094,-79.10681,-64.21707,-72.86164,-85.410495,-89.75325,-200,-200,-88.12871,-74.64789,-200,-200
11,R02,-77.16042,-74.73259,-82.39973,-64.31422,-84.94044,-79.800437,-80.75233,-79.74008,-82.81065,-55.35659,-81.04636,-79.09441,-64.08853,-70.90742,-88.886,-89.75325,-200,-200,-87.594734,-74.05139,-200,-200
12,R02,-76.36757,-74.661415,-81.96004,-64.28369,-79.49003,-81.39547,-77.49484,-77.20685,-83.02337,-54.850853,-84.917885,-80.53339,-65.08256,-72.87954,-88.475586,-89.75325,-200,-200,-87.06135,-73.68136,-200,-200
13,R02,-72.077126,-71.22511499999999,-81.15208,-64.43852,-84.62988,-80.72001,-81.83463,-79.34507,-83.02126,-59.587086,-84.504105,-80.53339,-64.17709,-73.009605,-88.332214,-89.75325,-200,-200,-86.73802,-74.143555,-200,-200
14,R02,-72.077126,-74.24089,-81.13601,-63.8028925,-83.985725,-80.26142,-82.239334,-79.020065,-78.8990775,-59.587086,-84.16365,-79.08444,-64.16112,-72.79736,-85.410495,-89.75325,-200,-200,-87.4748725,-74.22082,-200,-200
15,R02,-75.70291,-73.96727,-76.9590175,-64.06379,-83.62616,-79.9672,-82.30796,-78.83783,-82.17518,-54.97222,-83.96846,-79.07623,-64.23194,-72.71989,-88.392456,-89.75325,-200,-200,-87.4748725,-74.20217,-200,-200
16,R02,-75.13699,-73.96988,-81.41427,-63.820053,-83.404434,-79.800437,-77.49484,-78.68266,-81.44527,-55.84935,-81.04636,-79.06935,-65.00902,-70.90742,-88.528175,-89.75325,-200,-200,-87.05495,-74.34519,-200,-200
17,R02,-74.64878,-73.97215,-80.92583,-63.60741,-79.49003,-80.22325,-77.49484,-77.20685,-80.733055,-56.494434,-84.39327,-80.53339,-65.08256,-72.113655,-88.32706,-89.75325,-200,-200,-87.140205,-73.68136,-200,-200
18,R02,-74.29825,-71.22511499999999,-80.425514,-63.635616,-82.974495,-80.444145,-82.53525,-78.389694,-80.321175,-59.587086,-84.361984,-79.90778,-65.15915,-71.59749,-88.15159,-89.75325,-200,-200,-87.550514,-74.92239,-200,-200
19,R02,-72.077126,-74.11784,-79.9939,-63.8028925,-82.674805,-80.63687,-82.41311,-78.1341,-78.8990775,-59.587086,-84.108475,-80.07423,-65.2914,-71.15219,-85.410495,-89.75325,-200,-200,-87.4748725,-75.287186,-200,-200
20,R02,-73.9176,-73.69715,-76.9590175,-63.52314,-82.33895,-80.447426,-82.15575,-77.90894,-80.0928,-56.874832,-83.74147,-79.84242,-65.47766,-70.90742,-87.637794,-89.75325,-200,-200,-87.665825,-75.336205,-200,-200
21,R02,-73.44191,-73.38672,-79.39113,-63.422474,-82.04058,-79.800437,-81.92903,-77.84644,-79.75622,-57.203003,-81.04636,-79.35084,-65.644356,-70.90742,-87.043816,-89.75325,-200,-200,-87.46481,-75.38007,-200,-200
