,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,S08,-88.24921,-200,-85.0,-87.94481999999999,-85.82168,-80.0,-76.27177,-88.0,-81.0,-200,-200,-200,-200,-200,-76.0,-57.0,-57.0,-70.0,-74.0,-200,-83.415054,-86.64611
1,S08,-88.24921,-200,-83.999,-87.94481999999999,-85.82168,-80.0,-74.0,-88.0,-88.66012,-200,-200,-200,-200,-200,-73.998,-57.0,-56.4995,-71.001,-74.0,-200,-83.415054,-85.0
2,S08,-88.24921,-200,-89.407326,-82.0,-79.0,-80.33444,-75.001,-86.66223,-83.002,-200,-200,-200,-200,-200,-73.32979,-62.901449,-55.998,-71.33511,-75.73562,-200,-83.0,-84.499504
3,S08,-89.32845,-200,-89.407326,-83.501495,-81.502495,-86.37447,-75.33511,-86.74727,-84.004654,-200,-200,-200,-200,-200,-83.11623,-62.901449,-55.746758,-71.75424,-74.0,-200,-84.001,-85.00133
4,S08,-87.7353,-200,-85.337105,-84.002655,-80.66556,-82.264206,-76.27177,-86.767705,-84.50697,-200,-200,-200,-200,-200,-83.11623,-57.334442,-59.2044375,-71.803986,-73.49651,-200,-84.669556,-86.64611
5,S08,-86.776924,-200,-86.00748,-84.25373,-79.742775,-82.8179,-76.27177,-86.39364,-84.80914,-200,-200,-200,-200,-200,-75.00898,-57.75374,-55.79801,-73.046745,-73.193634,-200,-84.24925,-86.64611
6,S08,-86.47537,-200,-86.41074,-87.94481999999999,-85.82168,-83.01851,-74.999,-86.157135,-88.66012,-200,-200,-200,-200,-200,-75.41194,-58.00597,-55.832287,-72.00696,-72.991066,-200,-84.603584,-84.497505
7,S08,-88.24921,-200,-89.407326,-84.607155,-79.18767,-83.45543,-74.99921,-85.69448,-84.16271,-200,-200,-200,-200,-200,-75.68144,-58.683773,-56.443035,-72.005936,-75.73562,-200,-84.50116,-84.8016
8,S08,-86.40571,-200,-89.407326,-84.84353,-79.32552,-86.37447,-74.999344,-85.346,-83.40616,-200,-200,-200,-200,-200,-83.11623,-62.901449,-57.420387,-71.87584,-73.138916,-200,-84.28118,-85.174675
9,S08,-86.48257,-200,-87.01985,-85.013,-79.717445,-84.30184,-74.99944,-86.767705,-82.8363,-200,-200,-200,-200,-200,-83.11623,-58.730114,-59.2044375,-71.77416,-73.37961,-200,-84.50348,-86.64611
10,S08,-86.7748,-200,-87.31003,-85.01132,-80.91797,-84.61506,-76.27177,-84.95758,-82.50705,-200,-200,-200,-200,-200,-76.02121,-58.635685,-57.023327,-73.046745,-73.56771,-200,-84.90937,-84.70945
