"Date","UUID","Major","Minor","RSSI"
"2022-05-10T23:07:10.890","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-44"
"2022-05-10T23:07:12.489","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-39"
"2022-05-10T23:07:14.700","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-40"
"2022-05-10T23:07:15.806","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-40"
"2022-05-10T23:07:16.909","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-42"
"2022-05-10T23:07:18.014","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-42"
"2022-05-10T23:07:19.121","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-42"
"2022-05-10T23:07:20.224","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-41"
"2022-05-10T23:07:21.328","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-41"
"2022-05-10T23:07:22.431","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-40"
"2022-05-10T23:07:23.539","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-41"
"2022-05-10T23:07:24.642","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-38"
"2022-05-10T23:07:25.746","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-38"
"2022-05-10T23:07:26.853","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-38"
"2022-05-10T23:07:27.958","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-37"
"2022-05-10T23:07:29.062","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-42"
"2022-05-10T23:07:30.170","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-42"
"2022-05-10T23:07:31.273","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-42"
"2022-05-10T23:07:32.376","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-41"
"2022-05-10T23:07:33.483","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-37"
"2022-05-10T23:07:34.589","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-37"
"2022-05-10T23:07:35.693","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-38"
"2022-05-10T23:07:36.798","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-42"
"2022-05-10T23:07:37.905","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-43"
"2022-05-10T23:07:39.009","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-42"
"2022-05-10T23:07:40.114","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-44"
"2022-05-10T23:07:41.220","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-41"
"2022-05-10T23:07:42.325","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-40"
"2022-05-10T23:07:43.431","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-40"
"2022-05-10T23:07:44.536","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-43"
"2022-05-10T23:07:45.641","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-37"
"2022-05-10T23:07:46.747","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-37"
"2022-05-10T23:07:47.851","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-37"
"2022-05-10T23:07:48.962","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-39"
"2022-05-10T23:07:50.065","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-40"
"2022-05-10T23:07:51.169","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-42"
"2022-05-10T23:07:52.275","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-40"
