"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020"
"2022-06-28T07:53:36.496","-54.0","-200","-65.0","-54.0","-70.0","-200","-200","-64.0","-67.0","-67.0","-200","-83.0","-200","-76.0","-65.0","-200","-200","-200","-87.0","-200"
"2022-06-28T07:53:37.605","-200","-63.0","-200","-200","-79.00225","-200","-200","-64.50012","-71.50112","-63.999252","-200","-79.99925","-200","-77.00025","-200","-87.0","-200","-200","-200","-93.0"
"2022-06-28T07:53:38.740","-200","-64.00025","-63.99975","-55.00025","-200","-76.0","-70.0","-64.666885","-200","-200","-94.0","-200","-71.0","-200","-63.99975","-89.500626","-200","-95.0","-200","-89.99925"
"2022-06-28T07:53:39.884","-55.500374","-63.666557","-62.999","-55.33378","-75.999","-74.99975","-70.50012","-200","-76.338104","-200","-92.99975","-200","-73.500626","-200","-66.001495","-90.00083","-94.0","-95.50012","-86.49988","-86.32978"
"2022-06-28T07:53:41.011","-55.667053","-200","-62.498375","-55.250187","-73.745316","-200","-200","-66.002495","-80.26042","-63.9995","-90.33095","-83.002","-74.00083","-77.66739","-66.25156","-200","-200","-200","-87.66756","-200"
"2022-06-28T07:53:42.127","-55.24956","-64.0005","-200","-200","-72.99401","-200","-200","-66.60379","-78.20219","-64.25006","-200","-83.25194","-200","-80.50549","-200","-200","-200","-91.99716","-88.251686","-200"
"2022-06-28T07:53:43.256","-200","-64.6022","-200","-54.7988","-200","-71.99733","-67.33078","-66.67013","-200","-64.1999","-89.49676","-83.8032","-73.75018","-81.80829","-200","-87.496254","-200","-91.497","-200","-84.995"
"2022-06-28T07:53:44.380","-55.4001","-64.50137","-63.0002","-54.49763","-200","-71.49712","-67.24794","-200","-200","-200","-88.99591","-200","-74.20149","-200","-66.802895","-87.597305","-200","-200","-200","-84.39421"
"2022-06-28T07:53:45.509","-55.667973","-200","-63.000164","-54.713646","-72.15787","-69.9932","-66.596405","-200","-76.326614","-64.16643","-88.49431","-82.999","-74.00033","-81.17067","-66.33361","-200","-91.9995","-200","-88.201195","-84.66307"
"2022-06-28T07:53:46.626","-55.859497","-200","-63.00014","-200","-71.560036","-200","-200","-66.142426","-74.41046","-64.142494","-200","-82.567795","-200","-80.57099","-65.854294","-87.66473","-90.99883","-200","-86.82807","-200"
"2022-06-28T07:53:47.747","-200","-65.43577","-200","-200","-71.7416","-68.822334","-200","-65.74619","-73.47607","-64.12453","-200","-81.99184","-200","-80.24681","-200","-87.56915","-200","-200","-200","-84.71152"
"2022-06-28T07:53:48.867","-200","-65.38082","-63.000122","-54.49757","-200","-67.84139","-65.491974","-66.224174","-200","-200","-87.99188","-200","-73.712715","-200","-66.25094","-86.11039","-200","-90.59491","-200","-83.99135"
"2022-06-28T07:53:49.994","-55.49894","-65.56276","-62.775375","-54.329292","-71.2088","-67.230934","-64.98988","-200","-200","-200","-87.74072","-200","-73.37067","-200","-66.44747","-200","-200","-200","-84.983604","-83.542854"
"2022-06-28T07:53:51.119","-55.33051","-200","-62.595318","-54.194477","-70.88337","-200","-200","-66.10002","-73.08547","-64.335266","-200","-82.10512","-73.32902","-80.78091","-66.60493","-200","-200","-200","-83.59867","-200"
"2022-06-28T07:53:52.237","-200","-65.30285","-200","-200","-70.524185","-200","-200","-65.905785","-72.468285","-64.199844","-200","-82.39871","-200","-80.29603","-200","-86.21035","-200","-90.49531","-82.63247","-200"
"2022-06-28T07:53:53.364","-200","-64.99736","-62.632748","-54.083996","-200","-66.530785","-64.738976","-65.65856","-200","-200","-87.432755","-81.89937","-73.29565","-79.898674","-200","-85.986176","-200","-90.13652","-200","-84.40057"
"2022-06-28T07:53:54.492","-55.398407","-65.082664","-62.749073","-53.991768","-200","-66.27412","-64.7683","-200","-200","-200","-87.18603","-200","-73.82326","-200","-66.45648","-85.340004","-200","-90.11931","-82.26407","-84.641"
"2022-06-28T07:53:55.624","-55.269066","-200","-63.24186","-54.07125","-71.16023","-67.728645","-65.2989","-200","-71.77752","-64.27385","-87.353806","-81.65269","-73.75321","-79.56697","-66.24748","-200","-90.99912","-200","-83.07208","-200"
"2022-06-28T07:53:56.736","-55.331253","-200","-200","-200","-71.30527","-200","-200","-66.316154","-70.43516","-65.10136","-200","-81.68007","-200","-79.285774","-66.070305","-200","-91.1999","-90.443","-83.491356","-200"
"2022-06-28T07:53:57.857","-200","-65.70682","-200","-200","-71.28283","-68.517456","-65.54873","-66.58693","-69.37601","-66.039375","-200","-81.924095","-200","-79.04426","-200","-85.56632","-200","-90.49949","-200","-84.4163"
"2022-06-28T07:53:58.979","-200","-66.09588","-62.70956","-53.99251","-200","-69.0285","-65.33188","-67.02882","-200","-200","-86.8983","-200","-74.16684","-200","-66.65316","-85.521675","-200","-90.638275","-200","-84.14698"
"2022-06-28T07:54:00.113","-55.383972","-66.5716","-62.52286","-53.993027","-70.987724","-69.173416","-64.753876","-200","-68.686844","-65.88947","-86.90632","-200","-74.7426","-200","-67.91733","-200","-92.171005","-200","-82.979614","-83.989174"
"2022-06-28T07:54:01.235","-55.282246","-200","-62.61873","-53.92858","-70.72892","-200","-200","-67.02695","-68.70842","-65.828186","-200","-82.13604","-74.41582","-79.45463","-68.05249","-200","-200","-200","-82.46659","-200"
"2022-06-28T07:54:02.347","-200","-66.5994","-200","-200","-70.56141","-200","-200","-67.08668","-68.662445","-65.77444","-200","-82.12721","-200","-79.87942","-200","-85.04231","-200","-90.58397","-200","-200"
"2022-06-28T07:54:03.471","-200","-66.56261","-62.519363","-53.932964","-200","-68.81695","-64.40445","-67.19818","-200","-200","-86.7662","-200","-74.25903","-80.19374","-200","-84.48817","-200","-90.30143","-200","-83.6454"
"2022-06-28T07:54:04.598","-55.331703","-66.93777","-62.314262","-53.93687","-200","-68.76393","-63.894257","-200","-200","-200","-86.6445","-200","-74.734215","-200","-68.35619","-83.93729","-92.43398","-90.13227","-82.02102","-83.34392"
"2022-06-28T07:54:05.727","-55.504875","-200","-62.130272","-53.940376","-200","-68.655655","-200","-200","-68.06931","-65.91106","-86.53777","-82.30356","-75.15765","-79.94933","-68.85994","-200","-92.88363","-200","-81.69516","-200"
"2022-06-28T07:54:06.841","-55.535267","-200","-200","-200","-71.28631","-200","-200","-68.46403","-67.42421","-66.0328","-200","-82.4607","-200","-79.7856","-69.089775","-84.12529","-93.12144","-200","-81.345566","-200"
"2022-06-28T07:54:07.967","-200","-67.274315","-200","-200","-200","-68.61745","-63.381924","-69.606384","-200","-200","-86.62753","-82.54616","-75.593025","-79.58479","-200","-84.29282","-200","-89.77864","-200","-83.26142"
"2022-06-28T07:54:09.088","-200","-67.259766","-62.070316","-53.94354","-200","-68.25008","-63.174324","-200","-200","-200","-86.59096","-200","-75.349396","-200","-69.03197","-83.83244","-200","-89.85791","-200","-83.187904"
"2022-06-28T07:54:10.229","-55.445793","-67.24657","-62.066742","-54.048054","-71.048355","-67.91855","-62.98933","-200","-67.51169","-66.086494","-86.50263","-82.623276","-75.12835","-79.86001","-68.97952","-200","-200","-200","-80.97575","-83.010925"
