"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020"
"2022-06-28T08:24:39.106","-60.0","-75.0","-54.0","-53.0","-200","-68.0","-70.0","-200","-200","-200","-87.0","-200","-62.0","-200","-71.0","-84.0","-98.0","-82.0","-80.0","-82.0"
"2022-06-28T08:24:40.240","-59.499874","-200","-57.500874","-54.00025","-67.0","-71.00075","-68.499626","-200","-63.0","-62.0","-86.49988","-79.0","-61.499874","-74.0","-73.0005","-200","-200","-200","-80.50012","-82.0"
"2022-06-28T08:24:41.358","-60.00033","-200","-200","-200","-65.499626","-200","-200","-60.0","-63.500126","-61.499874","-200","-80.500374","-200","-70.49912","-72.333115","-200","-200","-83.00025","-81.000496","-200"
"2022-06-28T08:24:42.482","-200","-71.49912","-200","-200","-200","-71.000496","-69.00017","-62.500626","-200","-62.333942","-200","-80.66705","-200","-69.999","-200","-84.0","-200","-82.33295","-200","-78.66389"
"2022-06-28T08:24:43.617","-60.250687","-70.999","-57.66739","-58.337112","-200","-70.74993","-68.24882","-64.00166","-200","-200","-88.00117","-200","-63.66839","-200","-73.75231","-83.33278","-200","-83.75219","-200","-76.995"
"2022-06-28T08:24:44.750","-60.200397","-70.74882","-57.50025","-62.009247","-66.00017","-70.599495","-67.99831","-200","-65.001335","-61.999874","-89.25306","-79.74869","-65.25406","-200","-74.40379","-200","-200","-200","-80.4995","-75.99301"
"2022-06-28T08:24:45.872","-60.166843","-200","-57.399902","-64.21398","-66.501","-200","-200","-64.00124","-65.75231","-61.5987","-200","-79.1973","-66.40669","-72.503624","-75.508194","-200","-200","-200","-80.8005","-200"
"2022-06-28T08:24:46.984","-60.574207","-69.99681","-200","-200","-66.1999","-200","-69.67288","-63.599796","-66.20319","-61.1636","-200","-80.671135","-200","-72.803795","-200","-82.748566","-200","-84.80489","-80.8339","-200"
"2022-06-28T08:24:48.101","-200","-69.495056","-59.50953","-62.83872","-200","-70.49912","-70.15127","-63.164513","-200","-200","-200","-200","-65.668884","-200","-200","-82.598404","-200","-86.00957","-200","-76.49647"
"2022-06-28T08:24:49.225","-59.619167","-69.13631","-60.586536","-61.855423","-200","-70.571144","-70.76265","-200","-66.83889","-200","-200","-200","-65.14136","-200","-75.57891","-82.16335","-200","-200","-200","-76.712654"
"2022-06-28T08:24:50.349","-59.212494","-200","-61.395218","-61.117107","-65.999","-70.62522","-200","-63.140858","-67.00584","-61.14008","-200","-81.58112","-64.997444","-73.841225","-75.632","-200","-200","-200","-80.85778","-200"
"2022-06-28T08:24:51.473","-59.4952","-200","-200","-200","-66.14293","-200","-200","-63.249187","-67.131195","-61.3746","-200","-81.38176","-200","-74.870544","-75.33626","-82.13986","-200","-86.72711","-81.0018","-200"
"2022-06-28T08:24:52.589","-200","-69.3713","-200","-200","-200","-70.667336","-70.11512","-63.333553","-200","-61.332508","-200","-80.8894","-65.33483","-75.39123","-200","-82.500496","-200","-200","-200","-76.11843"
"2022-06-28T08:24:53.717","-59.634384","-69.44195","-61.23844","-62.22761","-200","-70.70107","-69.596344","-200","-200","-200","-200","-200","-65.60513","-200","-75.20074","-82.331894","-200","-87.391975","-80.88923","-75.99276"
"2022-06-28T08:24:54.842","-59.32517","-69.59997","-61.822777","-61.69743","-66.251","-71.191185","-69.17122","-200","-67.45355","-61.095947","-90.40589","-81.81339","-65.45667","-75.572","-75.64463","-200","-200","-200","-80.697624","-75.587814"
"2022-06-28T08:24:55.960","-58.82653","-200","-200","-61.17046","-66.11043","-200","-200","-63.299725","-67.61039","-60.99458","-200","-82.570595","-65.162575","-75.513985","-75.93011","-200","-200","-200","-80.5406","-200"
"2022-06-28T08:24:57.081","-58.61877","-200","-200","-200","-66.30207","-71.00476","-69.582054","-63.17951","-67.923904","-60.909958","-200","-83.117615","-200","-75.55894","-200","-82.29823","-200","-87.79739","-200","-75.90342"
"2022-06-28T08:24:58.206","-200","-69.35949","-62.394127","-60.730553","-200","-70.76788","-69.930336","-63.079155","-200","-200","-200","-200","-64.91325","-200","-200","-82.178154","-200","-88.02078","-200","-76.16688"
"2022-06-28T08:24:59.331","-58.576134","-70.6902","-61.93519","-60.357624","-200","-70.71144","-69.78845","-200","-67.504974","-61.153557","-88.9985","-200","-64.77262","-200","-75.85678","-200","-200","-88.29634","-80.92001","-76.86323"
"2022-06-28T08:25:00.459","-58.60364","-200","-61.467293","-59.81682","-66.18164","-70.73132","-200","-200","-66.99216","-61.289276","-87.992226","-82.79301","-64.51267","-74.91582","-75.499794","-200","-95.9995","-200","-81.00515","-200"
"2022-06-28T08:25:01.574","-58.62797","-71.5818","-200","-200","-65.996025","-200","-200","-62.915245","-66.47821","-61.33825","-200","-82.587715","-200","-74.37061","-75.18974","-82.418236","-200","-87.590485","-81.29878","-200"
"2022-06-28T08:25:02.701","-200","-71.53904","-61.138935","-200","-65.9175","-71.13816","-69.52741","-62.994976","-200","-200","-200","-82.40941","-64.739","-73.90235","-200","-82.7006","-200","-86.992096","-200","-76.43227"
"2022-06-28T08:25:03.823","-58.70793","-71.6397","-60.85375","-60.587383","-200","-71.313835","-69.23359","-200","-200","-200","-88.62366","-200","-64.93918","-200","-75.242325","-82.5756","-200","-87.28669","-81.14039","-76.12687"
"2022-06-28T08:25:04.953","-58.89069","-71.59818","-60.73344","-61.392956","-65.99707","-71.4121","-69.035095","-200","-66.72088","-61.446095","-89.11541","-82.25304","-65.2924","-74.3914","-75.16606","-200","-200","-200","-80.93658","-75.794136"
"2022-06-28T08:25:06.063","-59.002575","-200","-60.627033","-200","-66.06618","-200","-200","-63.064224","-66.803894","-61.357327","-200","-81.99197","-200","-74.6905","-75.21466","-200","-200","-200","-80.87908","-200"
"2022-06-28T08:25:07.184","-200","-71.56146","-200","-200","-66.126785","-71.22268","-200","-63.060055","-200","-61.278225","-88.190926","-81.99243","-200","-74.95504","-200","-82.880455","-200","-86.92242","-200","-76.48201"
"2022-06-28T08:25:08.302","-200","-72.22808","-60.357376","-60.877754","-200","-70.99869","-68.799934","-62.933598","-200","-200","-87.61831","-200","-65.0541","-200","-200","-82.888214","-200","-86.47315","-200","-76.978424"
"2022-06-28T08:25:09.435","-58.951622","-72.77057","-60.115475","-60.41865","-65.99623","-70.84628","-68.58898","-200","-66.57039","-61.318295","-87.05522","-200","-64.945145","-200","-75.09171","-82.833694","-95.66605","-86.0758","-80.88613","-77.590294"
