"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020"
"2022-06-28T09:07:32.689","-200","-79.0","-67.0","-57.0","-200","-62.0","-65.0","-65.0","-200","-200","-84.0","-200","-76.0","-200","-200","-76.0","-200","-94.0","-200","-71.0"
"2022-06-28T09:07:33.822","-60.0","-76.499374","-64.499374","-57.0","-200","-63.00025","-68.00075","-200","-84.0","-59.0","-89.00125","-200","-76.0","-200","-76.0","-76.50012","-92.0","-200","-73.0","-69.99975"
"2022-06-28T09:07:34.953","-60.0","-200","-63.665554","-57.0","-62.0","-200","-68.66772","-63.499626","-80.99925","-59.0","-200","-79.0","-77.00083","-81.0","-76.0","-200","-91.49988","-200","-73.0","-200"
"2022-06-28T09:07:36.064","-58.99917","-200","-200","-200","-62.0","-200","-200","-64.00017","-76.32895","-60.00083","-200","-80.00025","-200","-74.998505","-74.99917","-75.999664","-200","-200","-200","-200"
"2022-06-28T09:07:37.206","-200","-76.33278","-200","-57.500874","-61.66639","-68.00433","-67.49875","-64.250565","-200","-200","-87.66639","-80.66739","-74.496254","-73.66456","-200","-75.248436","-200","-90.49912","-200","-76.67205"
"2022-06-28T09:07:38.322","-57.747192","-75.999","-61.745815","-57.801598","-200","-69.005","-66.395706","-200","-200","-200","-86.74819","-200","-72.99251","-200","-76.00113","-74.7974","-90.999504","-89.999","-74.00083","-200"
"2022-06-28T09:07:39.462","-56.995506","-200","-60.59321","-58.169674","-61.74994","-69.80639","-65.82716","-200","-74.74394","-60.25106","-86.19691","-80.75069","-71.98919","-72.74682","-76.6027","-200","-200","-200","-74.501495","-200"
"2022-06-28T09:07:40.567","-57.331116","-200","-200","-200","-61.800102","-200","-200","-63.999702","-76.8013","-60.0001","-200","-80.1989","-200","-74.603","-75.83207","-200","-90.248314","-200","-74.200294","-200"
"2022-06-28T09:07:41.696","-200","-76.601","-200","-200","-61.833572","-68.6668","-66.13958","-63.83232","-77.33685","-59.832653","-87.335945","-79.99817","-200","-76.34376","-200","-74.663895","-200","-200","-200","-75.00112"
"2022-06-28T09:07:42.815","-200","-76.500374","-60.996178","-58.001495","-200","-68.283356","-66.24807","-200","-200","-200","-88.29413","-200","-72.70966","-200","-200","-74.856","-90.8003","-200","-200","-73.9979"
"2022-06-28T09:07:43.941","-57.42729","-76.85978","-61.14051","-57.875217","-200","-67.74326","-65.99546","-200","-77.863556","-60.288067","-88.8875","-200","-73.25063","-200","-75.424866","-74.87416","-89.99659","-200","-73.664474","-73.32854"
"2022-06-28T09:07:45.066","-56.742958","-200","-63.39243","-58.56344","-61.857502","-200","-200","-66.44454","-76.99812","-60.630016","-200","-80.717354","-73.22247","-75.71919","-76.12784","-200","-200","-200","-74.86299","-200"
"2022-06-28T09:07:46.186","-56.21001","-200","-200","-200","-61.87547","-200","-200","-68.279854","-76.324135","-60.896324","-200","-81.257355","-200","-75.37633","-76.787674","-75.674866","-200","-89.498375","-200","-200"
"2022-06-28T09:07:47.332","-200","-76.87746","-65.03383","-59.216232","-61.88946","-67.21028","-65.79308","-69.484436","-200","-200","-88.67541","-81.6779","-73.19991","-200","-200","-76.41778","-200","-88.596","-200","-74.144005"
"2022-06-28T09:07:48.454","-56.188713","-76.77886","-64.32046","-59.381218","-200","-68.00031","-65.534744","-200","-200","-61.109676","-88.505486","-200","-72.718956","-200","-77.01205","-76.93409","-90.14086","-87.99393","-200","-74.50412"
"2022-06-28T09:07:49.591","-55.986275","-200","-63.643368","-59.518944","-61.79925","-68.462746","-65.319084","-68.92821","-75.68275","-61.099533","-88.18125","-81.71057","-72.31747","-74.77221","-77.103424","-200","-90.1231","-200","-75.006355","-200"
"2022-06-28T09:07:50.709","-55.987442","-200","-200","-200","-61.725327","-200","-200","-68.65737","-75.157135","-61.091064","-200","-81.73734","-200","-74.49105","-77.34987","-76.59937","-200","-200","-75.23038","-200"
"2022-06-28T09:07:51.821","-200","-76.80129","-200","-59.556866","-61.83378","-69.01894","-65.13626","-68.261116","-74.803444","-200","-200","-81.58953","-200","-74.07566","-200","-76.31562","-200","-200","-200","-200"
"2022-06-28T09:07:52.946","-200","-76.4497","-64.6096","-59.809944","-200","-68.54445","-65.05274","-200","-200","-200","-88.08075","-200","-72.37128","-200","-200","-76.73344","-89.659805","-87.563446","-200","-74.6722"
"2022-06-28T09:07:54.080","-55.673096","-76.326355","-65.90172","-60.167557","-200","-68.063416","-64.9802","-200","-74.5036","-61.241554","-87.99555","-200","-72.638","-74.06922","-77.40112","-200","-89.39005","-200","-76.22121","-74.80687"
"2022-06-28T09:07:55.205","-55.623623","-200","-66.643974","-60.35138","-61.84688","-200","-200","-69.18654","-74.17258","-61.370804","-200","-82.01606","-72.66294","-73.98493","-77.73915","-200","-89.26148","-200","-76.75571","-200"
"2022-06-28T09:07:56.332","-55.51175","-76.14296","-200","-200","-62.005142","-68.541374","-200","-69.68735","-74.09178","-61.483063","-87.701866","-82.38239","-200","-73.91254","-78.30836","-76.47619","-200","-87.24022","-200","-200"
"2022-06-28T09:07:57.455","-200","-76.132454","-65.97947","-60.32981","-61.935883","-69.09033","-64.91659","-69.29547","-200","-200","-87.44679","-82.49385","-72.29542","-200","-200","-76.25059","-200","-87.66269","-200","-76.30462"
"2022-06-28T09:07:58.594","-55.41364","-76.19223","-65.396706","-60.31059","-200","-69.453094","-64.798935","-200","-200","-200","-87.2231","-200","-71.97036","-200","-78.288345","-76.05105","-200","-87.899734","-76.691414","-77.46983"
"2022-06-28T09:07:59.716","-55.326862","-200","-64.81989","-60.23783","-61.940044","-200","-64.6941","-200","-73.89113","-61.451714","-87.209404","-82.4618","-71.680695","-73.780754","-78.270645","-200","-200","-200","-76.63691","-200"
"2022-06-28T09:08:00.833","-55.482647","-200","-200","-200","-61.943726","-200","-200","-68.8869","-74.573044","-61.301216","-200","-82.2493","-200","-74.31418","-78.13831","-76.04807","-89.239235","-200","-76.36958","-200"
"2022-06-28T09:08:01.947","-200","-76.04996","-200","-200","-61.947006","-69.07702","-200","-68.525536","-75.005875","-200","-200","-82.05994","-200","-74.6632","-200","-76.0454","-200","-88.46397","-200","-76.88096"
"2022-06-28T09:08:03.072","-200","-75.985504","-64.71383","-60.066082","-200","-68.850685","-64.877625","-200","-200","-200","-87.66343","-200","-71.92048","-200","-200","-75.98995","-89.14154","-200","-200","-76.37519"
"2022-06-28T09:08:04.213","-55.788944","-75.98635","-64.61868","-60.0119","-61.949947","-68.540344","-65.14934","-200","-75.5607","-61.28366","-200","-81.89006","-72.296005","-200","-78.07512","-200","-89.278145","-200","-76.34412","-75.93591"
"2022-06-28T09:08:05.328","-55.587963","-200","-65.32848","-200","-61.952602","-200","-200","-69.252525","-75.31878","-61.378944","-200","-82.05502","-200","-74.62455","-78.124176","-200","-89.12117","-200","-76.64628","-200"
"2022-06-28T09:08:06.451","-55.405613","-200","-200","-200","-61.95501","-68.36041","-200","-70.126755","-75.09929","-61.46493","-87.84866","-82.2047","-200","-74.53436","-200","-76.2954","-200","-88.42449","-200","-75.94007"
"2022-06-28T09:08:07.574","-200","-75.98711","-66.124954","-60.25541","-200","-68.14755","-65.19257","-70.75656","-200","-200","-87.85669","-200","-72.48425","-200","-200","-76.72034","-200","-88.154526","-200","-76.12791"
"2022-06-28T09:08:08.706","-55.532265","-75.82866","-66.70466","-60.243404","-200","-67.90562","-65.28081","-200","-200","-200","-87.81315","-200","-72.7047","-200","-78.168686","-76.968475","-88.983505","-87.92266","-76.606606","-75.77078"
"2022-06-28T09:08:09.821","-55.789246","-200","-66.57754","-60.09633","-61.957207","-200","-200","-200","-75.68025","-61.339657","-200","-82.04825","-72.85957","-74.93037","-77.96518","-200","-88.98452","-200","-76.57125","-200"
"2022-06-28T09:08:10.938","-55.934837","-200","-200","-200","-62.053215","-200","-200","-70.36235","-75.97728","-61.22544","-200","-81.99898","-200","-75.289665","-77.87282","-76.9699","-200","-200","-76.428505","-200"
"2022-06-28T09:08:12.060","-200","-75.837364","-200","-60.004433","-62.141495","-67.728516","-65.36161","-70.00294","-200","-200","-200","-81.86298","-73.001976","-75.61725","-200","-76.88355","-200","-200","-200","-75.45042"
"2022-06-28T09:08:13.188","-200","-75.747665","-67.23153","-60.131607","-200","-67.52124","-65.435905","-200","-200","-200","-87.82227","-200","-73.00189","-200","-77.92393","-77.10076","-88.92715","-87.721275","-200","-75.532616"
"2022-06-28T09:08:14.317","-55.762352","-75.75952","-67.615906","-60.24974","-62.135292","-67.41421","-65.37296","-200","-75.70624","-61.214844","-200","-82.000496","-73.00181","-200","-77.9711","-200","-88.87568","-200","-76.72404","-75.70884"
"2022-06-28T09:08:15.425","-55.602627","-200","-67.97184","-200","-62.129547","-200","-200","-200","-75.49994","-61.29579","-200","-82.212746","-73.00173","-75.49424","-78.01478","-200","-200","-200","-77.09382","-200"
"2022-06-28T09:08:16.548","-200","-75.63439","-200","-200","-62.12421","-67.23241","-65.314674","-70.331795","-75.26645","-200","-87.78363","-82.32754","-200","-75.381134","-200","-77.302536","-200","-87.609566","-200","-75.72305"
"2022-06-28T09:08:17.667","-200","-75.65042","-67.519966","-60.239746","-200","-67.58325","-65.17816","-70.04468","-200","-200","-87.61206","-200","-72.761566","-200","-200","-77.13036","-200","-87.81769","-200","-76.25307"
"2022-06-28T09:08:18.789","-55.536625","-75.75017","-67.058975","-60.23041","-200","-67.91099","-65.090996","-200","-75.04955","-61.3705","-87.58523","-200","-72.53722","-200","-78.01417","-76.96953","-200","-200","-77.138054","-200"
"2022-06-28T09:08:19.910","-55.475136","-200","-66.66729","-60.259613","-62.11924","-200","-200","-69.7797","-74.84749","-61.397224","-200","-82.274414","-72.40301","-75.14525","-78.05362","-200","-200","-200","-77.084564","-200"
"2022-06-28T09:08:21.025","-55.417694","-75.71927","-200","-200","-62.114597","-200","-200","-69.449425","-75.126","-61.380863","-200","-82.14691","-200","-75.43626","-78.012596","-200","-200","-200","-200","-200"
"2022-06-28T09:08:22.159","-200","-75.970604","-66.528145","-60.175964","-62.148193","-67.762596","-65.16533","-69.18381","-200","-200","-87.8151","-82.10339","-72.53616","-75.78895","-200","-77.00863","-200","-87.94487","-200","-75.96952"
"2022-06-28T09:08:23.277","-55.515675","-76.08856","-66.39754","-60.06111","-200","-67.58629","-65.12112","-200","-200","-200","-87.98746","-200","-72.66142","-200","-77.93623","-76.897255","-88.93532","-88.28102","-76.899345","-75.70784"
"2022-06-28T09:08:24.411","-55.607643","-76.16109","-66.27467","-59.952854","-62.142708","-67.49276","-65.190674","-200","-75.31093","-61.28559","-88.148026","-81.98851","-72.779495","-76.03749","-77.79052","-200","-88.989426","-200","-76.77225","-75.46552"
"2022-06-28T09:08:25.527","-55.549507","-200","-200","-200","-62.137547","-200","-200","-69.81672","-75.11432","-61.430225","-200","-82.09741","-200","-75.91921","-77.61728","-200","-88.941124","-200","-77.20645","-200"
"2022-06-28T09:08:26.654","-55.423977","-76.081085","-200","-200","-62.203415","-67.33387","-200","-70.29112","-75.03786","-61.489788","-88.103325","-82.200066","-200","-75.84639","-200","-77.154106","-200","-88.21307","-200","-75.52872"
"2022-06-28T09:08:27.773","-200","-75.969666","-66.72472","-60.058357","-200","-67.183815","-65.14761","-70.84921","-200","-200","-88.17529","-200","-72.78713","-200","-200","-77.43159","-88.89689","-88.15142","-200","-75.54758"
"2022-06-28T09:08:28.904","-55.374672","-75.86464","-67.184364","-60.22604","-200","-67.10971","-65.21313","-200","-74.96579","-61.619736","-88.205826","-200","-72.89615","-200","-77.736916","-77.693634","-88.992256","-200","-77.52743","-75.68201"
"2022-06-28T09:08:30.028","-55.39589","-200","-66.83878","-60.18523","-62.196373","-200","-200","-70.632675","-74.79385","-61.597324","-200","-82.19314","-72.73318","-75.62996","-77.8499","-200","-89.08027","-200","-77.54634","-200"
"2022-06-28T09:08:31.145","-55.415997","-75.86932","-200","-200","-62.155777","-200","-200","-70.35666","-74.66512","-61.64693","-200","-82.186584","-200","-75.42637","-77.95679","-77.53437","-200","-88.388115","-77.48613","-200"
"2022-06-28T09:08:32.276","-200","-75.87376","-66.54457","-60.146496","-62.183876","-67.339066","-65.1365","-70.13185","-200","-200","-88.0899","-82.180374","-72.54581","-75.26983","-200","-77.38344","-200","-200","-200","-76.14938"
"2022-06-28T09:08:33.396","-55.304356","-75.7781","-66.91896","-60.302372","-200","-67.19726","-65.09793","-200","-200","-200","-88.05135","-200","-72.560394","-200","-77.99151","-77.63236","-89.03441","-200","-77.657394","-76.25491"
