"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020"
"2022-06-28T06:20:54.794","-200","-84.0","-200","-200","-200","-200","-76.0","-200","-200","-200","-200","-200","-84.0","-79.0","-60.0","-80.0","-200","-85.0","-200","-81.0"
"2022-06-28T06:20:55.931","-67.0","-85.500374","-67.0","-70.0","-200","-73.0","-77.500374","-80.0","-200","-200","-94.0","-200","-83.49988","-200","-60.0","-79.49988","-86.0","-85.0","-89.0","-79.99975"
"2022-06-28T06:20:57.046","-67.0","-200","-67.50012","-70.50012","-200","-72.49988","-200","-200","-53.0","-200","-200","-91.0","-83.666725","-78.49988","-60.33361","-200","-86.50012","-200","-90.00025","-79.66622"
"2022-06-28T06:20:58.179","-200","-200","-200","-70.666885","-69.0","-200","-200","-78.99975","-53.0","-200","-200","-89.499626","-200","-78.666725","-200","-82.66922","-87.000496","-200","-88.99934","-200"
"2022-06-28T06:20:59.311","-200","-87.668724","-200","-200","-200","-70.665054","-81.00317","-78.99983","-52.33278","-200","-200","-87.998505","-200","-78.24931","-64.00662","-82.25118","-200","-85.66722","-200","-200"
"2022-06-28T06:21:00.440","-67.33361","-86.24906","-67.666885","-73.254684","-200","-69.747185","-82.00412","-79.25031","-200","-200","-200","-200","-84.75194","-200","-65.810684","-82.4014","-200","-86.75231","-200","-82.75506"
"2022-06-28T06:21:01.566","-69.504","-200","-67.249435","-72.8024","-70.00025","-69.3967","-82.003296","-200","-51.999","-200","-90.49912","-87.99888","-85.804695","-200","-66.67953","-200","-200","-200","-87.99776","-84.20839"
"2022-06-28T06:21:02.685","-70.20529","-200","-68.00179","-71.99834","-72.00183","-68.99542","-200","-200","-51.999203","-200","-200","-85.59191","-200","-79.4029","-200","-200","-87.000374","-200","-89.001205","-200"
"2022-06-28T06:21:03.799","-200","-85.597305","-200","-200","-200","-200","-80.99817","-78.598305","-51.999336","-200","-200","-83.98595","-200","-80.84231","-200","-82.33419","-200","-86.4008","-200","-83.83864"
"2022-06-28T06:21:04.926","-69.33377","-85.32987","-68.16892","-200","-200","-69.57121","-79.99194","-77.828415","-200","-200","-91.33344","-200","-85.50253","-81.87147","-66.15047","-82.14236","-200","-86.16627","-200","-83.57427"
"2022-06-28T06:21:06.072","-68.998215","-85.42622","-68.432205","-71.279655","-200","-70.12965","-79.614685","-77.709305","-200","-200","-91.24994","-200","-200","-200","-65.75322","-82.124405","-87.0003","-85.99857","-89.00101","-83.37577"
"2022-06-28T06:21:07.189","-68.74626","-200","-68.62989","-71.496574","-73.00312","-70.22745","-200","-200","-51.855648","-200","-89.99621","-200","-200","-82.51813","-66.005684","-200","-87.16768","-200","-88.42573","-200"
"2022-06-28T06:21:08.305","-200","-85.37248","-200","-200","-73.80489","-200","-200","-78.62859","-51.747757","-200","-200","-83.55662","-200","-82.797005","-200","-82.78462","-87.28735","-85.49439","-87.74159","-200"
"2022-06-28T06:21:09.430","-200","-85.667725","-200","-200","-200","-70.20438","-79.545616","-79.56926","-200","-200","-89.1597","-83.10816","-87.0119","-83.02043","-200","-83.31356","-200","-85.2141","-200","-83.55828"
"2022-06-28T06:21:10.556","-68.55004","-85.39716","-69.12094","-71.77788","-200","-70.27797","-79.69312","-80.52572","-200","-200","-88.5616","-200","-87.640854","-200","-66.917885","-83.93201","-200","-200","-200","-83.60308"
"2022-06-28T06:21:11.677","-68.29142","-200","-69.007256","-72.10467","-73.33527","-69.99908","-80.36896","-200","-51.663734","-200","-88.86906","-83.65784","-200","-83.66599","-67.57293","-200","-200","-200","-87.43353","-200"
"2022-06-28T06:21:12.799","-68.171974","-200","-68.91409","-72.37247","-72.9995","-200","-200","-200","-51.59642","-200","-200","-84.09822","-200","-84.03474","-200","-83.08698","-200","-200","-87.18672","-200"
"2022-06-28T06:21:13.914","-200","-85.26794","-200","-200","-200","-200","-200","-80.56959","-51.633747","-200","-200","-84.45911","-200","-84.505005","-68.11975","-82.922455","-200","-200","-200","-84.10226"
"2022-06-28T06:21:15.039","-68.07226","-85.50038","-69.26173","-200","-200","-70.07798","-80.25249","-80.69129","-200","-200","-88.4343","-200","-200","-200","-67.87381","-83.44267","-200","-84.88813","-200","-84.178635"
"2022-06-28T06:21:16.171","-67.987724","-85.6186","-69.55643","-72.42586","-73.37783","-70.14575","-80.15375","-200","-51.579826","-200","-88.086","-200","-200","-200","-67.58907","-200","-87.37721","-84.71349","-86.98447","-84.243385"
"2022-06-28T06:21:17.302","-67.91512","-200","-69.88304","-72.54996","-73.44774","-70.20461","-200","-200","-51.534115","-200","-87.80057","-84.07972","-88.24304","-84.61489","-200","-200","-87.44719","-200","-86.13498","-200"
"2022-06-28T06:21:18.411","-200","-85.57313","-200","-200","-73.503746","-200","-200","-200","-51.494854","-200","-200","-83.758095","-200","-84.84814","-200","-83.34327","-87.50326","-200","-200","-200"
"2022-06-28T06:21:19.528","-200","-85.53364","-200","-200","-200","-69.996635","-80.509964","-80.55796","-200","-200","-200","-84.069885","-200","-200","-67.96191","-83.25609","-200","-200","-200","-84.59301"
"2022-06-28T06:21:20.653","-67.783165","-85.49901","-69.8911","-72.80354","-73.45715","-69.81269","-80.81934","-80.44344","-200","-200","-87.98769","-200","-200","-200","-200","-200","-200","-200","-85.96667","-84.96557"
"2022-06-28T06:21:21.778","-67.73234","-200","-69.768364","-72.95489","-73.41826","-69.64877","-81.15556","-200","-51.46076","-200","-88.304","-84.40959","-200","-85.18249","-68.353775","-200","-200","-200","-85.74861","-85.1625"
"2022-06-28T06:21:22.894","-67.687386","-200","-69.65981","-73.02271","-73.62179","-200","-200","-80.20618","-51.430855","-200","-200","-83.92871","-200","-85.47821","-200","-83.178986","-87.45671","-200","-86.04155","-200"
"2022-06-28T06:21:24.023","-200","-85.40699","-200","-200","-200","-200","-80.83909","-79.9981","-51.404408","-200","-200","-83.503395","-200","-85.80001","-67.963745","-83.110275","-200","-84.73787","-200","-85.029755"
"2022-06-28T06:21:25.154","-67.53077","-85.208435","-69.56308","-72.65301","-200","-69.94585","-80.557076","-79.75268","-200","-200","-88.64917","-200","-87.60988","-200","-67.67447","-83.04864","-200","-84.75854","-200","-84.91146"
"2022-06-28T06:21:26.272","-67.390274","-85.08583","-69.4763","-72.32356","-200","-70.213936","-80.304085","-200","-200","-200","-88.81115","-83.18266","-86.99851","-200","-67.41496","-200","-87.417854","-84.77628","-86.36335","-84.86086"
