"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020"
"2022-06-28T03:46:27.955","-200","-96.0","-200","-200","-200","-77.0","-73.0","-86.0","-200","-200","-200","-200","-200","-200","-81.0","-51.0","-200","-91.0","-200","-200"
"2022-06-28T03:46:29.049","-200","-200","-91.0","-97.0","-200","-77.50012","-73.0","-86.50012","-200","-200","-200","-200","-200","-200","-200","-200","-70.0","-200","-74.0","-200"
"2022-06-28T03:46:30.169","-200","-200","-90.49988","-93.99925","-200","-77.666885","-200","-200","-82.0","-200","-200","-200","-200","-200","-200","-200","-68.499626","-200","-70.99925","-200"
"2022-06-28T03:46:31.286","-200","-200","-200","-200","-200","-200","-74.00083","-85.999664","-80.99975","-200","-200","-200","-200","-200","-81.50012","-54.000748","-69.00017","-93.0005","-200","-200"
"2022-06-28T03:46:32.410","-200","-200","-200","-200","-200","-200","-75.00237","-86.25018","-200","-200","-200","-200","-200","-200","-81.666885","-54.0005","-200","-88.997","-200","-200"
"2022-06-28T03:46:33.551","-88.0","-200","-200","-91.33061","-200","-77.49987","-75.80429","-84.7958","-200","-200","-200","-200","-200","-200","-200","-200","-200","-88.747314","-73.33478","-200"
"2022-06-28T03:46:34.670","-200","-200","-90.666725","-90.997375","-200","-78.402596","-200","-200","-82.00066","-200","-200","-200","-200","-200","-200","-200","-68.74969","-200","-73.25094","-200"
"2022-06-28T03:46:35.787","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-80.999","-53.24906","-68.7999","-86.99261","-72.1976","-200"
"2022-06-28T03:46:36.900","-200","-200","-200","-200","-200","-200","-76.004486","-83.32312","-82.25094","-200","-200","-200","-200","-200","-80.598","-52.7979","-200","-85.989265","-200","-200"
"2022-06-28T03:46:38.032","-91.00075","-200","-91.75194","-200","-200","-80.846634","-75.28492","-82.413956","-200","-200","-200","-200","-200","-200","-200","-52.831738","-200","-85.41567","-70.82508","-200"
"2022-06-28T03:46:39.152","-200","-200","-90.798706","-200","-200","-200","-75.1229","-200","-200","-200","-200","-200","-200","-200","-200","-200","-68.16368","-200","-70.27509","-200"
"2022-06-28T03:46:40.262","-200","-200","-91.16727","-200","-200","-200","-200","-200","-83.8054","-200","-200","-200","-200","-200","-80.665306","-52.85593","-68.571495","-200","-200","-200"
"2022-06-28T03:46:41.378","-200","-200","-200","-200","-200","-200","-75.78329","-200","-84.5077","-200","-200","-200","-200","-200","-80.425865","-53.126278","-68.75162","-84.984985","-200","-200"
"2022-06-28T03:46:42.495","-200","-200","-200","-200","-200","-200","-77.32656","-82.86613","-200","-200","-200","-200","-200","-200","-80.24608","-52.887356","-200","-85.66087","-200","-200"
"2022-06-28T03:46:43.621","-89.66605","-200","-91.57457","-89.794304","-200","-81.01247","-76.926384","-83.1059","-200","-200","-200","-200","-200","-200","-200","-200","-69.34136","-85.39101","-69.609955","-200"
"2022-06-28T03:46:44.737","-88.4975","-200","-200","-88.824165","-200","-81.51526","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-69.40816","-200","-69.54142","-200"
"2022-06-28T03:46:45.861","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-80.78026","-52.89878","-200","-200","-200","-200"
