"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020"
"2022-06-28T03:06:26.938","-200","-200","-200","-200","-200","-200","-77.0","-83.0","-82.0","-200","-200","-200","-200","-200","-74.0","-74.0","-200","-51.0","-200","-200"
"2022-06-28T03:06:28.043","-91.0","-200","-200","-200","-200","-200","-80.50088","-84.500374","-200","-200","-200","-200","-200","-200","-76.500626","-75.00025","-200","-53.0005","-200","-200"
"2022-06-28T03:06:29.168","-92.500374","-200","-200","-92.0","-200","-80.0","-82.00183","-85.334274","-200","-200","-200","-200","-200","-200","-200","-200","-69.0","-200","-84.0","-200"
"2022-06-28T03:06:30.279","-200","-200","-200","-200","-200","-79.49988","-200","-200","-200","-200","-200","-200","-200","-200","-76.66722","-200","-68.49988","-200","-80.99925","-200"
"2022-06-28T03:06:31.409","-200","-200","-200","-90.99975","-200","-79.333115","-82.25181","-200","-200","-200","-200","-200","-200","-200","-78.75406","-75.33378","-70.33478","-53.00033","-81.333115","-200"
"2022-06-28T03:06:32.530","-200","-200","-200","-200","-200","-200","-82.80309","-86.00187","-200","-200","-200","-200","-200","-200","-80.20759","-76.25194","-71.252686","-53.000248","-200","-200"
"2022-06-28T03:06:33.652","-200","-200","-200","-200","-200","-78.74882","-82.16634","-85.800896","-200","-200","-200","-200","-200","-200","-200","-200","-200","-52.599","-82.001","-200"
"2022-06-28T03:06:34.769","-200","-200","-99.0","-89.999","-200","-78.7992","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-70.8008","-200","-83.0038","-200"
"2022-06-28T03:06:35.894","-200","-200","-200","-200","-200","-200","-200","-200","-83.00025","-200","-200","-200","-200","-200","-80.17283","-200","-70.83415","-200","-84.3426","-200"
"2022-06-28T03:06:37.016","-91.66622","-200","-200","-200","-200","-200","-81.85486","-86.00166","-85.66905","-200","-200","-200","-200","-97.0","-200","-76.8032","-70.28286","-52.666138","-200","-200"
"2022-06-28T03:06:38.140","-200","-200","-200","-200","-200","-200","-82.50362","-86.00143","-200","-200","-200","-200","-200","-200","-80.004196","-75.83157","-200","-52.857925","-200","-200"
"2022-06-28T03:06:39.263","-91.499374","-200","-95.99925","-91.251434","-200","-79.66997","-200","-86.6317","-200","-200","-200","-200","-200","-200","-200","-200","-71.760284","-200","-84.724686","-200"
"2022-06-28T03:06:40.377","-200","-200","-94.99867","-91.201","-200","-80.29256","-200","-200","-200","-200","-200","-200","-200","-200","-81.13849","-200","-72.23669","-200","-84.38113","-200"
"2022-06-28T03:06:41.504","-200","-200","-94.748566","-200","-200","-80.25567","-81.88519","-200","-87.505","-200","-200","-200","-200","-200","-82.134224","-75.13687","-72.00984","-53.254112","-200","-200"
"2022-06-28T03:06:42.632","-90.998","-200","-200","-200","-200","-200","-81.592575","-200","-200","-200","-200","-200","-200","-95.499626","-83.03339","-74.61525","-200","-53.337925","-200","-200"
"2022-06-28T03:06:43.763","-200","-200","-200","-200","-200","-200","-81.63026","-86.785446","-200","-200","-200","-200","-200","-200","-200","-200","-200","-53.40507","-84.6754","-200"
