"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","accer_x","accer_y","accer_z","gyro_x","gyro_y","gyro_z","magn_x","magn_y","magn_z"
"2022-06-30T09:37:44.468","-63.0","-200","-62.0","-200","-200","-200","-71.0","-64.0","-200","-70.0","-200","-200","-200","-74.0","-80.0","-86.0","-200","-91.0","-78.0","-200","-0.6739678","2.0530279","9.959879","-0.018794287","-0.032620203","-0.021115573","28.900002","7.799999","-43.0"
"2022-06-30T09:37:45.574","-63.0","-200","-200","-200","-72.0","-65.0","-72.00025","-200","-67.0","-70.0","-200","-200","-70.0","-200","-81.00025","-200","-88.0","-200","-200","-85.0","-0.427365","1.8590976","9.709685","0.019690225","0.014416421","0.0063733617","28.599998","7.9000015","-43.3"
"2022-06-30T09:37:46.722","-62.66639","-70.0","-200","-64.0","-71.49988","-66.00025","-72.00017","-200","-67.0","-70.33361","-88.0","-200","-70.50012","-75.00025","-200","-200","-88.50012","-91.0","-200","-85.0","-0.6476316","1.8016368","9.931149","-0.04689409","0.018692477","0.063794695","29.099998","7.0999985","-43.0"
"2022-06-30T09:37:47.840","-200","-68.499626","-70.002","-61.9995","-69.99867","-200","-200","-63.499874","-64.99834","-200","-200","-200","-71.33411","-80.00433","-81.00017","-85.49988","-200","-87.66389","-75.499374","-87.33527","0.009576807","2.111686","9.51336","0.061839927","0.0070860377","-0.013174326","27.700005","7.299999","-42.5"
"2022-06-30T09:37:48.965","-200","-68.33295","-72.33661","-61.99967","-200","-200","-73.75319","-64.66756","-200","-70.25006","-200","-78.0","-200","-200","-81.751434","-85.333115","-200","-86.24544","-77.66805","-200","0.06344634","2.4013844","9.457097","0.14736106","0.013805555","-0.12740614","26.200005","6.5999985","-43.3"
"2022-06-30T09:37:50.078","-63.000374","-200","-200","-200","-200","-200","-73.6021","-200","-64.748314","-70.1999","-200","-78.50012","-200","-200","-200","-83.74707","-200","-200","-78.75293","-200","0.5482722","2.5486276","9.027337","0.03435099","-0.21038198","-0.15856026","24.900002","7.0999985","-43.8"
"2022-06-30T09:37:51.206","-64.404495","-70.5035","-200","-200","-200","-66.66739","-73.50129","-200","-65.2","-71.171005","-200","-79.33411","-73.003494","-81.25543","-200","-200","-88.333275","-200","-200","-84.74693","0.5614403","2.4516625","9.312247","0.050844353","0.01197296","0.07601199","22.299995","7.5","-44.7"
"2022-06-30T09:37:52.342","-65.843636","-73.41149","-71.25056","-65.75631","-71.000755","-68.00288","-200","-64.500374","-65.50137","-200","-200","-200","-71.999794","-80.80299","-200","-82.79481","-88.75069","-85.19321","-200","-83.3935","0.5650316","2.1643584","9.409213","-0.007798712","-0.0344528","0.11083131","23.599998","7.799999","-44.4"
"2022-06-30T09:37:53.462","-200","-75.68661","-69.7961","-68.01179","-71.4018","-69.80769","-200","-65.80419","-65.71685","-200","-200","-200","-200","-80.50112","-80.5977","-82.15945","-200","-84.49114","-77.79949","-200","0.6488287","2.0003555","9.375694","0.008694651","-0.044226643","-0.011952597","22.400002","9.200001","-44.7"
"2022-06-30T09:37:54.590","-67.735306","-200","-68.82566","-69.51668","-200","-200","-72.566505","-65.66955","-200","-73.15939","-87.49988","-80.75306","-200","-200","-80.83249","-82.42409","-200","-83.989174","-76.99592","-200","0.8762778","1.6172832","9.652225","0.11437434","-0.11142182","-0.2000991","22.400002","10.200001","-44.5"
