"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","accer_x","accer_y","accer_z","gyro_x","gyro_y","gyro_z","magn_x","magn_y","magn_z"
"2022-06-30T08:56:19.508","-200","-200","-79.0","-71.0","-200","-200","-70.0","-82.0","-200","-200","-200","-73.0","-200","-74.0","-94.0","-85.0","-200","-200","-80.0","-200","-0.15442601","1.6280571","9.313444","0.017979804","-0.012868894","-0.04166101","-31.299995","-15.200001","-47.8"
"2022-06-30T08:56:20.614","-79.0","-200","-80.00025","-200","-74.0","-200","-70.50012","-80.99975","-200","-71.0","-82.0","-76.00075","-200","-200","-200","-200","-200","-200","-80.50012","-58.0","-0.4369418","1.5993267","9.637859","0.025310187","0.03966552","-0.048991393","-31.200005","-15.0","-48.2"
"2022-06-30T08:56:21.744","-80.500374","-57.0","-200","-200","-73.49988","-84.0","-70.333275","-200","-79.0","-73.500626","-79.499374","-77.00133","-67.0","-200","-200","-200","-200","-200","-200","-58.500126","-0.427365","1.7226281","9.56723","0.038138356","-0.037914366","-0.0019547683","-30.299995","-15.799999","-48.0"
"2022-06-30T08:56:22.881","-81.667885","-57.0","-78.99934","-67.49912","-73.333115","-82.99975","-200","-200","-80.500374","-75.33527","-200","-200","-67.0","-70.49912","-200","-200","-200","-200","-200","-57.99967","-0.15322891","1.7393875","9.634268","0.005151633","-0.012258029","-0.025167648","-30.900002","-17.100002","-49.0"
"2022-06-30T08:56:24.009","-200","-56.66639","-77.747314","-66.33178","-200","-200","-200","-80.66622","-78.66539","-200","-200","-76.24969","-200","-69.999","-90.99925","-200","-200","-200","-80.666885","-200","-0.25019407","1.9405005","9.604341","-0.013785189","0.029280808","-0.0050090943","-31.799995","-17.2","-48.2"
"2022-06-30T08:56:25.138","-80.248436","-200","-77.396805","-65.74782","-200","-200","-71.25156","-79.74806","-200","-74.24956","-75.996666","-75.999","-200","-69.498375","-89.665054","-200","-200","-200","-81.25118","-200","0.05746084","1.804031","9.831789","0.013092882","-0.007371106","-0.014172073","-32.5","-17.2","-47.7"
"2022-06-30T08:56:26.259","-79.1956","-200","-200","-200","-73.750565","-200","-71.802895","-200","-200","-73.5977","-74.24444","-75.99917","-68.33444","-200","-200","-200","-200","-200","-81.4014","-57.749313","0.094570965","1.9620483","9.615114","0.017368939","-0.029362256","-0.0031764987","-33.5","-17.5","-46.3"
"2022-06-30T08:56:27.399","-77.82342","-56.4995","-200","-64.59481","-74.2018","-83.33344","-72.17075","-200","-78.74919","-72.99534","-74.7972","-200","-69.25243","-69.599","-200","-200","-200","-200","-200","-58.0002","-0.10295067","1.365892","10.406398","-0.15306246","0.13557136","0.07134906","-32.799995","-17.5","-46.8"
"2022-06-30T08:56:28.521","-200","-56.3993","-78.50237","-63.658073","-74.00058","-84.50212","-200","-78.595","-79.2007","-200","-200","-200","-68.1988","-70.670715","-200","-200","-200","-200","-200","-58.335026","-0.79008657","1.2114661","9.257181","0.1340442","-0.24744116","-0.6048788","-28.5","-18.0","-46.8"
"2022-06-30T08:56:29.641","-77.273674","-55.997585","-79.00527","-64.28237","-200","-200","-73.871605","-79.1651","-200","-73.85871","-200","-75.13658","-200","-71.00563","-90.75069","-200","-200","-200","-81.83648","-200","-0.5279215","1.7250223","9.421184","0.18963294","-0.06906849","-0.1577254","-25.0","-27.100002","-45.7"
"2022-06-30T08:56:30.756","-77.113075","-200","-200","-200","-200","-200","-74.51825","-200","-200","-75.011345","-74.4963","-74.48891","-68.500374","-200","-200","-200","-200","-200","-82.722694","-58.861988","-1.0426749","2.111686","9.527725","-0.00462221","0.04088725","0.13121384","-23.900002","-28.8","-44.8"
"2022-06-30T08:56:31.885","-77.6622","-55.56658","-200","-200","-200","-85.80559","-74.460014","-200","-200","-75.45953","-76.29413","-74.995804","-68.715996","-200","-200","-200","-200","-200","-200","-59.131573","-0.61650693","1.5382746","9.242816","-0.01867211","-0.06295984","-0.08564331","-24.299995","-27.399998","-45.0"
"2022-06-30T08:56:33.001","-200","-55.242958","-79.761154","-65.75986","-200","-87.345","-200","-79.42893","-81.17625","-200","-200","-200","-68.62572","-71.00492","-90.1989","-89.001","-200","-200","-200","-200","-0.7134721","1.2126632","9.730036","-0.023559032","-0.0030950494","-0.11679743","-24.799995","-25.899998","-45.7"
"2022-06-30T08:56:34.124","-200","-55.10329","-80.574554","-66.91051","-200","-88.30188","-200","-79.122665","-200","-200","-200","-75.30049","-200","-71.2291","-90.33302","-91.002335","-200","-200","-83.00984","-200","-0.6440403","1.283292","9.394848","0.034473166","-0.009814568","-0.04960226","-24.299995","-25.7","-46.1"
"2022-06-30T08:56:35.248","-78.102135","-200","-81.22622","-67.73094","-200","-200","-75.42756","-78.434685","-200","-75.10867","-75.87877","-75.087715","-200","-71.40871","-90.428925","-200","-200","-200","-83.23347","-59.229156","-0.60693014","1.1216835","9.647436","-0.0052330755","0.012787446","-0.016004669","-24.0","-26.100002","-45.9"
"2022-06-30T08:56:36.368","-78.27767","-55.90417","-200","-200","-200","-87.75945","-75.94297","-200","-200","-74.636154","-75.78002","-74.91009","-69.22961","-200","-200","-200","-200","-200","-83.31121","-59.307335","-0.62129533","1.0989386","9.937134","-0.007676536","-0.011647163","-0.023335053","-24.200005","-26.2","-45.5"
"2022-06-30T08:56:37.494","-78.083885","-56.560482","-200","-68.403275","-200","-87.78648","-200","-78.49202","-82.44496","-74.24171","-75.70091","-200","-69.40916","-71.09343","-90.37484","-200","-200","-200","-200","-59.463894","-1.0702082","0.985214","9.770737","0.08334238","0.048828498","-0.3122743","-23.0","-26.399998","-45.5"
"2022-06-30T08:56:38.610","-200","-56.512794","-81.852745","-69.304855","-200","-87.6053","-200","-78.90897","-82.388855","-200","-200","-200","-68.90885","-71.08548","-200","-200","-200","-200","-83.92988","-59.594585","-0.94331545","-0.38067806","10.651803","0.076622866","-0.0373035","-0.2560747","-18.799995","-27.2","-46.8"
"2022-06-30T08:56:39.742","-200","-56.47237","-81.86527","-69.832664","-200","-200","-76.458305","-78.91672","-200","-74.14382","-200","-74.523","-200","-71.31525","-90.10799","-91.502625","-200","-200","-84.78665","-200","-0.44771573","1.4915876","9.652225","0.087007575","-0.07517715","-0.11985176","-15.5","-33.2","-45.9"
"2022-06-30T08:56:40.875","-78.47144","-200","-82.03356","-200","-200","-200","-76.73751","-200","-200","-73.986244","-74.80365","-74.04354","-69.001686","-200","-89.894196","-200","-200","-200","-85.51298","-59.390045","-0.35793316","1.8938135","9.607931","0.03508403","0.03966552","-0.048380528","-14.699997","-35.0","-44.6"
"2022-06-30T08:56:42.003","-79.46583","-56.290646","-200","-70.13898","-200","-87.82679","-76.90381","-200","-82.90699","-73.98719","-74.13971","-73.55821","-68.68622","-71.07156","-200","-200","-200","-200","-200","-59.43488","-0.48003745","1.9871874","9.7324295","-0.046771914","-0.0049276454","-0.012950342","-13.599998","-35.9","-43.7"
"2022-06-30T08:56:43.131","-200","-56.339523","-81.66358","-70.54282","-200","-88.52217","-200","-200","-83.42352","-200","-200","-200","-68.41527","-71.41115","-89.811485","-91.4018","-200","-200","-200","-59.404915","-0.46806642","1.9333179","9.713276","-0.0223373","0.02133956","-0.05326745","-13.900002","-35.6","-43.8"
"2022-06-30T08:56:44.246","-200","-56.38239","-81.41115","-70.896996","-200","-88.16567","-76.91044","-78.68678","-200","-200","-200","-73.39219","-200","-71.38447","-89.657364","-200","-200","-200","-85.69578","-200","-0.2621651","1.7310078","9.646238","0.026531916","-0.037914366","0.0053756144","-13.5","-34.8","-44.3"
