"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","021","022","accer_x","accer_y","accer_z","gyro_x","gyro_y","gyro_z","magn_x","magn_y","magn_z"
"2022-07-01T07:52:38.183","-200","-200","-200","-200","-200","-200","-74.0","-200","-76.0","-92.0","-200","-200","-200","-200","-200","-200","-200","-85.0","-65.0","-200","-85.0","-77.0","1.1013328","2.9580362","9.196129","0.010537425","0.027718011","0.10178542","-36.2025","-15.697499","-51.0"
"2022-07-01T07:52:39.286","-91.0","-200","-92.0","-91.0","-200","-82.0","-200","-200","-77.500374","-200","-200","-200","-200","-200","-200","-53.0","-200","-200","-67.500626","-200","-80.999","-200","1.3946224","2.1679497","9.580399","-0.0041233404","-0.1530981","0.10606148","-35.9025","-15.3975","-51.0975"
"2022-07-01T07:52:40.410","-85.49863","-200","-91.49988","-200","-200","-80.499626","-200","-85.0","-77.33344","-200","-200","-200","-200","-94.0","-67.0","-53.0","-67.0","-200","-67.33361","-200","-200","-200","1.4209588","2.7138276","9.88925","-0.021227567","0.058872137","0.0016035213","-36.0975","-17.1","-49.8975"
"2022-07-01T07:52:41.541","-83.66422","-200","-91.333115","-200","-200","-80.33295","-74.50012","-80.999","-200","-92.50012","-200","-200","-200","-93.49988","-68.500374","-53.0","-71.50112","-85.0","-200","-200","-200","-82.50137","1.1073183","2.9628246","9.375694","-0.123242065","-0.07002043","-0.011224649","-35.7","-17.4975","-49.5"
"2022-07-01T07:52:42.651","-200","-200","-200","-89.99975","-200","-200","-75.33411","-80.99934","-200","-90.99883","-200","-200","-200","-200","-69.00066","-200","-73.33561","-83.99917","-200","-200","-83.33461","-84.33578","1.2892777","2.7928362","9.258378","-0.0016798794","0.06620252","-0.051541757","-35.497498","-16.102499","-50.0025"
"2022-07-01T07:52:43.785","-83.748314","-200","-90.74882","-89.33261","-200","-200","-75.250435","-200","-80.004745","-90.24781","-200","-200","-200","-200","-200","-54.75306","-200","-83.74894","-68.25181","-200","-84.25256","-84.75256","0.9648633","2.96881","9.288305","-0.008399397","0.031994067","-0.0332158","-34.5975","-17.9025","-50.302498"
"2022-07-01T07:52:44.897","-83.999405","-200","-200","-88.99888","-200","-79.99913","-200","-200","-81.00679","-200","-200","-200","-200","-200","-69.50137","-55.604992","-74.75418","-200","-69.60549","-200","-85.004295","-200","0.7182605","2.980781","9.312247","0.011148291","0.030161472","-0.011224649","-33.6975","-18.6975","-50.602497"
"2022-07-01T07:52:46.021","-83.497215","-200","-90.1974","-200","-200","-80.601105","-74.999596","-80.74906","-200","-200","-200","-200","-200","-200","-69.601395","-55.33627","-74.60289","-83.3981","-200","-200","-200","-82.9968","0.7170634","2.9640217","9.507375","-0.0346666","-0.017486017","0.005879578","-33.3","-18.9975","-50.497498"
"2022-07-01T07:52:47.125","-200","-200","-200","-200","-200","-81.17018","-74.999664","-80.5988","-200","-200","-200","-200","-200","-200","-69.5007","-200","-74.501945","-83.16402","-200","-200","-200","-81.82533","0.4429273","2.9221232","9.488221","0.0056505036","0.003894266","-0.012446379","-32.9025","-18.8025","-50.9025"
"2022-07-01T07:52:48.243","-83.5695","-200","-200","-89.4003","-200","-200","-74.85593","-80.49854","-80.33594","-200","-200","-200","-200","-200","-200","-200","-200","-82.5653","-68.499535","-200","-84.83614","-81.275314","0.4429273","3.1675289","9.068039","0.07040222","-0.012599096","-0.061926465","-32.497498","-19.199999","-51.2025"
"2022-07-01T07:52:49.357","-83.371605","-200","-89.3272","-89.16585","-200","-81.2895","-200","-200","-80.00007","-200","-200","-200","-200","-200","-200","-54.712784","-200","-200","-68.71528","-200","-84.572136","-200","-0.17357962","3.0346506","9.2907","-0.16417004","-0.048640147","0.10728321","-30.8025","-20.4","-51.997498"
"2022-07-01T07:52:50.478","-83.89168","-200","-90.43043","-88.566864","-200","-82.00954","-200","-80.71443","-81.00879","-200","-200","-200","-200","-200","-70.14763","-53.740273","-73.56707","-200","-68.24682","-200","-200","-200","0.6823475","1.7154455","9.962274","-0.26251933","-0.26183212","0.25022566","-33.5025","-15.0","-50.302498"
"2022-07-01T07:52:51.587","-200","-200","-200","-200","-200","-82.2332","-75.378456","-81.88526","-200","-90.7999","-200","-200","-200","-200","-71.26383","-53.09526","-72.36075","-81.73747","-200","-200","-200","-80.98842","1.1623849","2.1930888","9.764751","0.0013744468","-0.0071013086","-0.005726862","-32.1975","-12.3","-51.0975"
"2022-07-01T07:52:52.714","-200","-200","-200","-88.11711","-200","-200","-75.78539","-82.57235","-81.45727","-200","-200","-200","-200","-200","-72.35785","-200","-71.42128","-81.317505","-200","-200","-84.49999","-81.55155","1.2018893","2.0518308","9.726444","-0.0346666","0.012446379","0.07612908","-32.399998","-11.7","-49.2975"
"2022-07-01T07:52:53.844","-84.206924","-200","-200","-87.76685","-200","-200","-75.90858","-200","-82.32367","-200","-200","-200","-200","-200","-200","-52.88276","-200","-81.082466","-69.34275","-200","-83.320145","-82.30697","1.1971009","2.019509","9.589975","0.08506299","-0.005879578","0.008933905","-30.599998","-9.0","-47.602497"
"2022-07-01T07:52:54.952","-84.37277","-200","-200","-200","-200","-82.10813","-200","-81.905785","-200","-200","-200","-200","-200","-200","-73.43717","-52.70862","-71.47997","-200","-70.01793","-200","-200","-200","1.0941502","2.36188","9.336189","0.0013744468","-0.10728321","-0.012446379","-30.9975","-10.4025","-48.2025"
"2022-07-01T07:52:56.069","-84.42614","-200","-200","-200","-200","-82.09813","-76.56448","-81.82201","-200","-200","-200","-200","-200","-200","-73.67422","-52.648327","-70.973114","-81.44481","-200","-200","-200","-82.09359","1.7070658","1.1372458","10.569203","0.20173825","0.37957639","0.8989646","-27.06","-1.9875","-52.9125"
"2022-07-01T07:52:57.179","-200","-200","-200","-200","-200","-82.25994","-76.7717","-81.32667","-200","-200","-200","-200","-200","-200","-73.87209","-200","-70.9754","-81.747284","-200","-200","-82.881996","-82.085625","1.6340426","1.5945383","9.074024","-0.4005749","-0.44448084","0.5471062","1.3575","0.57","-58.7025"
"2022-07-01T07:52:58.305","-200","-200","-200","-88.09476","-200","-200","-76.31669","-200","-82.29373","-91.837975","-200","-200","-200","-200","-200","-200","-200","-81.37304","-70.01627","-200","-82.61543","-81.60587","1.4772224","1.2198458","9.919178","0.009315695","-0.022372939","0.06452264","0.29999998","-0.59999996","-61.4025"
"2022-07-01T07:52:59.410","-84.23488","-97.0","-90.37615","-88.640945","-200","-81.845276","-200","-200","-82.09858","-200","-200","-200","-200","-95.00117","-200","-52.754887","-200","-200","-70.270134","-200","-82.56307","-200","1.1133038","1.6232687","9.636662","0.028863383","0.065591656","-0.08697194","0.39749998","-0.0975","-60.6"
"2022-07-01T07:53:00.530","-84.14411","-200","-90.333885","-89.0969","-200","-81.63614","-200","-82.08926","-81.933136","-200","-200","-200","-200","-200","-74.74935","-52.772903","-70.42551","-200","-70.72184","-200","-200","-200","0.9792285","1.7681179","9.759963","0.004428773","0.038713586","-0.13461943","0.59999996","0.0975","-60.3"
"2022-07-01T07:53:01.645","-200","-200","-90.1986","-200","-200","-81.4545","-75.852394","-82.89123","-200","-200","-200","-200","-200","-200","-75.64981","-52.78855","-69.806206","-81.63963","-200","-200","-83.14935","-81.12032","0.7026982","1.447295","9.865308","-0.046883907","-0.021762075","0.011377365","0.9","0.59999996","-60.0975"
"2022-07-01T07:53:02.769","-200","-200","-200","-88.773926","-77.0","-200","-76.275986","-82.4164","-82.305565","-200","-200","-200","-200","-200","-200","-200","-69.337234","-81.25104","-200","-200","-82.69736","-80.76752","1.1575965","1.5035586","9.592369","0.046578474","0.0051159966","0.035811976","0.29999998","0.6975","-60.3975"
"2022-07-01T07:53:03.895","-200","-200","-200","-88.79054","-77.50012","-200","-76.25807","-200","-82.28451","-200","-200","-200","-200","-200","-200","-53.58107","-200","-80.84535","-72.06534","-200","-82.373695","-80.52301","1.1767502","1.7645266","9.751583","0.012370021","-0.008933905","-0.025885414","0.9","-0.2025","-60.802498"
"2022-07-01T07:53:05.009","-83.996376","-200","-200","-200","-200","-81.7495","-200","-200","-82.33094","-200","-200","-200","-200","-200","-75.39832","-53.66817","-69.445145","-200","-71.71632","-200","-200","-200","0.9923966","1.7908629","9.448717","-0.027947085","0.005726862","0.054748796","2.1975","-1.8","-60.3"
"2022-07-01T07:53:06.134","-83.80191","-200","-200","-200","-200","-81.45795","-76.917465","-82.58407","-200","-92.00506","-200","-200","-200","-200","-75.11288","-53.687508","-69.04951","-81.22315","-200","-200","-200","-80.30675","1.2389994","1.4939818","9.952697","0.056963183","0.04482224","0.17142406","3.9975","-2.3999999","-60.3975"
"2022-07-01T07:53:07.259","-200","-95.499626","-200","-200","-76.999664","-81.314705","-76.92227","-82.73237","-200","-92.2566","-200","-200","-92.0","-200","-74.92179","-200","-68.81351","-80.74392","-200","-200","-82.67394","-80.17232","0.9780314","1.4975731","9.883265","-0.045662176","0.083306745","-0.16394097","3.6975","-1.1025","-61.102497"
"2022-07-01T07:53:08.371","-200","-94.665726","-200","-88.73607","-200","-200","-77.03762","-200","-81.942314","-200","-200","-200","-200","-200","-200","-200","-200","-80.36953","-72.318825","-200","-83.24642","-79.99621","0.94331545","1.7345991","9.721656","0.010537425","-0.024816401","0.033368513","2.3999999","-0.39749998","-60.5025"
"2022-07-01T07:53:09.490","-84.30515","-93.99813","-90.27273","-88.882996","-200","-81.29723","-200","-200","-81.59601","-200","-200","-200","-200","-200","-200","-54.26001","-200","-200","-72.9131","-200","-83.69829","-200","0.89064306","1.5765818","9.835381","-0.02611449","-0.032757647","-0.029550606","2.3999999","0.39749998","-60.3"
