"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","accer_x","accer_y","accer_z","gyro_x","gyro_y","gyro_z","magn_x","magn_y","magn_z"
"2022-06-30T06:51:39.729","-200","-79.0","-200","-85.0","-200","-93.0","-200","-200","-94.0","-82.0","-200","-200","-79.0","-85.0","-86.0","-200","-200","-200","-200","-82.0","-1.1097125","1.2366052","9.545682","0.046710826","-0.06937393","0.02268346","46.299995","-35.2","-25.7"
"2022-06-30T06:51:40.834","-80.0","-80.00025","-200","-89.001","-200","-200","-200","-85.0","-200","-200","-200","-63.0","-200","-85.0","-85.49988","-200","-200","-200","-200","-200","-1.1504139","1.127669","9.562442","0.054652076","-0.0034004827","0.025737787","46.299995","-34.8","-25.8"
"2022-06-30T06:51:41.953","-81.00025","-200","-200","-200","-200","-200","-200","-85.0","-200","-78.49912","-70.0","-62.499874","-200","-200","-200","-200","-200","-200","-95.0","-79.499374","-1.5382746","1.3455414","9.677363","-0.004601851","-0.0034004827","-0.06650286","46.200005","-35.9","-25.6"
"2022-06-30T06:51:43.076","-81.33378","-78.332115","-200","-200","-200","-200","-200","-200","-89.49888","-78.99983","-71.500374","-62.66672","-74.49888","-200","-85.666725","-200","-200","-200","-200","-80.33361","-1.5646108","1.2270284","9.836577","-0.0009366609","0.05279912","-0.053063832","46.299995","-35.7","-25.4"
"2022-06-30T06:51:44.192","-200","-78.49938","-200","-200","-200","-200","-200","-200","-200","-80.25206","-200","-200","-72.998","-200","-200","-200","-200","-200","-200","-79.49875","-1.2964603","1.115698","9.7863","0.012502375","-0.046161048","0.07705047","46.1","-35.1","-25.5"
"2022-06-30T06:51:45.315","-200","-77.79741","-200","-86.66539","-200","-91.499626","-200","-86.00083","-89.33245","-200","-200","-61.998875","-200","-80.663055","-84.99888","-200","-200","-200","-200","-200","-1.4030021","1.1971009","9.762358","-0.0015475266","0.065016426","-0.036570467","46.1","-35.8","-25.7"
"2022-06-30T06:51:46.431","-81.75106","-200","-200","-85.24657","-200","-200","-200","-86.25106","-200","-200","-72.00066","-61.196705","-200","-78.243065","-200","-200","-200","-200","-200","-200","-1.0295067","1.2282255","9.941922","0.036936983","0.011260283","-0.026796626","44.9","-35.1","-26.7"
"2022-06-30T06:51:47.550","-83.00459","-200","-200","-200","-200","-200","-88.0","-200","-200","-80.0009","-73.00224","-60.82891","-75.50288","-200","-200","-200","-200","-200","-200","-78.796906","-1.1336545","1.1994951","9.572019","0.020443622","-0.022337306","0.0013031764","45.500008","-34.8","-26.4"
"2022-06-30T06:51:48.671","-200","-77.99876","-200","-87.0025","-200","-92.66739","-200","-200","-88.247444","-80.16818","-71.998795","-200","-77.80919","-79.7991","-84.9991","-200","-200","-200","-200","-78.49605","-1.3215994","1.2425907","9.700109","-0.018651754","-0.0021787523","0.01901827","46.1","-36.2","-25.9"
"2022-06-30T06:51:49.793","-200","-78.57407","-200","-87.00208","-200","-200","-200","-200","-200","-80.43157","-200","-200","-200","-81.004745","-84.49696","-96.0","-200","-200","-200","-78.13715","-1.5047557","1.1791444","9.736021","0.04182391","0.013092879","0.028181247","46.700005","-35.6","-25.4"
"2022-06-30T06:51:50.915","-84.0084","-78.62778","-85.0","-86.570435","-200","-93.502","-87.49988","-86.8025","-200","-200","-200","-60.422157","-200","-81.722984","-84.56929","-94.99975","-200","-200","-200","-200","-1.7034745","1.1432313","9.509769","0.0002850704","-0.010730865","-0.103765644","47.000008","-35.4","-25.6"
"2022-06-30T06:51:52.032","-83.71963","-200","-86.500374","-200","-200","-200","-87.666725","-87.84014","-200","-200","-71.99899","-60.87329","-76.66913","-200","-200","-200","-200","-200","-200","-78.62422","-1.3611037","1.0462662","9.610326","0.052208617","-0.047993645","-0.01580105","47.4","-34.8","-25.3"
"2022-06-30T06:51:53.149","-200","-200","-200","-200","-200","-91.7965","-87.75019","-200","-87.39541","-79.7467","-72.14292","-61.22463","-75.854","-200","-85.632324","-200","-200","-200","-200","-78.77882","-1.602918","1.0654198","9.810242","-0.040032037","-0.043106724","-0.11292862","48.299995","-34.9","-25.0"
"2022-06-30T06:51:54.272","-200","-79.23144","-200","-86.24632","-200","-91.16086","-200","-200","-200","-200","-71.87272","-200","-75.49413","-200","-86.460205","-200","-200","-200","-200","-200","-1.9955671","1.2904748","9.744401","-0.0076561794","0.1199943","-0.048787773","48.1","-33.3","-25.5"
"2022-06-30T06:51:55.400","-200","-200","-87.334274","-85.76918","-200","-90.275024","-200","-87.00042","-86.49206","-200","-200","-200","-74.98914","-80.62309","-200","-94.99983","-200","-200","-94.49988","-200","-1.6879122","1.3946224","9.482236","0.044878233","-0.11518882","-0.05917248","48.1","-34.3","-25.5"
"2022-06-30T06:51:56.516","-83.25062","-200","-200","-200","-200","-200","-200","-200","-200","-200","-71.77466","-62.21604","-200","-79.654144","-200","-200","-200","-200","-200","-200","-1.8483237","1.0067618","9.803059","-0.009488773","-0.018672114","-0.03351614","48.299995","-32.4","-25.3"
"2022-06-30T06:51:57.633","-83.33482","-79.51222","-200","-200","-200","-200","-200","-200","-86.13374","-79.32569","-71.39183","-61.918583","-75.2945","-200","-200","-200","-200","-200","-200","-79.30835","-1.8686744","2.267309","8.492233","0.44560584","0.02714278","-0.42752424","49.200005","-31.3","-24.5"
"2022-06-30T06:51:58.759","-83.605125","-79.46484","-200","-200","-200","-90.24035","-200","-200","-86.11688","-79.59692","-70.61565","-200","-75.45225","-79.689224","-86.00785","-200","-200","-200","-200","-79.27983","-3.1136594","2.124854","9.291897","0.18110119","-0.41695628","-1.0280048","51.000008","-29.7","-19.6"
"2022-06-30T06:51:59.864","-200","-78.99989","-88.50275","-84.98123","-200","-200","-200","-200","-85.09245","-200","-200","-200","-75.83917","-200","-200","-200","-200","-200","-200","-200","-1.8255788","2.1906946","9.299079","0.07114544","-0.026002496","0.06300057","37.200005","-18.0","-24.4"
"2022-06-30T06:52:00.977","-84.751564","-200","-88.60249","-84.42801","-200","-200","-87.5997","-200","-200","-200","-200","-61.415024","-200","-80.5504","-200","-200","-200","-200","-200","-200","-1.6891093","2.3139958","9.570822","0.016167566","-0.010730865","0.036122493","36.799995","-19.099998","-25.0"
"2022-06-30T06:52:02.098","-84.85778","-200","-89.17133","-200","-200","-200","-87.16444","-200","-200","-79.17174","-70.56326","-60.988136","-75.61535","-200","-200","-200","-200","-200","-200","-79.25602","-1.5598224","2.348712","9.332599","0.030217467","0.0027081696","-0.01457932","36.1","-19.400002","-25.5"
"2022-06-30T06:52:03.222","-84.868996","-200","-200","-200","-200","-200","-200","-200","-84.98166","-200","-70.75536","-60.621494","-75.57012","-200","-200","-200","-200","-200","-200","-79.23584","-1.4664485","2.384625","9.500193","-0.0009366609","0.0179798","0.053226724","36.1","-20.0","-25.5"
"2022-06-30T06:52:04.342","-200","-78.9999","-200","-84.13635","-200","-89.98861","-200","-200","-84.98335","-78.98696","-71.14086","-200","-75.87536","-80.24833","-86.65457","-94.749435","-200","-200","-200","-79.36551","-1.2593501","2.4349031","9.168595","0.029606601","-0.060821813","-0.059783347","35.700005","-20.0","-25.8"
"2022-06-30T06:52:05.453","-200","-200","-89.002914","-83.810265","-200","-89.78693","-200","-87.12646","-84.98477","-200","-200","-200","-200","-79.99225","-200","-94.5991","-200","-200","-95.33395","-200","-1.5286977","2.3307555","9.554062","-0.012543101","0.011260283","0.011687886","35.000008","-19.699997","-26.0"
"2022-06-30T06:52:06.571","-85.31964","-200","-89.633","-83.6037","-200","-200","-87.85971","-87.22462","-200","-200","-70.99335","-60.096344","-200","-200","-200","-94.498795","-200","-200","-200","-200","-1.423353","2.4313118","9.488221","-0.0009366609","-0.085867286","-0.013968455","34.799995","-19.599998","-25.6"
"2022-06-30T06:52:07.690","-85.022","-78.852905","-200","-200","-200","-200","-87.49913","-200","-84.67064","-79.46099","-70.53948","-59.765594","-200","-200","-200","-200","-200","-200","-200","-78.72019","-1.1109096","2.372654","10.115502","-0.21779382","0.22139794","0.9835745","42.944008","-26.209","-22.703"
"2022-06-30T06:52:08.809","-200","-79.00085","-200","-83.28648","-200","-200","-200","-200","-85.209366","-79.794624","-70.32221","-200","-75.883446","-80.727844","-86.5138","-200","-200","-200","-200","-79.12775","-1.6927006","2.409764","9.5385","0.03510439","0.046690468","0.053226724","46.700005","-37.2","-16.9"
"2022-06-30T06:52:09.929","-200","-78.67629","-88.43821","-83.13809","-200","-89.34417","-200","-200","-85.40165","-79.87768","-200","-200","-75.8906","-80.60879","-86.4733","-200","-200","-200","-200","-79.18129","-1.5442601","2.2720973","9.821015","-0.010099638","0.030197104","0.026348652","46.9","-36.1","-17.0"
"2022-06-30T06:52:11.036","-200","-200","-88.08951","-82.69992","-200","-89.31489","-87.78014","-200","-200","-200","-200","-60.20968","-200","-80.50438","-200","-200","-200","-200","-200","-200","-1.2952632","2.4313118","9.507375","0.0015067998","0.071125075","0.040398553","45.6","-35.9","-18.4"
"2022-06-30T06:52:12.157","-85.150375","-200","-87.89624","-200","-200","-200","-87.802444","-200","-200","-79.82072","-70.47827","-60.430573","-75.722145","-200","-200","-200","-200","-200","-200","-79.40384","-1.2114661","2.3642743","9.42238","-0.02414954","-0.010730865","-0.0029728804","46.000008","-36.0","-18.5"
"2022-06-30T06:52:13.288","-85.07976","-78.69617","-200","-200","-200","-200","-87.728226","-200","-200","-79.77034","-70.34069","-60.795277","-75.45999","-200","-86.43851","-200","-200","-200","-200","-79.49245","-1.2904748","2.2529438","9.531317","-0.012543101","0.012482014","0.08682431","46.200005","-35.9","-18.4"
