"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","accer_x","accer_y","accer_z","gyro_x","gyro_y","gyro_z","magn_x","magn_y","magn_z"
"2022-06-30T04:46:35.987","-200","-200","-200","-200","-200","-200","-76.0","-70.0","-53.0","-79.0","-92.0","-200","-200","-200","-65.0","-200","-96.0","-200","-200","-94.0","0.7469909","-1.0977415","9.536105","0.062348984","-0.04408411","0.19657643","-7.9000015","10.599998","-34.8"
"2022-06-30T04:46:37.094","-200","-86.0","-200","-72.0","-200","-74.0","-200","-200","-55.500626","-83.001","-200","-200","-200","-200","-200","-79.0","-94.99975","-96.0","-200","-200","0.36032736","0.7565677","9.953894","0.1252681","-0.008043058","-0.38008034","-7.800003","7.5999985","-36.3"
"2022-06-30T04:46:38.219","-73.0","-200","-73.0","-74.500626","-200","-79.00125","-200","-200","-55.0","-85.669556","-200","-200","-200","-91.0","-200","-83.50112","-200","-92.99925","-95.0","-200","-1.5861586","2.4420857","8.269572","-0.55829006","0.3902411","0.842261","-0.30000305","4.278","-42.584"
"2022-06-30T04:46:39.331","-71.499626","-200","-71.99975","-76.66889","-200","-200","-84.50212","-200","-200","-200","-200","-81.0","-200","-200","-200","-200","-200","-200","-89.99875","-200","0.9648633","0.37708676","13.645753","-0.76598424","-0.75452036","2.3291068","17.756996","-1.2910004","-34.479"
"2022-06-30T04:46:40.462","-76.0035","-200","-200","-200","-200","-200","-200","-77.00175","-56.502625","-200","-92.50012","-82.00025","-82.0","-200","-67.0005","-200","-94.99983","-200","-200","-87.998505","-0.51355624","3.5877113","8.4587145","-0.62853956","-1.1485285","0.11410963","20.299995","9.800003","-41.5"
"2022-06-30T04:46:41.564","-200","-90.001","-200","-200","-200","-77.33278","-200","-200","-57.605392","-87.25494","-94.00133","-200","-88.001495","-84.998505","-69.002","-84.33478","-200","-91.665054","-200","-87.999","-0.61770403","1.8722657","9.615114","0.461244","-1.0025318","-0.16872098","8.5","24.400002","-48.6"
"2022-06-30T04:46:42.677","-200","-90.00066","-71.33261","-76.50137","-200","-76.49813","-200","-200","-58.173748","-88.006195","-200","-200","-200","-200","-68.75106","-84.50137","-200","-91.24806","-87.66389","-200","-0.04070143","2.7485435","9.556456","-0.24430537","0.19965112","0.032253686","0.5","14.599998","-50.8"
"2022-06-30T04:46:43.797","-200","-200","-73.25281","-200","-200","-76.39821","-200","-200","-200","-200","-200","-82.66739","-200","-83.66456","-200","-200","-200","-200","-86.746315","-200","-0.33877954","1.7657237","9.938332","-0.094643384","0.04998914","-0.025167648","-2.4000015","18.800003","-47.9"
"2022-06-30T04:46:44.915","-76.75394","-200","-200","-200","-200","-200","-200","-77.00117","-200","-200","-200","-84.25331","-85.99933","-200","-67.597404","-200","-200","-200","-200","-87.498375","0.18435353","0.59136784","9.8198185","0.08861619","-0.19863302","-0.31716123","0.69999695","26.599998","-45.6"
"2022-06-30T04:46:46.041","-200","-90.75181","-200","-200","-200","-200","-200","-200","-56.998493","-87.83773","-92.498375","-85.20549","-85.49862","-200","-66.995094","-200","-200","-89.994705","-200","-200","1.1923125","1.3144168","9.628283","0.17719164","-0.008043058","0.32119295","-4.800003","23.900002","-46.0"
"2022-06-30T04:46:47.167","-200","-90.1998","-200","-76.601395","-200","-75.66182","-200","-200","-56.242138","-86.56701","-91.9972","-200","-85.7998","-82.99725","-66.133095","-200","-93.99812","-88.99101","-200","-86.7966","1.4077905","1.2294226","9.7863","0.004927649","0.041437026","0.15992452","-3.0999985","24.699997","-46.7"
"2022-06-30T04:46:48.298","-75.5997","-90.16634","-71.5973","-200","-200","-76.57315","-84.33461","-200","-55.315998","-87.50424","-200","-200","-200","-83.1984","-200","-83.9996","-93.9985","-88.41717","-85.393005","-200","1.2473791","1.8495208","9.639056","0.03852524","-0.021482093","0.009651672","-0.099998474","23.900002","-48.1"
"2022-06-30T04:46:49.403","-74.66215","-200","-70.15786","-200","-200","-76.626976","-83.74994","-77.00088","-200","-200","-200","-85.67337","-200","-200","-65.73804","-83.66481","-200","-200","-200","-200","1.2437878","1.8602947","9.425972","0.025086202","-0.0013235407","-0.013561208","-0.69999695","22.300003","-48.0"
"2022-06-30T04:46:50.521","-200","-200","-69.12868","-200","-200","-200","-200","-76.8001","-54.878273","-200","-92.1651","-86.007904","-85.665886","-200","-65.54274","-200","-200","-200","-200","-200","1.1552023","1.9740193","9.643845","-0.022561288","-0.006821328","-0.035552356","-0.69999695","22.099998","-48.1"
"2022-06-30T04:46:51.637","-200","-90.57378","-200","-200","-200","-200","-200","-200","-54.51956","-88.009415","-91.85379","-200","-85.71393","-83.8349","-65.38628","-200","-200","-200","-200","-87.33295","1.2808979","1.9907787","9.49301","0.0043167835","-0.07157305","-0.022113321","-1.4000015","22.199997","-48.1"
"2022-06-30T04:46:52.754","-200","-200","-68.481995","-75.496124","-200","-75.76996","-82.195305","-200","-54.220116","-87.09569","-200","-200","-200","-200","-200","-83.42544","-200","-87.8602","-200","-200","1.2521675","1.9440918","9.545682","-0.007900521","-0.0055995975","-0.028832838","-2.0999985","22.199997","-48.2"
"2022-06-30T04:46:53.876","-200","-200","-68.31547","-74.418304","-200","-75.286194","-81.15803","-78.00558","-200","-200","-200","-86.63736","-200","-200","-200","-83.11961","-200","-87.76354","-85.66206","-200","1.210269","1.8602947","9.707291","-0.03416773","-0.002545271","-0.034330625","-3.199997","22.699997","-48.4"
"2022-06-30T04:46:54.996","-74.42316","-200","-68.28347","-200","-76.0","-200","-80.56017","-77.86099","-200","-200","-200","-86.228645","-200","-200","-65.25806","-200","-200","-200","-86.28579","-88.00399","0.51235914","2.4193408","9.528923","0.06295985","-0.21634811","-0.66291094","-8.599998","17.5","-45.9"
"2022-06-30T04:46:56.109","-200","-89.99706","-200","-200","-200","-200","-200","-200","-54.123928","-86.716866","-91.62004","-200","-86.12827","-200","-65.49134","-200","-200","-200","-200","-200","0.2669535","1.1659763","10.656591","-0.14290175","0.2760093","-0.52241194","-17.200005","9.199997","-45.0"
"2022-06-30T04:46:57.231","-200","-200","-200","-74.36556","-200","-75.35222","-200","-200","-54.041317","-86.06031","-92.1122","-200","-86.563324","-82.85215","-65.84678","-83.443275","-93.99875","-88.49746","-200","-200","1.1133038","0.93254155","9.749189","0.06784677","0.033495776","-0.047158796","-17.400002","3.199997","-44.8"
