"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","accer_x","accer_y","accer_z","gyro_x","gyro_y","gyro_z","magn_x","magn_y","magn_z"
"2022-06-30T06:39:45.219","-200","-200","-200","-200","-200","-200","-200","-200","-85.0","-200","-200","-200","-200","-61.0","-200","-200","-200","-200","-200","-200","-2.030283","1.8842367","9.8916445","-0.03147992","0.20734803","-0.13308719","44.799995","-43.3","-22.7"
"2022-06-30T06:39:46.318","-81.0","-200","-200","-78.0","-200","-200","-200","-200","-200","-200","-200","-63.0","-200","-67.501625","-200","-200","-200","-200","-200","-200","-1.2761095","2.1260512","9.412804","0.062593326","-0.046161048","-0.10132218","44.299995","-37.6","-24.6"
"2022-06-30T06:39:47.436","-81.50012","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-65.500626","-200","-200","-200","-200","-200","-200","-200","-200","-1.3623008","2.7617116","9.516952","0.004561126","-0.03577634","0.001914042","44.200005","-39.2","-24.4"
"2022-06-30T06:39:48.571","-80.66605","-68.0","-200","-200","-200","-200","-200","-200","-88.50088","-200","-65.0","-66.66805","-76.0","-67.667885","-200","-200","-200","-200","-200","-68.0","-1.4616601","2.7377696","9.283517","0.042434774","-0.07670431","0.05383759","44.6","-39.5","-24.0"
"2022-06-30T06:39:49.702","-200","-68.0","-200","-77.49988","-200","-95.0","-200","-200","-90.00183","-86.0","-64.49988","-200","-82.501625","-67.50062","-93.0","-200","-200","-200","-200","-67.49988","-1.7393875","2.645593","9.266758","0.026552275","-0.0027896175","0.023905192","45.4","-38.5","-23.9"
"2022-06-30T06:39:50.817","-200","-68.33361","-94.0","-78.33395","-200","-95.50012","-200","-91.0","-90.50225","-200","-200","-200","-200","-67.60079","-93.0","-200","-200","-200","-200","-200","-2.0159178","2.6300306","9.255983","0.013724105","0.009427687","-0.0005294187","46.200005","-37.8","-22.7"
"2022-06-30T06:39:51.941","-81.501","-200","-200","-200","-200","-200","-91.0","-200","-200","-200","-200","-66.75118","-200","-200","-200","-200","-200","-200","-200","-200","-1.9752164","2.5210943","9.386468","0.043045636","0.03080797","0.05261586","46.6","-37.4","-22.6"
"2022-06-30T06:39:53.067","-81.6011","-68.25006","-200","-200","-200","-200","-89.499626","-200","-90.4015","-84.499626","-68.67006","-67.40289","-82.334274","-200","-200","-200","-200","-200","-200","-68.33395","-2.4109612","2.5941176","9.196129","0.040602177","-0.0034004827","-0.100711316","46.4","-37.6","-22.8"
"2022-06-30T06:39:54.202","-200","-200","-200","-200","-200","-92.66439","-200","-200","-89.831985","-83.665726","-67.25007","-200","-82.00012","-65.49105","-92.66639","-200","-200","-200","-200","-69.5025","-2.2780828","0.92895025","10.245986","0.46576437","-0.26057476","-1.2827355","44.881004","-28.136002","-22.418"
"2022-06-30T06:39:55.324","-200","-69.403496","-89.49888","-77.74944","-200","-200","-200","-200","-89.13722","-200","-200","-200","-81.5989","-64.55774","-200","-200","-200","-200","-200","-70.2041","-2.36188","2.779668","8.979453","-0.15853989","-0.016228653","0.14729996","32.6","-20.5","-23.6"
"2022-06-30T06:39:56.449","-200","-200","-87.33078","-77.19791","-200","-200","-200","-91.0","-200","-200","-200","-68.00516","-200","-66.75705","-200","-200","-200","-200","-200","-200","-2.2146366","2.5510218","9.1350765","-0.0058235824","0.005762496","-0.01824451","31.799995","-19.599998","-21.9"
"2022-06-30T06:39:57.564","-81.33302","-200","-200","-200","-200","-200","-200","-200","-200","-83.99988","-66.798706","-69.0109","-81.3312","-200","-200","-200","-200","-200","-200","-69.66764","-1.6519991","2.2637177","9.552865","0.02471968","0.0069842264","0.025126921","31.299995","-20.5","-22.2"
"2022-06-30T06:39:58.684","-200","-72.5171","-200","-200","-200","-93.24931","-200","-200","-89.49819","-85.2035","-66.832405","-200","-200","-66.78435","-200","-200","-200","-200","-200","-69.28408","-1.9117701","2.4875755","9.360131","-0.002769256","-0.024780767","0.004968368","31.599998","-21.300003","-22.0"
"2022-06-30T06:39:59.822","-200","-74.5995","-89.001","-77.3322","-200","-93.3999","-200","-200","-89.66695","-86.00658","-66.85651","-200","-80.85223","-66.80622","-200","-200","-200","-200","-200","-68.99608","-1.910573","2.4420857","9.387665","-0.010710504","-0.01928298","0.013520481","31.900002","-20.900002","-21.8"
"2022-06-30T06:40:00.930","-200","-200","-87.9978","-77.572","-200","-93.33295","-200","-91.33361","-200","-200","-200","-69.26171","-200","-66.63916","-200","-200","-200","-200","-200","-200","-1.9297266","2.3475149","9.388862","0.06992371","-0.00889827","0.028181247","32.299995","-20.099998","-21.0"
"2022-06-30T06:40:02.060","-81.860275","-200","-87.32845","-200","-200","-200","-88.99934","-91.25006","-200","-86.00563","-65.36151","-200","-200","-200","-200","-200","-200","-200","-200","-200","-1.8375498","2.4791958","9.5492735","-0.010710504","-0.032722015","-0.11415035","31.299995","-20.900002","-20.8"
"2022-06-30T06:40:03.184","-82.00398","-74.77609","-200","-200","-200","-200","-88.74906","-200","-200","-85.122284","-64.534325","-70.01887","-79.98822","-200","-200","-200","-200","-200","-200","-69.22125","-0.01436521","2.8287494","9.725247","0.19759454","-0.30761138","-0.13553065","28.400002","-20.099998","-18.6"
"2022-06-30T06:40:04.300","-200","-74.23942","-200","-78.256424","-200","-200","-200","-200","-89.49789","-84.88381","-63.668777","-200","-80.43901","-67.26543","-200","-200","-200","-200","-200","-69.0974","-2.4169466","2.3666685","9.652225","-0.08829039","-0.06876306","-0.6443814","7.2089996","-37.8","-30.851"
"2022-06-30T06:40:05.435","-200","-73.60662","-87.85636","-79.014175","-200","-93.28507","-200","-91.1999","-200","-84.59134","-200","-200","-200","-66.92917","-200","-200","-200","-200","-200","-69.45836","-0.82001406","1.9033904","9.471462","0.030217467","-0.055324025","0.044674613","6.699997","-44.4","-30.5"
"2022-06-30T06:40:06.560","-82.677734","-200","-87.87447","-79.51984","-200","-200","-200","-91.333855","-200","-200","-200","-70.32121","-200","-67.5959","-200","-200","-200","-200","-200","-200","-1.316811","2.4109612","9.449914","0.036326118","-0.008287405","0.04223115","8.099998","-46.4","-30.7"
"2022-06-30T06:40:07.667","-83.01468","-200","-200","-200","-200","-200","-200","-91.860985","-200","-84.90662","-62.68199","-70.383995","-81.5101","-200","-200","-200","-200","-200","-200","-69.2492","-1.1288661","2.2026656","9.692925","0.029606601","0.053409986","-0.048176907","7.9000015","-46.1","-30.1"
"2022-06-30T06:40:08.790","-200","-72.71808","-200","-200","-200","-92.99695","-200","-200","-89.26685","-85.25488","-61.85824","-200","-82.11037","-67.55484","-93.25081","-200","-200","-200","-200","-69.15072","-1.2808979","2.4277205","9.436746","-0.02414954","0.025310183","0.005579233","7.9000015","-46.9","-30.5"
"2022-06-30T06:40:09.898","-200","-72.65698","-200","-79.28677","-200","-200","-200","-200","-200","-200","-200","-200","-82.4413","-67.64863","-200","-200","-200","-200","-200","-70.09518","-1.459266","2.3654714","9.421184","-0.016819157","0.0014864391","0.015353077","8.300003","-46.4","-30.3"
"2022-06-30T06:40:11.011","-200","-72.60519","-88.000946","-79.00713","-200","-200","-200","-200","-200","-200","-200","-70.94689","-200","-68.34543","-200","-200","-200","-200","-200","-200","-0.9660604","1.9381063","9.788693","-0.006434448","-0.035165474","-0.03290528","6.5","-44.7","-30.6"
"2022-06-30T06:40:12.128","-200","-200","-88.20369","-200","-200","-200","-200","-200","-200","-200","-61.317574","-71.10875","-200","-200","-200","-200","-200","-200","-200","-200","-0.7745243","2.1775265","9.3661175","0.0454891","-0.009509135","0.073385276","6.0999985","-45.4","-29.7"
"2022-06-30T06:40:13.262","-200","-72.4137","-200","-200","-200","-92.884926","-200","-200","-200","-85.23479","-60.26519","-71.247765","-200","-200","-200","-200","-200","-200","-200","-69.67519","-1.1468226","2.0350714","9.607931","0.028384872","0.0033190348","0.01901827","6.5","-44.5","-30.2"
"2022-06-30T06:40:14.387","-200","-72.10957","-200","-79.0854","-200","-92.693756","-200","-200","-89.07399","-200","-59.833496","-200","-82.56418","-68.61669","-92.7993","-200","-200","-200","-200","-70.47507","-0.8882488","1.115698","9.824607","-0.066299245","0.017368935","-0.009692397","6.800003","-43.6","-30.8"
"2022-06-30T06:40:15.497","-200","-72.686554","-88.647316","-78.93212","-200","-200","-89.6018","-200","-88.83166","-200","-200","-71.02398","-82.1552","-69.08209","-200","-200","-200","-200","-200","-200","-1.1372458","1.5298948","9.813833","0.019221893","0.011871148","0.044674613","6.699997","-41.6","-30.9"
"2022-06-30T06:40:16.612","-83.1983","-200","-88.84748","-79.14351","-200","-200","-90.00333","-200","-200","-200","-200","-71.217125","-200","-69.28992","-200","-200","-200","-200","-200","-200","-1.067814","1.7441759","9.743204","0.0454891","0.0039299","0.0031357724","5.9000015","-41.5","-30.5"
"2022-06-30T06:40:17.730","-83.52175","-200","-200","-200","-200","-200","-200","-92.25678","-200","-85.070526","-59.454906","-71.32657","-82.0067","-200","-200","-200","-200","-200","-200","-70.323135","-1.1252748","1.6005238","9.751583","0.015556701","-0.02539163","0.004357503","6.5999985","-42.2","-30.6"
"2022-06-30T06:40:18.844","-200","-73.25826","-200","-200","-200","-92.814575","-200","-200","-200","-200","-59.181442","-200","-82.26586","-69.73259","-200","-200","-200","-200","-200","-70.36258","-1.0809821","1.6376339","9.688137","-0.017430022","0.005762496","-0.010914128","6.4000015","-42.1","-30.4"
"2022-06-30T06:40:19.965","-200","-73.418045","-89.01717","-79.91299","-200","-93.00051","-200","-200","-200","-84.858955","-58.937756","-200","-82.43369","-69.8921","-93.000336","-200","-200","-200","-200","-70.397964","-1.1899183","1.6077064","9.7479925","-0.0015475266","0.0027081696","-0.017633647","6.5","-42.3","-30.3"
"2022-06-30T06:40:21.076","-84.42663","-200","-89.16292","-80.654945","-200","-93.07931","-90.57798","-200","-200","-200","-200","-71.30753","-200","-69.94417","-200","-200","-200","-200","-200","-200","-1.1216835","1.6567876","9.581595","0.05037602","-0.031500284","-0.00175115","7.0","-42.2","-30.6"
"2022-06-30T06:40:22.194","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-58.663635","-71.40149","-200","-200","-200","-200","-200","-200","-200","-70.4299","-0.9995792","1.9788077","9.654618","0.06686938","-0.09136508","-0.092159204","6.4000015","-42.2","-30.4"
"2022-06-30T06:40:23.318","-200","-73.72793","-200","-200","-200","-200","-200","-200","-200","-200","-58.416256","-71.433235","-82.64153","-200","-200","-200","-200","-200","-200","-70.76381","-1.0929531","1.7369933","9.740809","-0.012543101","0.039360087","-0.042068258","5.9000015","-42.3","-30.2"
"2022-06-30T06:40:24.432","-200","-74.16671","-200","-80.73333","-200","-200","-200","-200","-200","-200","-58.19181","-200","-82.77246","-70.12808","-200","-200","-200","-200","-200","-71.26351","-1.1959038","1.7501614","9.6845455","0.013724105","0.0033190348","0.025737787","7.0","-42.3","-30.7"
"2022-06-30T06:40:25.571","-200","-74.56482","-88.944984","-80.80365","-200","-93.14698","-90.88338","-200","-200","-200","-200","-200","-82.89062","-70.12247","-200","-200","-200","-200","-200","-71.67412","-1.2234371","1.7812861","9.716867","0.005171992","-0.013785192","0.005579233","7.0999985","-42.6","-30.5"
"2022-06-30T06:40:26.683","-84.46877","-200","-89.14326","-80.86711","-200","-200","-200","-200","-200","-200","-200","-71.41122","-200","-200","-200","-200","-200","-200","-200","-200","-1.3563153","1.9728222","9.606734","0.01189151","-0.010730865","-0.03473787","7.800003","-43.0","-30.7"
"2022-06-30T06:40:27.792","-84.57428","-74.53725","-200","-200","-200","-200","-200","-200","-200","-200","-58.084812","-71.24469","-82.79453","-200","-200","-200","-200","-200","-200","-71.64355","-0.50397944","1.9261353","9.4295635","0.09252572","-0.06998479","-0.4666196","8.5","-44.4","-30.5"
"2022-06-30T06:40:28.916","-84.79661","-74.183","-200","-200","-200","-92.99905","-200","-200","-89.21155","-84.478714","-57.75183","-200","-82.51166","-70.71162","-200","-200","-200","-200","-200","-71.439995","-2.2050598","2.31639","9.431957","-0.09195558","-0.19399044","-0.57779706","24.911995","-54.465","-27.328"
"2022-06-30T06:40:30.046","-200","-73.857285","-89.07308","-80.77222","-200","-93.258705","-200","-200","-89.54149","-200","-200","-200","-82.158615","-70.847046","-200","-200","-200","-200","-200","-71.76095","-1.2042835","2.4887726","9.321824","0.06686938","-0.016839517","0.1204219","31.700005","-55.8","-25.6"
"2022-06-30T06:40:31.154","-85.36156","-200","-89.010544","-80.588066","-200","-200","-200","-92.22793","-200","-200","-200","-70.85719","-200","-70.6931","-200","-200","-200","-200","-200","-200","-1.7022774","2.908955","9.260772","0.043045636","-0.064487","-0.10315478","31.099998","-57.3","-25.0"
"2022-06-30T06:40:32.269","-200","-200","-200","-200","-200","-200","-91.121216","-92.30623","-200","-200","-57.445667","-70.50091","-81.78866","-200","-200","-200","-200","-200","-200","-71.93553","-1.6244658","2.8898015","9.435549","-0.011932235","-0.011341731","0.054448456","32.000008","-57.6","-24.4"
"2022-06-30T06:40:33.388","-85.51532","-73.55669","-200","-200","-200","-200","-200","-200","-89.70104","-84.87902","-57.163116","-70.215935","-81.84176","-200","-93.00029","-200","-200","-200","-200","-71.61798","-1.4939818","3.1160536","8.768764","0.043656502","-0.013785192","-0.023131432","31.900002","-57.2","-24.6"
"2022-06-30T06:40:34.504","-200","-73.40569","-200","-80.419426","-200","-200","-200","-200","-200","-84.94435","-56.986378","-200","-81.721115","-70.86081","-92.62198","-200","-200","-200","-200","-71.32134","-1.4820108","2.9592333","9.32781","-0.040032037","-0.00889827","-0.048176907","32.200005","-57.8","-24.6"
