,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,heading,direction
0,A04,-67.0,-200.0,-67.0,-71.0,-70.5552,-63.0,-66.0,-70.20942,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,356.2703857421875,N
1,A04,-66.499504,-200.0,-68.66642,-65.388756,-65.0,-64.001,-65.499504,-67.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,353.9029846191406,N
2,A04,-67.00133,-200.0,-68.66642,-65.388756,-64.499504,-64.669556,-65.66689,-67.500496,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,359.7959899902344,N
3,A04,-67.9237255,-200.0,-70.003,-200.0,-63.663563,-64.4652275,-65.750755,-69.33976,-70.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,352.749755859375,N
4,A04,-67.756226,-200.0,-200.0,-70.66556,-63.24477,-64.4652275,-66.75394,-70.20942,-71.602825,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,343.0207824707031,N
5,A04,-67.80556,-200.0,-200.0,-70.749756,-70.5552,-65.75973,-66.20598,-68.75074,-71.602825,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,344.6606750488281,N
6,A04,-67.499146,-200.0,-68.66642,-200.0,-63.60001,-65.80836,-65.66191,-68.801186,-69.24477,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,329.9691162109375,N
7,A04,-67.57254,-200.0,-200.0,-65.388756,-63.837597,-66.01059,-65.27183,-68.49552,-68.992836,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,323.0658569335937,N
8,A04,-67.9237255,-200.0,-200.0,-70.83428,-63.71485,-64.4652275,-65.23667,-67.83674,-68.99405,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,319.0980224609375,N
9,A04,-68.27448,-200.0,-200.0,-71.005104,-63.6224,-65.42287,-66.75394,-70.20942,-71.602825,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,310.4433898925781,W
10,A04,-68.24262,-200.0,-200.0,-71.00445,-70.5552,-64.98019,-65.2092,-68.50451,-71.602825,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,310.507568359375,W
11,A04,-68.005775,-200.0,-68.66642,-200.0,-64.36275,-64.8664,-65.1871,-69.026375,-68.99492,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,314.0423889160156,W
12,A04,-67.8109,-200.0,-200.0,-65.388756,-64.43005,-64.88051,-65.16893,-69.55167,-69.12491,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,311.91046142578125,W
13,A04,-67.9237255,-200.0,-200.0,-70.68667,-64.58259,-64.4652275,-65.15369,-69.78954,-68.99432,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,310.76580810546875,W
14,A04,-67.73775,-200.0,-200.0,-70.42564,-65.07131,-64.6978,-66.75394,-70.20942,-68.46685,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,311.8084411621094,W
15,A04,-67.75989,-200.0,-200.0,-70.83831,-70.5552,-64.54463,-65.22514,-69.89874,-71.602825,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,308.50439453125,W
16,A04,-67.61988,-200.0,-68.66642,-200.0,-65.31857,-64.49865,-65.36634,-69.991714,-68.81013,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,308.4447021484375,W
17,A04,-67.497734,-200.0,-68.66642,-65.388756,-65.53189,-64.4652275,-65.41412,-200.0,-68.91747,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,306.23895263671875,W
18,A04,-67.9237255,-200.0,-200.0,-70.70094,-65.7934,-64.4652275,-65.38438,-70.141914,-68.5023,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,305.07647705078125,W
19,A04,-67.6775,-200.0,-200.0,-70.572685,-70.5552,-64.45898,-66.75394,-70.20942,-67.905464,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,307.2466125488281,W
20,A04,-67.630905,-200.0,-200.0,-70.4597,-70.5552,-64.65058,-65.35794,-69.844345,-71.602825,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,307.98468017578125,W
21,A04,-67.52312,-200.0,-68.66642,-200.0,-65.736404,-64.67568,-65.33428,-69.57999,-67.83719,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,313.83514404296875,W
22,A04,-67.42602,-200.0,-68.66642,-65.388756,-65.823296,-64.62922,-65.376724,-200.0,-67.848885,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,314.4136962890625,W
23,A04,-67.9237255,-200.0,-200.0,-70.67349,-65.6367,-64.4652275,-65.47687,-69.70211,-68.065575,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,310.9407653808594,W
24,A04,-67.708206,-200.0,-200.0,-71.20429,-70.5552,-64.521545,-66.75394,-70.20942,-67.862976,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,302.8387451171875,W
25,A04,-67.546036,-200.0,-200.0,-71.50015,-70.5552,-64.424545,-65.44831,-69.78218,-71.602825,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,306.060546875,W
26,A04,-67.51421,-200.0,-68.66642,-200.0,-65.40486,-64.39835,-65.42219,-69.97486,-68.06296,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,300.837158203125,W
27,A04,-68.05346,-200.0,-200.0,-65.388756,-65.2565,-64.3745,-65.34134,-70.20942,-67.935684,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,305.32232666015625,W
28,A04,-67.9237255,-200.0,-200.0,-65.388756,-65.001625,-64.4652275,-65.26679,-70.424904,-68.11917,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,309.5835266113281,W
