,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,heading,direction
0,S03,-200.0,-78.0,-200.0,-81.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-56.35879,-67.0,-84.0,-69.99091,-200.0,-200,-200,-200,-200,-73.0,-200,-200.0,188.4237060546875,S
1,S03,-200.0,-74.997,-200.0,-81.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-56.35879,-68.501495,-80.997,-69.99091,-200.0,-200,-200,-200,-200,-71.498505,-200,-200.0,190.53619384765625,S
2,S03,-200.0,-73.994675,-200.0,-81.01310000000001,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-54.0,-68.33377,-79.994675,-69.0,-200.0,-200,-200,-200,-200,-70.997345,-200,-200.0,188.41204833984372,S
3,S03,-200.0,-73.240776,-200.0,-81.33444,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-53.4995,-67.504878,-80.24776,-71.002,-200.0,-200,-200,-200,-200,-70.49452,-200,-200.0,188.41204833984372,S
4,S03,-200.0,-70.925476,-200.0,-80.998505,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-52.998,-68.501495,-78.23532,-71.00133,-200.0,-200,-200,-200,-200,-68.83452,-200,-200.0,188.41204833984372,S
5,S03,-200.0,-73.19205,-200.0,-80.79642,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-52.746758,-68.4,-79.18567,-72.76321,-200.0,-200,-200,-200,-200,-69.78726,-200,-200.0,179.33233642578125,S
6,S03,-200.0,-72.820045,-200.0,-80.49156,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-56.35879,-68.162415,-78.98446,-69.99091,-200.0,-200,-200,-200,-200,-68.974846,-200,-200.0,184.3104248046875,S
7,S03,-200.0,-72.26025,-200.0,-81.01310000000001,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-51.786064,-67.552444,-79.133286,-74.63264,-200.0,-200,-200,-200,-200,-68.24582,-200,-200.0,200.19444274902344,S
8,S03,-200.0,-71.8386,-200.0,-80.27299,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-51.48296,-67.504878,-79.37471,-74.525276,-200.0,-200,-200,-200,-200,-68.83452,-200,-200.0,173.59678649902344,S
9,S03,-200.0,-70.925476,-200.0,-80.62568,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-51.558727,-68.90365,-78.23532,-74.30176,-200.0,-200,-200,-200,-200,-68.83452,-200,-200.0,186.84410095214844,S
10,S03,-200.0,-71.62517,-200.0,-81.13348,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-51.74513,-68.566574,-79.679474,-74.1334,-200.0,-200,-200,-200,-200,-67.95536,-200,-200.0,200.80865478515625,S
11,S03,-200.0,-71.347916,-200.0,-81.43622,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-56.35879,-68.2955,-79.81894,-69.99091,-200.0,-200,-200,-200,-200,-67.96054,-200,-200.0,213.02999877929688,S
12,S03,-200.0,-70.925476,-200.0,-81.01310000000001,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-51.65863,-68.558266,-80.128006,-74.58226,-200.0,-200,-200,-200,-200,-68.175934,-200,-200.0,213.02598571777344,S
13,S03,-200.0,-70.75177,-200.0,-81.29668,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-51.272224,-67.504878,-80.20667,-74.41515,-200.0,-200,-200,-200,-200,-68.54748,-200,-200.0,208.1324615478516,S
14,S03,-200.0,-70.925476,-200.0,-81.36013,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-50.9543,-68.77854,-78.23532,-74.27766,-200.0,-200,-200,-200,-200,-68.83452,-200,-200.0,221.9056396484375,S
15,S03,-200.0,-71.19488,-200.0,-81.75187,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-50.868206,-68.62838,-80.358086,-74.703674,-200.0,-200,-200,-200,-200,-69.03937,-200,-200.0,218.55938720703125,S
16,S03,-200.0,-71.25893,-200.0,-81.93072,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-56.35879,-68.49884,-80.01138,-69.99091,-200.0,-200,-200,-200,-200,-69.37376,-200,-200.0,217.2413024902344,S
17,S03,-200.0,-71.39021,-200.0,-81.01310000000001,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-51.04819,-68.83824,-79.63351,-74.98198,-200.0,-200,-200,-200,-200,-69.66224,-200,-200.0,212.64584350585935,S
18,S03,-200.0,-71.36218,-200.0,-81.86054,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-51.36257,-67.504878,-79.30062,-75.062965,-200.0,-200,-200,-200,-200,-70.969574,-200,-200.0,221.37530517578125,S
19,S03,-200.0,-70.925476,-200.0,-81.79871,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-51.938465,-69.13724,-78.23532,-75.20902,-200.0,-200,-200,-200,-200,-68.83452,-200,-200.0,217.74681091308597,S
20,S03,-200.0,-71.54358,-200.0,-81.675026,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-52.44579,-69.47163,-80.10513,-75.19401,-200.0,-200,-200,-200,-200,-70.82807,-200,-200.0,215.6638336181641,S
21,S03,-200.0,-71.30939,-200.0,-81.6965,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-56.35879,-69.37437,-79.83383,-69.99091,-200.0,-200,-200,-200,-200,-70.6336,-200,-200.0,214.50804138183597,S
22,S03,-200.0,-71.03467,-200.0,-81.01310000000001,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-52.896492,-69.28676,-79.58943,-75.455734,-200.0,-200,-200,-200,-200,-70.393456,-200,-200.0,215.51905822753903,S
23,S03,-200.0,-70.72407,-200.0,-81.6521,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-53.233776,-67.504878,-79.42969,-75.55779,-200.0,-200,-200,-200,-200,-70.177124,-200,-200.0,214.4799041748047,S
24,S03,-200.0,-70.925476,-200.0,-81.55018,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-53.537617,-69.45415,-78.23532,-75.649734,-200.0,-200,-200,-200,-200,-68.83452,-200,-200.0,214.4497985839844,S
25,S03,-200.0,-70.740585,-200.0,-81.39748,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-53.812912,-69.48683,-79.22433,-75.73303,-200.0,-200,-200,-200,-200,-70.22789,-200,-200.0,217.5570373535156,S
26,S03,-200.0,-70.81397,-200.0,-81.37431,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-56.35879,-69.51673,-79.09471,-69.99091,-200.0,-200,-200,-200,-200,-70.21424,-200,-200.0,223.03163146972656,S
