,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,heading,direction
0,U01,-200.0,-200,-200,-200.0,-200.0,-81.0,-82.200066,-200.0,-200.0,-200,-200,-200,-200,-200,-75.0,-78.0,-70.53685,-59.126089,-79.70224,-200,-200.0,-200.0,161.79664611816406,S
1,U01,-200.0,-200,-200,-200.0,-200.0,-81.500496,-82.200066,-200.0,-200.0,-200,-200,-200,-200,-200,-81.830025,-80.002,-76.0,-57.0,-84.0,-200,-200.0,-200.0,159.99169921875,S
2,U01,-200.0,-200,-200,-200.0,-200.0,-82.00199,-79.0,-200.0,-200.0,-200,-200,-200,-200,-200,-81.830025,-79.666885,-75.499504,-55.999,-84.0,-200,-200.0,-200.0,171.1625518798828,S
3,U01,-200.0,-200,-200,-200.0,-200.0,-85.93253,-77.999,-200.0,-200.0,-200,-200,-200,-200,-200,-76.501495,-77.89954,-74.329124,-56.333775,-84.33444,-200,-200.0,-200.0,168.2725372314453,S
4,U01,-200.0,-200,-200,-200.0,-200.0,-85.93253,-77.66489,-200.0,-200.0,-200,-200,-200,-200,-200,-75.99933,-80.00249,-70.53685,-56.24975,-84.50199,-200,-200.0,-200.0,185.8265686035156,S
5,U01,-200.0,-200,-200,-200.0,-200.0,-84.77068,-78.504486,-200.0,-200.0,-200,-200,-200,-200,-200,-75.24426,-80.20437,-70.53685,-59.126089,-79.70224,-200,-200.0,-200.0,185.8743896484375,S
6,U01,-200.0,-200,-200,-200.0,-200.0,-85.42426,-82.200066,-200.0,-200.0,-200,-200,-200,-200,-200,-81.830025,-79.83028,-73.491035,-56.80637,-79.70224,-200,-200.0,-200.0,184.6041259765625,S
7,U01,-200.0,-200,-200,-200.0,-200.0,-85.861374,-79.00955,-200.0,-200.0,-200,-200,-200,-200,-200,-77.623505,-77.89954,-72.98688,-56.83923,-85.20995,-200,-200.0,-200.0,185.6444396972656,S
8,U01,-200.0,-200,-200,-200.0,-200.0,-85.93253,-79.34734,-200.0,-200.0,-200,-200,-200,-200,-200,-78.87533,-77.89954,-73.158806,-56.86279,-85.344025,-200,-200.0,-200.0,185.6444396972656,S
9,U01,-200.0,-200,-200,-200.0,-200.0,-200.0,-79.58953,-200.0,-85.55048,-200,-200,-200,-200,-200,-79.77285,-79.12244,-70.53685,-56.751205,-85.440155,-200,-200.0,-200.0,186.6630706787109,S
10,U01,-200.0,-200,-200,-200.0,-200.0,-200.0,-79.77194,-200.0,-85.22063,-200,-200,-200,-200,-200,-80.31956,-78.58928,-70.53685,-59.126089,-79.70224,-200,-200.0,-200.0,158.68394470214844,S
11,U01,-200.0,-200,-200,-200.0,-200.0,-200.0,-82.200066,-200.0,-85.078926,-200,-200,-200,-200,-200,-81.830025,-78.520874,-73.7217,-57.708775,-84.60725,-200,-200.0,-200.0,158.7721405029297,S
12,U01,-200.0,-200,-200,-200.0,-200.0,-85.446594,-80.494934,-200.0,-200.0,-200,-200,-200,-200,-200,-79.818115,-78.7827,-73.628365,-57.5283,-84.30458,-200,-200.0,-200.0,166.64242553710938,S
13,U01,-200.0,-200,-200,-200.0,-200.0,-85.93253,-80.75951,-200.0,-200.0,-200,-200,-200,-200,-200,-80.04855,-77.89954,-73.43933,-56.991177,-84.166794,-200,-200.0,-200.0,172.5466766357422,S
14,U01,-200.0,-200,-200,-200.0,-200.0,-200.0,-80.782875,-200.0,-85.49305,-200,-200,-200,-200,-200,-79.94668,-78.6095,-70.53685,-56.45069,-84.05343,-200,-200.0,-200.0,173.62954711914062,S
15,U01,-200.0,-200,-200,-200.0,-200.0,-85.293816,-80.80247,-200.0,-200.0,-200,-200,-200,-200,-200,-79.771065,-78.55451,-70.53685,-59.126089,-79.70224,-200,-200.0,-200.0,178.2509002685547,S
16,U01,-200.0,-200,-200,-200.0,-200.0,-84.87663,-82.200066,-200.0,-200.0,-200,-200,-200,-200,-200,-81.830025,-78.67655,-73.1817,-56.497066,-84.49967,-200,-200.0,-200.0,146.53897094726562,S
17,U01,-200.0,-200,-200,-200.0,-200.0,-84.34648,-80.90358,-200.0,-200.0,-200,-200,-200,-200,-200,-81.830025,-77.89954,-73.06689,-56.53708,-84.795204,-200,-200.0,-200.0,141.94090270996094,S
18,U01,-200.0,-200,-200,-200.0,-200.0,-85.93253,-80.752144,-200.0,-200.0,-200,-200,-200,-200,-200,-79.5371,-77.89954,-73.24129,-56.421177,-84.73194,-200,-200.0,-200.0,139.521484375,S
19,U01,-200.0,-200,-200,-200.0,-200.0,-83.89509,-80.620026,-200.0,-200.0,-200,-200,-200,-200,-200,-79.49438,-78.38407,-73.474205,-56.534607,-84.90296,-200,-200.0,-200.0,146.70944213867188,S
20,U01,-200.0,-200,-200,-200.0,-200.0,-83.74433,-80.50364,-200.0,-200.0,-200,-200,-200,-200,-200,-79.68331,-78.35511,-70.53685,-59.126089,-79.70224,-200,-200.0,-200.0,178.01705932617188,S
21,U01,-200.0,-200,-200,-200.0,-200.0,-83.6128,-82.200066,-200.0,-200.0,-200,-200,-200,-200,-200,-81.830025,-78.616974,-72.95916,-56.360313,-85.12546,-200,-200.0,-200.0,181.3956451416016,S
22,U01,-200.0,-200,-200,-200.0,-200.0,-83.42509,-80.469,-200.0,-200.0,-200,-200,-200,-200,-200,-81.830025,-79.12467,-72.66062,-56.204323,-85.048065,-200,-200.0,-200.0,170.9809112548828,S
23,U01,-200.0,-200,-200,-200.0,-200.0,-200.0,-80.30583,-200.0,-85.841324,-200,-200,-200,-200,-200,-79.275,-77.89954,-72.685005,-56.00005,-84.91271,-200,-200.0,-200.0,193.900146484375,S
24,U01,-200.0,-200,-200,-200.0,-200.0,-200.0,-80.22259,-200.0,-85.71471,-200,-200,-200,-200,-200,-78.91226,-78.91817,-70.53685,-55.87666,-85.49201,-200,-200.0,-200.0,219.58401489257807,S
25,U01,-200.0,-200,-200,-200.0,-200.0,-83.60215,-80.208855,-200.0,-200.0,-200,-200,-200,-200,-200,-78.78588,-78.73213,-70.53685,-59.126089,-79.70224,-200,-200.0,-200.0,225.0126495361328,W
26,U01,-200.0,-200,-200,-200.0,-200.0,-83.430176,-82.200066,-200.0,-200.0,-200,-200,-200,-200,-200,-81.830025,-78.81035,-72.36284,-55.58465,-84.96812,-200,-200.0,-200.0,173.8916473388672,S
27,U01,-200.0,-200,-200,-200.0,-200.0,-83.339005,-80.49574,-200.0,-200.0,-200,-200,-200,-200,-200,-78.79953,-77.89954,-72.140594,-55.492306,-84.61075,-200,-200.0,-200.0,166.8970489501953,S
28,U01,-200.0,-200,-200,-200.0,-200.0,-200.0,-80.758224,-200.0,-85.09657,-200,-200,-200,-200,-200,-78.62682,-77.89954,-71.94039,-55.40747,-84.45861,-200,-200.0,-200.0,187.54959106445312,S
29,U01,-200.0,-200,-200,-200.0,-200.0,-83.37978,-80.601425,-200.0,-200.0,-200,-200,-200,-200,-200,-78.58929,-79.1211,-70.53685,-55.273674,-84.65993,-200,-200.0,-200.0,186.8422088623047,S
30,U01,-200.0,-200,-200,-200.0,-200.0,-83.71632,-80.45685,-200.0,-200.0,-200,-200,-200,-200,-200,-78.67149,-79.23059,-70.53685,-59.126089,-79.70224,-200,-200.0,-200.0,204.24020385742188,S
31,U01,-200.0,-200,-200,-200.0,-200.0,-83.79112,-82.200066,-200.0,-200.0,-200,-200,-200,-200,-200,-81.830025,-79.21748,-71.6973,-55.4221,-84.62325,-200,-200.0,-200.0,236.43701171875,W
32,U01,-200.0,-200,-200,-200.0,-200.0,-83.6893,-80.2142,-200.0,-200.0,-200,-200,-200,-200,-200,-78.74702,-79.038666,-71.356155,-55.72011,-84.53488,-200,-200.0,-200.0,328.66864013671875,N
