,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,A01,-77.0,-78.0,-75.5762,-65.0,-79.0,-80.93796,-74.41076,-74.39400499999999,-78.0,-68.87477,-75.340637,-74.636183,-70.0,-63.585177,-86.26644,-88.76973,-200,-200,-84.829895,-75.0,-200,-87.0
1,A01,-77.0,-78.0,-75.5762,-63.999,-79.0,-80.93796,-74.41076,-80.0,-81.503494,-68.87477,-74.0,-74.636183,-68.999,-63.585177,-89.499504,-88.76973,-200,-200,-84.829895,-72.998,-200,-87.0
2,A01,-77.191345,-74.65557,-77.0,-66.66937,-78.40416,-79.0,-71.0,-79.499504,-81.66955,-70.0,-75.001,-79.0,-69.67775,-57.0,-86.26644,-88.76973,-200,-200,-79.0,-70.533645,-200,-89.628938
3,A01,-77.191345,-72.980064,-73.997,-65.67155,-78.66556,-79.500496,-68.497505,-82.00799,-82.256226,-70.0,-76.33844,-76.497505,-69.67775,-55.999,-88.329124,-88.76973,-200,-200,-79.0,-74.67088,-200,-89.3411
4,A01,-77.191345,-71.97215,-72.66023,-66.25772,-76.98754,-82.677536,-67.99667,-74.39400499999999,-82.20437,-68.87477,-75.340637,-75.99667,-68.66489,-55.330452,-87.742775,-88.76973,-200,-200,-78.66556,-75.25723,-200,-89.628938
5,A01,-76.331116,-63.141058,-75.5762,-67.82468,-75.97811,-80.93796,-74.41076,-80.24376,-82.8485,-68.32779,-75.24626,-74.636183,-68.497505,-63.585177,-87.592445,-88.76973,-200,-200,-84.829895,-73.99083,-200,-89.628938
6,A01,-75.74427,-63.141058,-72.24228,-66.66937,-78.40416,-82.506966,-68.75275,-78.98009,-80.22612,-66.98654,-74.79164,-76.24926,-67.58726,-55.75075,-86.26644,-88.76973,-200,-200,-79.25324,-73.14387,-200,-89.628938
7,A01,-75.39124,-69.94043,-73.0028,-66.66937,-78.40416,-81.5948,-69.20757,-78.13494,-83.01724,-66.17971,-74.487595,-76.4012,-66.808784,-56.408363,-88.001015,-88.76973,-200,-200,-79.606766,-70.533645,-200,-89.628938
8,A01,-77.191345,-68.63028,-73.17203,-67.85442,-78.01828,-80.47564,-74.41076,-74.39400499999999,-82.49769,-65.80981,-75.340637,-76.16341,-69.67775,-56.67847,-87.56124,-89.99126,-200,-200,-79.8432,-72.97624,-200,-89.628938
9,A01,-75.66425,-68.160774,-73.73299,-67.58267,-78.60177,-80.93796,-74.41076,-74.39400499999999,-82.32383,-68.87477,-75.340637,-75.69984,-66.83681,-58.191013,-87.10066,-89.653336,-200,-200,-84.829895,-72.84998,-200,-89.628938
10,A01,-76.15308,-63.141058,-75.5762,-66.86066,-79.04127,-80.93796,-74.41076,-77.82208,-82.50086,-68.87477,-73.97652,-74.636183,-66.85792,-63.585177,-86.97289,-88.76973,-200,-200,-84.829895,-72.40305,-200,-89.628938
11,A01,-76.77994,-63.141058,-74.15552,-66.64466,-79.50082,-81.13865,-69.51176,-77.71576,-80.22612,-65.98422,-73.85023,-75.99732,-66.99049,-58.554302,-86.26644,-89.85068,-200,-200,-80.891975,-72.04364,-200,-89.628938
12,A01,-77.15374,-67.097336,-74.48572,-66.66937,-78.40416,-81.50871,-70.022934,-78.097015,-81.86925,-66.24493,-73.751526,-75.881546,-67.30834,-58.83821,-86.26644,-89.99932,-200,-200,-81.293945,-70.533645,-200,-89.628938
13,A01,-77.191345,-66.347755,-74.43442,-66.68219,-79.553535,-81.79792,-70.40796,-78.19239,-81.42998,-66.44866,-73.989,-75.471596,-69.67775,-59.27776,-86.447685,-89.9994,-200,-200,-81.95634,-71.553604,-200,-89.628938
14,A01,-77.77119,-65.63385,-74.586525,-66.61591,-79.305435,-82.45295,-70.708855,-74.39400499999999,-81.4781,-68.87477,-75.340637,-75.717255,-67.37554,-59.83373,-86.30703,-88.76973,-200,-200,-82.80587,-71.233025,-200,-89.628938
15,A01,-78.18205,-64.85496,-75.5762,-66.28971,-78.91702,-80.93796,-74.41076,-78.56233,-81.28097,-68.87477,-73.99007,-74.636183,-67.25145,-63.585177,-86.279335,-88.76973,-200,-200,-84.829895,-71.12892,-200,-89.628938
