,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,E01,-82.86919,-60.0,-81.0,-68.0,-80.0,-87.0,-71.0,-80.36018,-84.0,-73.0,-69.75091,-70.0,-68.86401000000001,-70.0,-89.00498,-89.0,-200,-200,-86.0,-56.0,-200,-200
1,E01,-82.0,-58.4985,-80.948275,-69.501495,-80.500496,-89.502495,-70.499504,-80.36018,-89.5055,-71.999,-69.75091,-70.0,-70.0,-77.50749,-89.00498,-89.0,-200,-200,-86.0,-57.5015,-200,-200
2,E01,-80.498505,-57.997337,-80.948275,-69.66821,-82.00532,-83.106995,-74.8108105,-76.0,-87.99867,-73.6559025,-72.0,-73.83217,-69.499504,-70.11182,-89.00498,-89.767426,-200,-200,-86.73474,-59.00599,-200,-200
3,E01,-80.66623,-59.380722,-79.498505,-68.996506,-82.00398,-83.106995,-74.34576,-77.501495,-85.1289,-71.66489,-71.499504,-71.33777,-68.329124,-75.66556,-89.00498,-89.33444,-200,-200,-87.33777,-60.011463,-200,-200
4,E01,-80.246765,-58.753242,-79.33179,-71.837148,-83.836795,-89.244255,-75.01395,-79.34043,-85.1289,-70.74226,-71.33245,-72.25972,-67.742775,-74.742775,-89.00498,-89.767426,-200,-200,-88.25972,-66.96821,-200,-200
5,E01,-82.86919,-59.005573,-79.50001,-69.604385,-83.836795,-87.77809,-75.21352,-80.009964,-87.74726,-70.794426,-71.5005,-73.2191,-68.86401000000001,-73.78288,-89.00498,-89.767426,-200,-200,-89.016716,-66.96821,-200,-200
6,E01,-80.399216,-59.344036,-80.20837,-70.01093,-84.431854,-87.30664,-75.17728,-80.36018,-87.59602,-71.338425,-69.75091,-74.03044,-66.985275,-72.97121,-89.00498,-89.767426,-200,-200,-89.522995,-61.425873,-200,-200
7,E01,-81.349686,-59.73325,-80.948275,-70.155876,-85.8859,-83.106995,-74.8108105,-80.210335,-87.83429,-73.6559025,-70.18487,-73.83217,-66.47866,-70.11182,-89.00498,-89.767426,-200,-200,-86.73474,-63.05064,-200,-200
8,E01,-82.1777,-59.380722,-79.49419,-70.911705,-83.836795,-86.67554,-74.85821,-80.344345,-85.1289,-71.58192,-69.47468,-74.75869,-65.82234,-71.803085,-89.00498,-89.767426,-200,-200,-86.73474,-63.922474,-200,-200
9,E01,-82.54271,-59.76775,-78.98214,-71.837148,-83.836795,-86.07085,-74.61788,-81.17314,-85.1289,-71.89465,-68.81895,-75.436554,-65.327995,-70.92323,-89.00498,-89.767426,-200,-200,-86.73474,-66.96821,-200,-200
10,E01,-82.86919,-59.79471,-78.98444,-71.85064,-83.836795,-85.48219,-74.66224,-81.926735,-85.1289,-72.13905,-68.325035,-76.0824,-68.86401000000001,-70.4678,-89.00498,-89.767426,-200,-200,-86.73474,-66.96821,-200,-200
11,E01,-83.06014,-59.81639,-79.56667,-72.28887,-86.63534,-83.106995,-74.697914,-80.36018,-87.858574,-73.6559025,-69.75091,-76.60177,-65.173836,-70.20716,-89.00498,-89.767426,-200,-200,-86.73474,-64.44983,-200,-200
12,E01,-83.370636,-59.93139,-80.948275,-72.16364,-87.58782,-83.106995,-74.8108105,-80.36018,-88.0062,-73.6559025,-68.05513,-73.83217,-65.049866,-70.11182,-89.00498,-89.767426,-200,-200,-86.73474,-64.86195,-200,-200
13,E01,-83.6261,-59.380722,-79.718056,-72.05867,-88.10001,-85.008804,-74.8108105,-82.16741,-85.1289,-72.54682,-67.83808,-76.83478,-65.04502,-69.992714,-89.00498,-89.767426,-200,-200,-86.73474,-65.193375,-200,-200
14,E01,-83.750046,-59.937576,-79.64829,-71.837148,-83.836795,-84.619316,-75.018745,-82.78342,-85.1289,-72.78517,-67.56233,-77.12032,-65.04096,-69.5423,-89.00498,-89.767426,-200,-200,-86.73474,-66.96821,-200,-200
15,E01,-82.86919,-59.942844,-79.409386,-72.47586,-83.836795,-84.563446,-75.19748,-83.29025,-88.353745,-72.89477,-67.33117,-76.94131,-68.86401000000001,-69.243225,-89.00498,-89.767426,-200,-200,-86.73474,-66.96821,-200,-200
16,E01,-82.86919,-59.86784,-79.12154,-73.074425,-88.61752,-84.51588,-75.09638,-80.36018,-88.95007,-73.156944,-69.75091,-76.94598,-65.79736,-69.46253,-89.00498,-89.767426,-200,-200,-86.73474,-65.95186,-200,-200
17,E01,-84.19329,-59.8024,-80.948275,-73.59664,-88.75184,-83.106995,-74.8108105,-84.076,-89.052086,-73.6559025,-67.13435,-73.83217,-65.813484,-70.11182,-89.00498,-89.767426,-200,-200,-86.73474,-66.49748,-200,-200
18,E01,-84.17792,-59.380722,-78.87321,-74.27221,-88.95465,-84.63395,-75.32737,-84.49172,-85.1289,-73.78088,-66.964554,-76.64844,-65.827545,-69.50306,-89.00498,-89.767426,-200,-200,-86.73474,-66.371056,-200,-200
