,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,H01,-87.47662500000001,-76.65817,-89.0,-83.0,-88.8819625,-89.80188,-88.82065,-200,-88.89381,-83.287845,-67.0,-61.912594,-76.02029,-77.0,-89.54583,-200,-200,-200,-200,-78.25236,-200,-200
1,H01,-89.497505,-76.65817,-89.0,-82.499504,-88.8819625,-89.80188,-87.0,-200,-88.89381,-83.287845,-67.0,-60.0,-70.0,-76.499504,-89.54583,-200,-200,-200,-200,-78.25236,-200,-200
2,H01,-87.47662500000001,-81.0,-89.0,-82.962746,-88.8819625,-89.80188,-89.002,-200,-88.89381,-85.0,-65.66223,-60.5005,-71.501495,-77.00133,-89.54583,-200,-200,-200,-200,-75.0,-200,-200
3,H01,-89.331116,-81.500496,-88.295944,-83.67022,-88.8819625,-89.80188,-89.67021,-200,-88.89381,-86.501495,-64.99203,-61.33644,-74.34376,-79.62525,-89.54583,-200,-200,-200,-200,-75.500496,-200,-200
4,H01,-88.99602,-81.33311,-89.75523,-82.494514,-88.8819625,-89.80188,-89.24974,-200,-88.89381,-87.002655,-64.51404,-62.258724,-75.2642,-77.756226,-89.54583,-200,-200,-200,-200,-76.00199,-200,-200
5,H01,-88.79443,-81.75274,-88.295944,-81.787254,-88.8819625,-89.80188,-88.82065,-200,-88.89381,-88.008965,-63.576912,-61.912594,-76.02029,-77.80556,-89.54583,-200,-200,-200,-200,-76.253235,-200,-200
6,H01,-87.47168,-76.65817,-88.295944,-82.502174,-88.8819625,-89.80188,-88.82065,-200,-88.89381,-83.287845,-63.1396,-64.63504,-76.02029,-77.66885,-89.54583,-200,-200,-200,-200,-78.25236,-200,-200
7,H01,-87.47662500000001,-80.99322,-88.295944,-82.962746,-88.8819625,-89.80188,-88.82065,-200,-88.89381,-86.18564,-62.679512,-65.036385,-76.525955,-77.57084,-89.54583,-200,-200,-200,-200,-76.20198,-200,-200
8,H01,-87.47662500000001,-80.65496,-88.295944,-83.1613,-89.98924,-89.80188,-89.71141,-200,-88.89381,-85.13591,-62.203636,-64.59142,-76.00925,-79.62525,-89.54583,-200,-200,-200,-200,-76.1677,-200,-200
9,H01,-87.25601,-80.558975,-88.295944,-83.3991,-89.312256,-89.80188,-89.36074,-200,-88.89381,-84.383286,-64.51404,-64.77359,-75.620056,-79.62525,-89.54583,-200,-200,-200,-200,-76.289665,-200,-200
