,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,S03,-82.0,-63.0,-89.668397,-76.0,-89.06775,-200,-89.5011825,-89.0,-87.0,-86.0,-59.464897,-66.0,-83.0,-69.48598,-89.0,-200,-200,-200,-200,-63.0,-200,-200
1,S03,-83.001,-63.0,-89.668397,-76.0,-89.06775,-200,-89.5011825,-89.49527,-86.499504,-84.999,-59.464897,-65.499504,-84.001,-65.0,-89.0,-200,-200,-200,-200,-63.5005,-200,-200
2,S03,-83.669556,-62.665558,-89.668397,-76.33444,-89.06775,-200,-89.5011825,-89.49527,-86.33245,-86.67155,-60.0,-68.02071,-78.45529,-65.500496,-89.0,-200,-200,-200,-200,-67.332985,-200,-200
3,S03,-84.00449,-70.325912,-89.668397,-77.00548,-89.06775,-200,-89.5011825,-89.49527,-88.01097,-83.90068,-60.0,-68.02071,-82.662895,-64.99867,-89.0,-200,-200,-200,-200,-67.332985,-200,-200
4,S03,-86.91604,-64.76371,-89.668397,-80.72287,-89.06775,-200,-89.5011825,-89.49527,-88.59013,-85.74725,-61.672215,-64.99801,-82.49602,-64.99901,-89.0,-200,-200,-200,-200,-65.67421,-200,-200
5,S03,-83.59881,-65.4187,-89.668397,-80.72287,-89.06775,-200,-89.5011825,-89.49527,-85.984856,-85.39362,-59.464897,-64.99851,-81.58607,-69.48598,-89.0,-200,-200,-200,-200,-66.51146,-200,-200
6,S03,-83.49719,-65.85676,-89.668397,-78.825874,-89.06775,-200,-89.5011825,-89.49527,-84.79949,-85.32682,-59.464897,-64.99882,-80.80779,-65.80877,-89.0,-200,-200,-200,-200,-67.21751,-200,-200
7,S03,-83.57087,-65.87775,-89.668397,-79.87365,-89.06775,-200,-89.5011825,-89.49527,-85.2685,-83.90068,-60.49601,-68.02071,-78.45529,-66.18063,-89.0,-200,-200,-200,-200,-68.198814,-200,-200
8,S03,-83.49704,-70.325912,-89.668397,-80.33179,-89.06775,-200,-89.5011825,-89.49527,-85.88043,-83.90068,-60.598015,-68.02071,-79.9567,-66.300705,-89.0,-200,-200,-200,-200,-67.332985,-200,-200
9,S03,-86.91604,-66.41089,-89.668397,-80.72287,-89.06775,-200,-89.5011825,-89.49527,-88.59013,-85.572014,-61.514755,-66.01724,-79.703636,-66.779144,-89.0,-200,-200,-200,-200,-67.58351,-200,-200
10,S03,-83.55543,-66.82753,-89.668397,-80.93553,-89.06775,-200,-89.715195,-89.49527,-85.77823,-85.49803,-62.318577,-66.16126,-79.73804,-69.48598,-89.0,-200,-200,-200,-200,-67.50804,-200,-200
11,S03,-83.60238,-67.16258,-89.668397,-81.291275,-89.06775,-200,-89.86434,-89.49527,-85.80165,-84.85979,-59.464897,-66.528404,-78.45529,-67.849556,-89.0,-200,-200,-200,-200,-67.332985,-200,-200
12,S03,-83.835335,-67.3411,-89.66585,-81.36613,-89.06775,-200,-89.5011825,-89.49527,-86.306725,-84.45213,-62.148045,-68.02071,-78.45529,-67.97106,-89.0,-200,-200,-200,-200,-67.332985,-200,-200
13,S03,-83.94041,-70.325912,-89.4504,-81.52487,-89.06775,-200,-89.45621,-89.49527,-86.730125,-83.90068,-61.434345,-68.02071,-80.505005,-67.97388,-89.0,-200,-200,-200,-200,-67.332985,-200,-200
14,S03,-86.91604,-67.7614,-89.28203,-80.72287,-89.06775,-200,-89.21756,-89.49527,-88.59013,-84.60252,-60.543556,-67.04749,-80.55309,-67.976234,-89.0,-200,-200,-200,-200,-67.403435,-200,-200
15,S03,-83.60773,-68.11926,-89.668397,-81.11666,-89.06775,-200,-89.0175,-89.49527,-86.4152,-84.27753,-60.879383,-67.35932,-80.95426,-69.48598,-89.0,-200,-200,-200,-200,-67.461395,-200,-200
16,S03,-83.320724,-68.427986,-89.569084,-81.19124,-89.06775,-200,-88.84717,-89.49527,-86.14351,-83.66309,-59.464897,-67.42157,-81.126976,-68.56924,-89.0,-200,-200,-200,-200,-67.6002,-200,-200
17,S03,-83.74896,-68.92354,-89.610954,-81.33513,-89.06775,-200,-89.5011825,-89.49527,-86.20809,-83.29213,-60.52941,-68.02071,-78.45529,-68.84216,-89.0,-200,-200,-200,-200,-67.88724,-200,-200
18,S03,-84.48543,-70.325912,-89.55583,-81.46066,-89.06775,-200,-89.17754,-89.49527,-86.264984,-83.90068,-60.147,-67.92482,-81.35554,-69.08028,-89.0,-200,-200,-200,-200,-67.332985,-200,-200
19,S03,-86.91604,-69.863,-89.762184,-80.72287,-89.06775,-200,-89.465775,-89.49527,-88.59013,-83.64712,-60.05575,-68.26888,-81.40413,-69.43372,-89.0,-200,-200,-200,-200,-68.771286,-200,-200
20,S03,-85.1397,-70.147484,-89.668397,-81.283875,-89.06775,-200,-89.79153,-89.49527,-86.17799,-83.67247,-60.202354,-68.565704,-81.518776,-69.48598,-89.0,-200,-200,-200,-200,-69.09014,-200,-200
21,S03,-85.527,-70.00556,-89.70155,-81.19559,-89.06775,-200,-89.5011825,-89.49527,-86.16623,-84.038826,-59.464897,-68.74926,-81.826935,-69.48598,-89.0,-200,-200,-200,-200,-69.299194,-200,-200
22,S03,-85.81215,-70.19645,-89.72405,-81.447014,-89.06775,-200,-89.5011825,-89.49527,-86.28313,-84.63106,-60.403343,-68.02071,-78.45529,-69.74773,-89.0,-200,-200,-200,-200,-70.17257,-200,-200
23,S03,-86.1322,-70.325912,-89.668397,-81.86476,-89.06775,-200,-89.5011825,-89.49527,-88.59013,-83.90068,-60.444374,-68.62359,-81.90446,-70.09485,-89.0,-200,-200,-200,-200,-67.332985,-200,-200
24,S03,-86.91604,-70.18433,-89.668397,-80.72287,-89.06775,-200,-89.5011825,-89.49527,-88.59013,-84.90957,-60.28283,-68.5807,-81.7193,-70.2163,-89.0,-200,-200,-200,-200,-70.29334,-200,-200
25,S03,-86.004524,-70.29305,-89.668397,-81.81142,-89.06775,-200,-89.5011825,-89.49527,-86.63582,-85.16192,-60.073555,-68.47624,-81.55154,-69.48598,-89.0,-200,-200,-200,-200,-70.33839,-200,-200
26,S03,-86.120804,-70.4508,-89.668397,-81.82271,-89.06775,-200,-89.5011825,-89.49527,-87.13666,-85.5115,-59.464897,-68.31839,-81.338875,-70.32635,-89.0,-200,-200,-200,-200,-70.440895,-200,-200
27,S03,-86.170784,-70.709404,-89.668397,-82.124405,-89.06775,-200,-89.5011825,-89.49527,-87.30351,-85.8896,-59.945633,-68.02071,-78.45529,-70.42656,-89.0,-200,-200,-200,-200,-70.59413,-200,-200
28,S03,-86.43917,-70.325912,-89.668397,-82.40157,-89.06775,-200,-89.5011825,-89.49527,-88.59013,-83.90068,-60.128525,-68.54552,-81.1443,-70.634796,-89.0,-200,-200,-200,-200,-67.332985,-200,-200
29,S03,-86.91604,-70.83671,-89.668397,-80.72287,-89.06775,-200,-89.9495,-89.49527,-88.59013,-86.00957,-60.645496,-68.57273,-81.1361,-70.76925,-89.0,-200,-200,-200,-200,-70.90915,-200,-200
30,S03,-86.57859,-70.90004,-89.668397,-82.60156,-89.06775,-200,-89.952446,-89.49527,-87.57049,-86.12019,-61.120426,-68.597626,-81.18411,-69.48598,-89.0,-200,-200,-200,-200,-71.1417,-200,-200
31,S03,-86.81481,-70.90538,-89.668397,-82.62326,-89.06775,-200,-89.5011825,-89.49527,-87.87224,-86.222534,-59.464897,-68.79104,-81.22854,-70.94881,-89.0,-200,-200,-200,-200,-71.30055,-200,-200
32,S03,-86.87705,-70.857834,-89.668397,-82.589966,-89.06775,-200,-89.5011825,-89.49527,-88.09696,-86.424355,-61.280464,-68.02071,-78.45529,-71.11492,-89.0,-200,-200,-200,-200,-71.883064,-200,-200
33,S03,-86.93511,-70.325912,-89.668397,-82.55898,-89.06775,-200,-89.5011825,-89.49527,-88.59013,-83.90068,-61.265194,-68.02071,-81.590324,-71.269066,-89.0,-200,-200,-200,-200,-67.332985,-200,-200
34,S03,-86.91604,-71.071976,-89.668397,-80.72287,-89.06775,-200,-89.5011825,-89.49527,-88.59013,-86.55962,-61.30445,-68.9138,-81.45429,-71.465004,-89.0,-200,-200,-200,-200,-71.99616,-200,-200
35,S03,-86.98939,-71.32312,-89.668397,-82.89197,-89.06775,-200,-89.5011825,-89.49527,-88.59013,-86.634094,-61.28846,-69.02738,-81.482506,-69.48598,-89.0,-200,-200,-200,-200,-72.1014,-200,-200
36,S03,-87.04022,-71.60866,-89.668397,-82.89748,-89.06775,-200,-89.5011825,-89.49527,-88.412346,-86.75467,-59.464897,-69.02592,-81.71272,-71.64776,-89.0,-200,-200,-200,-200,-72.302956,-200,-200
37,S03,-87.08792,-71.8766,-89.668397,-82.85233,-89.06775,-200,-89.5011825,-89.49527,-88.653275,-87.0185,-61.170147,-68.02071,-78.45529,-71.76763,-89.0,-200,-200,-200,-200,-67.332985,-200,-200
38,S03,-87.181915,-70.325912,-89.668397,-82.85967,-89.06775,-200,-89.5011825,-89.49527,-88.826294,-83.90068,-60.957626,-69.02455,-81.72717,-71.930214,-89.0,-200,-200,-200,-200,-67.332985,-200,-200
