,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,U01,-89.97356,-200,-89.9562,-89.43804,-82.0,-85.795204,-85.0,-87.93223,-86.0,-200,-200,-200,-200,-200,-81.00269,-74.97046,-67.10002,-59.0,-79.0,-200,-85.0,-86.0
1,U01,-89.97356,-200,-89.9562,-89.43804,-82.500496,-85.795204,-87.002,-87.93223,-86.0,-200,-200,-200,-200,-200,-81.00269,-74.0,-67.10002,-59.0,-79.500496,-200,-85.500496,-86.0
2,U01,-89.97356,-200,-89.9562,-89.43804,-85.677536,-85.795204,-81.915855,-86.0,-87.00333,-200,-200,-200,-200,-200,-89.0,-74.500496,-66.0,-61.117046,-80.670876,-200,-84.66423,-86.16986
3,U01,-89.97356,-200,-89.9562,-89.43804,-87.686516,-85.795204,-87.67021,-84.999,-88.26121,-200,-200,-200,-200,-200,-87.498505,-75.670876,-64.999,-59.334442,-81.257225,-200,-86.76262,-86.33444
4,U01,-89.97356,-200,-89.9562,-89.43804,-85.506966,-88.32779,-86.24277,-86.337105,-87.42812,-200,-200,-200,-200,-200,-84.990685,-75.75373,-64.99934,-58.495014,-80.93226,-200,-84.49702,-85.74676
5,U01,-89.97356,-200,-89.9562,-89.43804,-85.20197,-85.795204,-85.18169,-86.75573,-87.60117,-200,-200,-200,-200,-200,-83.23081,-74.97046,-65.25125,-57.990047,-83.02667,-200,-84.39642,-85.19084
6,U01,-89.97356,-200,-89.9562,-89.43804,-84.828285,-85.795204,-84.98115,-87.93223,-86.990036,-200,-200,-200,-200,-200,-81.00269,-76.20835,-67.10002,-58.50085,-82.68274,-200,-84.66856,-85.667564
7,U01,-89.97356,-200,-89.9562,-89.43804,-85.14653,-86.98654,-81.915855,-87.61472,-86.551865,-200,-200,-200,-200,-200,-82.374535,-75.83359,-67.42669,-61.117046,-82.14306,-200,-85.449844,-86.16986
8,U01,-89.97356,-200,-89.9562,-89.43804,-87.686516,-86.382095,-81.915855,-88.18922,-87.42812,-200,-200,-200,-200,-200,-81.801865,-75.41835,-69.22102,-58.427452,-81.736565,-200,-86.76262,-85.423195
9,U01,-89.97356,-200,-89.9562,-89.43804,-87.686516,-86.14755,-83.958115,-88.454575,-87.42812,-200,-200,-200,-200,-200,-81.53781,-75.10558,-70.65406,-58.113506,-80.93226,-200,-85.26234,-85.239136
10,U01,-89.97356,-200,-89.9562,-89.86203,-85.25691,-85.795204,-83.31688,-88.91311,-86.99782,-200,-200,-200,-200,-200,-81.468254,-74.97046,-71.99212,-58.100327,-81.53497,-200,-85.11579,-85.32746
11,U01,-89.97356,-200,-89.9562,-89.77098,-85.111,-86.7121,-83.04792,-87.93223,-86.99808,-200,-200,-200,-200,-200,-81.00269,-75.90592,-67.10002,-58.512188,-81.372856,-200,-84.78672,-86.137794
12,U01,-89.97356,-200,-89.9562,-89.89039,-85.09927,-86.62,-81.915855,-89.503624,-87.20951,-200,-200,-200,-200,-200,-81.065636,-76.12709,-72.45738,-61.117046,-81.23947,-200,-84.51596,-86.16986
13,U01,-89.97356,-200,-89.9562,-89.43804,-87.686516,-86.664116,-83.3597,-89.55605,-87.42812,-200,-200,-200,-200,-200,-80.84747,-76.50338,-72.09223,-58.170948,-81.30808,-200,-86.76262,-85.73577
14,U01,-89.97356,-200,-89.9562,-89.43804,-85.575424,-86.59398,-82.93612,-89.40487,-87.42812,-200,-200,-200,-200,-200,-80.86229,-77.08946,-71.888954,-58.06531,-80.93226,-200,-84.92048,-85.66939
