timeStamp,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020
2022-06-25 19:00:57 +0000 ,-200.0,-200.0,-200.0,-200.0,-75.0,-200.0,-200.0,-80.0,-200.0,-80.0,-200.0,-200.0,-83.0,-85.0,-69.0,-200.0,-91.0,-200.0,-77.0,-200.0
2022-06-25 19:00:58 +0000 ,-200.0,-200.0,-75.0,-200.0,-73.70959,-71.0,-200.0,-78.70959,-70.0,-79.139725,-92.0,-92.0,-81.70959,-85.0,-69.43014,-89.0,-91.0,-200.0,-200.0,-91.0
2022-06-25 19:00:59 +0000 ,-67.0,-200.0,-74.139725,-63.0,-72.529106,-71.43014,-63.0,-78.3576,-69.139725,-78.168625,-91.56986,-92.0,-80.805275,-85.82849,-69.91569,-89.43014,-91.27617,-86.0,-200.0,-91.0
2022-06-25 19:01:00 +0000 ,-66.56986,-200.0,-73.444786,-63.0,-71.83877,-71.363365,-63.0,-200.0,-68.720955,-77.37133,-91.636635,-200.0,-200.0,-86.42123,-200.0,-88.53487,-200.0,-86.0,-80.44112,-90.72383
2022-06-25 19:01:01 +0000 ,-66.636635,-200.0,-73.050415,-63.552322,-200.0,-71.88023,-64.10465,-77.64394,-69.140205,-200.0,-91.73582,-92.27617,-81.33925,-200.0,-70.417015,-87.6376,-200.0,-86.27617,-79.63074,-200.0
2022-06-25 19:01:02 +0000 ,-66.32512,-200.0,-200.0,-63.74213,-71.600624,-200.0,-65.10031,-77.22919,-200.0,-77.51183,-200.0,-92.2684,-81.7577,-200.0,-70.76423,-200.0,-91.884445,-86.884445,-79.666435,-200.0
2022-06-25 19:01:03 +0000 ,-200.0,-200.0,-72.82002,-200.0,-71.48937,-72.67549,-200.0,-76.86191,-69.05266,-77.647896,-91.958916,-92.20953,-82.1274,-86.437195,-70.853546,-87.7197,-92.01815,-200.0,-200.0,-89.70486
2022-06-25 19:01:04 +0000 ,-66.6951,-200.0,-72.66813,-64.129005,-71.41012,-73.01211,-65.24085,-76.804665,-68.99726,-77.70491,-92.01216,-92.170715,-81.942116,-86.495804,-70.75513,-87.81726,-92.15438,-87.67877,-200.0,-88.89225
2022-06-25 19:01:05 +0000 ,-66.98245,-200.0,-72.55993,-64.47557,-71.460175,-73.1721,-65.196236,-200.0,-68.875565,-77.74778,-92.25446,-200.0,-200.0,-86.45532,-200.0,-87.84685,-92.29132,-88.43356,-79.79378,-88.6357
2022-06-25 19:01:06 +0000 ,-67.14723,-200.0,-72.36896,-64.600296,-200.0,-73.51162,-65.16446,-77.7101,-69.29654,-200.0,-92.398384,-92.143074,-82.09853,-200.0,-70.755066,-87.97872,-200.0,-88.64471,-79.69238,-88.410614
2022-06-25 19:01:07 +0000 ,-67.600006,-200.0,-200.0,-64.65835,-71.43155,-200.0,-65.03093,-77.5749,-200.0,-77.68093,-92.47834,-92.01266,-82.05014,-200.0,-70.78761,-200.0,-92.394264,-88.58669,-79.7024,-200.0
2022-06-25 19:01:08 +0000 ,-200.0,-200.0,-72.989944,-200.0,-71.47157,-73.3405,-200.0,-77.13339,-69.08617,-77.59683,-92.54276,-91.97844,-81.827126,-86.16992,-70.81385,-88.01408,-200.0,-200.0,-200.0,-88.09607
2022-06-25 19:01:09 +0000 ,-67.75076,-200.0,-73.07893,-64.603386,-71.62085,-73.05145,-65.29538,-77.29642,-68.705025,-77.527466,-92.50804,-91.9811,-81.70264,-85.98191,-70.74762,-88.012344,-200.0,-89.11091,-200.0,-87.81751
2022-06-25 19:01:10 +0000 ,-67.78154,-200.0,-72.86568,-64.622185,-71.77325,-72.813034,-65.34944,-200.0,-68.4785,-77.88706,-92.36833,-200.0,-200.0,-86.04729,-200.0,-88.09878,-200.0,-89.15479,-80.18416,-87.59305
2022-06-25 19:01:11 +0000 ,-67.8948,-200.0,-72.743095,-64.6661,-200.0,-72.77985,-65.30883,-77.92947,-67.89725,-200.0,-200.0,-200.0,-81.625,-200.0,-200.0,-88.28194,-200.0,-89.02058,-80.390175,-200.0
2022-06-25 19:01:12 +0000 ,-68.01692,-200.0,-200.0,-64.61942,-71.74288,-200.0,-65.191124,-78.01148,-200.0,-200.0,-200.0,-92.07116,-81.558784,-200.0,-70.74858,-200.0,-92.47476,-88.90781,-80.9321,-200.0
2022-06-25 19:01:13 +0000 ,-200.0,-200.0,-72.5842,-200.0,-71.666885,-72.64284,-200.0,-77.90801,-67.5931,-78.08234,-92.30352,-92.25738,-81.579056,-86.24588,-70.77522,-88.22347,-92.539635,-200.0,-200.0,-87.49577
