timeStamp,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020
2022-06-25 19:27:10 +0000 ,-66.0,-200.0,-64.0,-64.0,-200.0,-75.0,-67.0,-200.0,-76.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-84.0,-200.0,-86.0,-82.0,-78.0
2022-06-25 19:27:11 +0000 ,-66.0,-200.0,-64.860275,-64.43014,-200.0,-75.0,-66.139725,-66.0,-200.0,-200.0,-200.0,-86.0,-78.0,-200.0,-77.0,-84.0,-200.0,-86.43014,-81.56986,-200.0
2022-06-25 19:27:12 +0000 ,-200.0,-200.0,-200.0,-200.0,-70.0,-200.0,-200.0,-66.0,-72.98902,-74.0,-84.0,-86.0,-78.43014,-71.0,-75.70959,-200.0,-91.0,-85.811035,-80.80815,-200.0
2022-06-25 19:27:13 +0000 ,-65.17151,-200.0,-64.450554,-64.0872,-69.56986,-74.17151,-200.0,-67.38081,-72.351814,-72.70959,-83.56986,-86.0,-76.706375,-71.860275,-75.08143,-84.27617,-90.56986,-200.0,-200.0,-81.01098
2022-06-25 19:27:14 +0000 ,-64.78413,-200.0,-64.46531,-63.585087,-69.36047,-73.57877,-65.720955,-67.34195,-72.25578,-72.08143,-83.636635,-85.79465,-200.0,-72.831375,-76.01833,-84.47375,-89.80815,-85.727394,-81.135994,-81.924355
2022-06-25 19:27:15 +0000 ,-64.44698,-200.0,-64.74775,-63.07226,-71.315575,-73.562805,-66.140205,-200.0,-72.52999,-72.19694,-84.35186,-200.0,-200.0,-74.65541,-200.0,-84.919495,-200.0,-86.1175,-81.71,-81.80727
2022-06-25 19:27:16 +0000 ,-64.31855,-200.0,-65.11929,-62.688416,-200.0,-73.22501,-66.38297,-67.8734,-200.0,-200.0,-200.0,-85.620346,-76.24313,-200.0,-75.73557,-200.0,-90.34135,-86.74538,-81.99458,-200.0
2022-06-25 19:27:17 +0000 ,-200.0,-200.0,-200.0,-200.0,-71.844955,-200.0,-66.49727,-68.31294,-200.0,-72.04276,-84.272064,-85.645035,-76.354965,-75.056076,-75.36845,-200.0,-90.42902,-87.02817,-82.27953,-82.45599
2022-06-25 19:27:18 +0000 ,-64.26697,-200.0,-64.81319,-62.17072,-71.734085,-72.86469,-200.0,-68.58615,-72.38351,-71.989204,-84.31563,-86.19106,-76.75364,-74.48733,-75.146835,-84.60692,-90.20996,-200.0,-200.0,-82.554085
2022-06-25 19:27:19 +0000 ,-64.00893,-200.0,-64.51417,-61.71014,-71.49307,-72.59383,-66.09013,-68.46263,-72.77014,-71.99095,-84.67073,-200.0,-77.972374,-74.04471,-74.98025,-84.42902,-89.89189,-87.388596,-82.52946,-82.46436
2022-06-25 19:27:20 +0000 ,-63.64158,-200.0,-64.31294,-61.450333,-200.0,-72.38201,-65.64126,-200.0,-73.56821,-71.99226,-85.00908,-200.0,-200.0,-73.85732,-200.0,-84.36671,-200.0,-87.53491,-82.724884,-81.84875
2022-06-25 19:27:21 +0000 ,-63.501984,-200.0,-64.05747,-61.55118,-200.0,-72.491295,-65.29024,-68.167885,-200.0,-200.0,-200.0,-86.305824,-78.15179,-200.0,-75.15107,-84.01688,-89.50745,-87.592354,-82.882355,-200.0
2022-06-25 19:27:22 +0000 ,-200.0,-200.0,-200.0,-200.0,-71.16656,-200.0,-65.380684,-68.08679,-73.888626,-71.9933,-84.67148,-86.16481,-78.09908,-73.542656,-75.37942,-200.0,-89.17421,-87.991196,-82.924385,-81.80654
2022-06-25 19:27:23 +0000 ,-63.88297,-200.0,-63.90621,-61.45597,-70.979,-72.49091,-200.0,-67.98884,-73.93256,-71.9008,-84.31137,-86.02095,-78.646774,-73.22864,-75.65563,-83.64429,-89.09233,-200.0,-200.0,-81.95393
2022-06-25 19:27:24 +0000 ,-63.83644,-200.0,-63.806076,-61.295086,-70.76476,-72.436676,-65.48102,-67.79599,-73.94041,-71.70824,-84.21847,-200.0,-200.0,-72.96962,-75.747536,-83.42483,-88.90587,-88.35059,-83.350624,-81.81191
2022-06-25 19:27:25 +0000 ,-63.561707,-200.0,-63.720676,-61.398365,-70.55966,-72.14992,-65.70553,-200.0,-73.69626,-71.60306,-84.27791,-200.0,-200.0,-72.91913,-200.0,-83.685265,-200.0,-88.871796,-83.76306,-81.528114
2022-06-25 19:27:26 +0000 ,-63.29965,-200.0,-63.801807,-61.639633,-200.0,-71.82768,-66.02879,-68.00653,-200.0,-200.0,-200.0,-86.165886,-79.44467,-200.0,-76.014786,-200.0,-89.36388,-89.39639,-83.93934,-200.0
