timeStamp,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020
2022-06-25 20:16:15 +0000 ,-56.0,-200.0,-200.0,-61.0,-200.0,-67.0,-68.0,-200.0,-200.0,-200.0,-200.0,-82.0,-79.0,-200.0,-200.0,-200.0,-200.0,-91.0,-86.0,-200.0
2022-06-25 20:16:16 +0000 ,-56.0,-200.0,-200.0,-61.430138,-68.0,-200.0,-69.72056,-70.0,-72.0,-75.0,-87.0,-82.0,-79.43014,-70.0,-76.0,-200.0,-200.0,-91.43014,-86.0,-200.0
2022-06-25 20:16:17 +0000 ,-200.0,-200.0,-63.0,-200.0,-68.43014,-200.0,-200.0,-70.0,-72.0,-75.0,-87.0,-82.55232,-79.91569,-71.72056,-77.29041,-84.0,-91.0,-200.0,-200.0,-86.0
2022-06-25 20:16:18 +0000 ,-55.447678,-200.0,-63.0,-61.915688,-68.63953,-68.29041,-71.38659,-70.27617,-72.55232,-74.17151,-86.17151,-82.94748,-79.800964,-72.83427,-78.470894,-82.70959,-91.0,-200.0,-200.0,-84.70959
2022-06-25 20:16:19 +0000 ,-55.25787,-200.0,-63.0,-62.21166,-68.12187,-69.470894,-71.34616,-200.0,-72.94748,-73.78413,-85.37343,-200.0,-200.0,-73.42542,-79.16123,-82.08143,-200.0,-92.19185,-84.34302,-84.3576
2022-06-25 20:16:20 +0000 ,-55.20131,-200.0,-63.0,-62.38457,-200.0,-70.366585,-70.88574,-70.2684,-200.0,-200.0,-200.0,-83.17834,-80.61623,-200.0,-200.0,-82.19694,-200.0,-92.48005,-83.157555,-85.49208
2022-06-25 20:16:21 +0000 ,-55.30361,-200.0,-200.0,-62.777756,-67.4913,-200.0,-71.0948,-69.71406,-73.673805,-73.28182,-85.67862,-83.47013,-81.42824,-74.26626,-79.23422,-200.0,-91.82849,-92.92441,-82.46498,-200.0
2022-06-25 20:16:22 +0000 ,-200.0,-200.0,-63.660625,-200.0,-67.30902,-71.60482,-200.0,-69.21133,-73.73155,-72.85915,-86.24821,-83.71789,-81.39598,-74.53908,-79.470024,-83.19886,-91.805176,-200.0,-200.0,-86.480835
2022-06-25 20:16:23 +0000 ,-56.51561,-200.0,-64.139595,-63.137634,-67.38111,-72.04581,-72.136154,-68.85322,-73.49095,-72.558075,-86.93811,-84.01376,-81.083565,-74.49159,-79.47352,-84.08818,-91.62857,-200.0,-200.0,-86.15555
2022-06-25 20:16:24 +0000 ,-57.199905,-200.0,-64.563,-63.408165,-67.47101,-72.32247,-72.58505,-200.0,-73.38401,-72.55101,-87.41852,-200.0,-200.0,-74.42018,-79.514366,-84.35527,-200.0,-93.16929,-82.00839,-86.25521
2022-06-25 20:16:25 +0000 ,-57.572033,-200.0,-64.807365,-63.418983,-200.0,-72.89506,-72.67274,-68.80328,-200.0,-200.0,-200.0,-84.378105,-80.90702,-200.0,-200.0,-84.44893,-200.0,-93.18168,-81.43887,-86.837555
2022-06-25 20:16:26 +0000 ,-57.87189,-200.0,-200.0,-63.553883,-68.04313,-200.0,-72.43319,-69.130516,-73.13225,-72.309586,-87.36013,-84.60859,-80.795006,-74.4647,-79.67927,-200.0,-91.51214,-93.15529,-80.93933,-200.0
2022-06-25 20:16:27 +0000 ,-200.0,-200.0,-64.965866,-200.0,-68.09538,-74.243515,-200.0,-69.298256,-72.86891,-72.02435,-87.192154,-84.594574,-80.61474,-74.34416,-79.9357,-84.4218,-91.30706,-200.0,-200.0,-86.38709
2022-06-25 20:16:28 +0000 ,-58.119225,-200.0,-65.186905,-63.72195,-67.70447,-74.07882,-200.0,-69.20409,-72.73957,-71.78908,-86.96574,-84.36172,-80.51989,-74.18795,-80.26348,-84.27639,-91.00755,-200.0,-81.25125,-85.72178
2022-06-25 20:16:29 +0000 ,-58.577774,-200.0,-65.749084,-63.86318,-67.29513,-73.66428,-72.67758,-200.0,-72.741425,-71.84212,-86.74852,-200.0,-200.0,-74.05667,-80.90017,-84.128044,-200.0,-93.13465,-81.434265,-85.260864
