timeStamp,uuid,minor,raw,filtered,error
2022-05-18 19:59:59 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-60,-60,0
2022-05-18 20:00:00 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-61,-60.50013,0.2498741
2022-05-18 20:00:01 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-63,-61.33411,2.775189
2022-05-18 20:00:04 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-67,-62.75306,18.0365
2022-05-18 20:00:05 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-68,-63.80559,17.59306
2022-05-18 20:00:06 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-74,-65.51244,72.03874
2022-05-18 20:00:08 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-71,-66.30146,22.07627
2022-05-18 20:00:09 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-68,-66.51563,2.203346
2022-05-18 20:00:10 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-67,-66.57006,0.1848478
2022-05-18 20:00:11 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-67,-66.61366,0.1492565
2022-05-18 20:00:13 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-71,-67.01936,15.84547
2022-05-18 20:00:14 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-66,-66.93263,0.8698033
2022-05-18 20:00:15 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-70,-67.17445,7.983755
2022-05-18 20:00:16 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-69,-67.30863,2.860726
2022-05-18 20:00:18 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-64,-67.08066,9.490454
2022-05-18 20:00:19 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-67,-67.07542,0.005688809
2022-05-18 20:00:20 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-66,-67.00941,1.018903
2022-05-18 20:00:21 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-66,-66.95058,0.9035962
2022-05-18 20:00:23 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-66,-66.8978,0.8060525
2022-05-18 20:00:24 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-66,-66.85018,0.7228087
2022-05-18 20:00:25 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-67,-66.8578,0.02022206
2022-05-18 20:00:26 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-68,-66.91355,1.180371
2022-05-18 20:00:28 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-75,-67.29361,59.38845
2022-05-18 20:00:29 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-70,-67.41634,6.675319
2022-05-18 20:00:30 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-70,-67.52959,6.102904
2022-05-18 20:00:31 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-68,-67.54957,0.2028888
2022-05-18 20:00:33 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-67,-67.52693,0.2776571
2022-05-18 20:00:34 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-68,-67.54586,0.2062429
2022-05-18 20:00:35 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-73,-67.75824,27.47605
2022-05-18 20:00:36 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-66,-67.69153,2.861268
2022-05-18 20:00:38 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-71,-67.814,10.15058
2022-05-18 20:00:39 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-67,-67.78457,0.6155482
2022-05-18 20:00:40 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-68,-67.79219,0.04318477
2022-05-18 20:00:41 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-73,-67.9725,25.27572
2022-05-18 20:00:43 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-73,-68.1431,23.58951
2022-05-18 20:00:44 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-68,-68.13834,0.0191369
2022-05-18 20:00:45 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-68,-68.13381,0.01790564
2022-05-18 20:00:46 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-70,-68.19375,3.262545
2022-05-18 20:00:48 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-67,-68.15604,1.336438
2022-05-18 20:00:49 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-67,-68.1201,1.254628
2022-05-18 20:00:50 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-72,-68.23891,14.14582
2022-05-18 20:00:51 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-75,-68.44297,42.99464
2022-05-18 20:00:53 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-84,-68.90608,227.8264
2022-05-18 20:00:54 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-71,-68.9676,4.130658
2022-05-18 20:00:55 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-71,-69.02657,3.894444
2022-05-18 20:00:56 +0000 ,020012AC-4202-649D-EC11-B6CBC8814AD7,420,-71,-69.08314,3.674362
