timeStamp,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,accer_x,accer_y,accer_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
2022-06-30 19:10:44 +0000,-64.0,-200.0,-74.0,-66.0,-200.0,-63.0,-200.0,-200.0,-83.0,-81.0,-200.0,-200.0,-200.0,-90.0,-72.0,-76.0,-200.0,-200.0,-71.0,-200.0,-91.0, -200.0, 0.1663665771484375,-0.2456512451171875,-0.98583984375,0.020319119095802307,0.01404737588018179,-0.14761342108249664,-81.59182739257812,-4.4150543212890625,-116.05783081054688
2022-06-30 19:10:45 +0000,-200.0,-200.0,-75.001,-66.0,-59.0,-64.001,-70.0,-64.0,-84.001,-200.0,-95.0,-200.0,-84.0,-89.499504,-76.004,-77.001,-81.0,-86.0,-200.0,-200.0,-91.0, -200.0, 0.082763671875,-0.2039337158203125,-0.973876953125,0.08471408486366272,0.0636008158326149,0.24220703542232513,-81.59182739257812,-4.4150543212890625,-116.05783081054688
2022-06-30 19:10:46 +0000,-200.0,-76.0,-75.669556,-200.0,-58.4995,-64.00066,-70.0,-64.0,-200.0,-81.500496,-93.999,-200.0,-79.4955,-88.66357,-200.0,-200.0,-82.001,-85.499504,-200.0,-200.0,-88.99335, -85.0, 0.079559326171875,-0.226226806640625,-0.949737548828125,-0.09139809012413025,-0.09735158830881119,-0.02202088013291359,-81.59182739257812,-4.4150543212890625,-116.05783081054688
2022-06-30 19:10:47 +0000,-65.001,-76.500496,-200.0,-68.00665,-58.332443,-62.99352,-70.0,-64.668884,-82.662895,-80.66423,-92.66156,-200.0,-78.326454,-200.0,-76.00266,-200.0,-83.67288,-85.33245,-73.502495,-200.0,-87.98804, -85.500496, 0.06939697265625,-0.21099853515625,-0.9574127197265625,-0.009587912820279598,-0.012734171003103256,-0.032831981778144836,-81.59182739257812,-4.4150543212890625,-116.05783081054688
2022-06-30 19:10:48 +0000,-66.33844,-76.66755,-75.24925,-68.760216,-200.0,-200.0,-200.0,-65.50748,-81.74078,-79.99352,-200.0,-200.0,-80.006485,-87.99303,-76.25374,-79.00732,-200.0,-86.004,-74.33777,-200.0,-200.0, -86.00199, 0.1147918701171875,-0.1987457275390625,-1.0035858154296875,0.03651087358593941,0.11619345098733902,-0.18248246610164642,-81.59182739257812,-4.4150543212890625,-116.05783081054688
2022-06-30 19:10:49 +0000,-67.00848,-200.0,-74.996414,-69.01114,-200.0,-62.38766,-200.0,-200.0,-81.59086,-79.59005,-200.0,-200.0,-200.0,-87.58966,-76.40478,-79.508965,-200.0,-200.0,-73.4975,-200.0,-89.00241, -86.00149, 0.164642333984375,-0.178436279296875,-1.0144805908203125,-0.08459078520536423,-0.15087206661701202,-0.10538234561681747,-81.59182739257812,-4.4150543212890625,-116.05783081054688
2022-06-30 19:10:50 +0000,-200.0,-200.0,-74.82732,-69.348656,-59.507477,-62.15217,-70.75523,-200.0,-81.829994,-200.0,-92.998505,-200.0,-79.398,-87.319885,-75.99667,-79.20357,-84.51047,-86.00319,-200.0,-200.0,-88.49289, -200.0, 0.0134735107421875,-0.10870361328125,-1.0336151123046875,0.4300616383552551,-0.331892728805542,-0.0070770843885838985,-81.59182739257812,-4.4150543212890625,-116.05783081054688
2022-06-30 19:10:51 +0000,-68.42349,-75.74426,-74.26646,-200.0,-59.60716,-61.836784,-70.80477,-65.40477,-200.0,-78.30199,-92.59403,-200.0,-78.82134,-88.15226,-200.0,-200.0,-84.60954,-85.66324,-200.0,-200.0,-87.83449, -86.00118, -0.0638427734375,-0.1161346435546875,-0.98486328125,-0.07417116314172745,-0.020532971248030663,0.04156235605478287,-81.59182739257812,-4.4150543212890625,-116.05783081054688
2022-06-30 19:10:52 +0000,-68.69103,-74.78407,-200.0,-69.00448,-58.6556,-61.340565,-70.837906,-65.50578,-80.975655,-77.23193,-92.832634,-200.0,-78.11481,-200.0,-75.11791,-200.0,-83.48788,-85.12642,-73.39681,-200.0,-200.0, -85.831276, -0.0047149658203125,-0.2584075927734375,-0.92169189453125,-0.13121794164180756,0.4329889714717865,-0.061380535364151,-81.59182739257812,-4.4150543212890625,-116.05783081054688
2022-06-30 19:10:53 +0000,-68.88285,-74.3116,-73.71467,-68.874565,-200.0,-200.0,-200.0,-65.724754,-80.332146,-77.33127,-200.0,-200.0,-77.71197,-88.391235,-74.456,-77.981094,-82.830215,-200.0,-73.32947,-200.0,-200.0, -86.29562, -0.0055389404296875,-0.1942596435546875,-0.9697113037109375,0.0335044302046299,-0.06204446405172348,-0.20710071921348572,-81.59182739257812,-4.4150543212890625,-116.05783081054688
2022-06-30 19:10:54 +0000,-69.15667,-74.412476,-72.93519,-68.65696,-200.0,-63.274494,-200.0,-200.0,-79.59708,-77.292816,-92.857155,-200.0,-200.0,-87.6493,-74.40307,-76.95807,-200.0,-200.0,-73.427734,-200.0,-87.59723, -86.38672, -0.15380859375,-0.24810791015625,-0.9853363037109375,-0.08690640330314636,-0.00686030276119709,-0.3096843659877777,-75.43069458007812,-6.3054351806640625,-106.19544982910156
2022-06-30 19:10:55 +0000,-200.0,-200.0,-72.51958,-68.27073,-58.85261,-63.13989,-69.39623,-64.46703,-79.322784,-200.0,-93.00496,-200.0,-77.86149,-86.84142,-200.0,-76.05817,-83.240166,-84.59274,-73.88974,-200.0,-87.29572, -200.0, -0.0144500732421875,-0.096710205078125,-1.0220947265625,0.1643684357404709,0.013659087009727955,-0.3231290578842163,-75.43069458007812,-6.3054351806640625,-106.19544982910156
2022-06-30 19:10:56 +0000,-68.90631,-75.78178,-72.27478,-200.0,-59.130337,-63.223457,-68.31034,-63.600212,-200.0,-200.0,-92.77221,-200.0,-78.08735,-86.07956,-200.0,-200.0,-83.79272,-84.175674,-200.0,-200.0,-87.05326, -86.92226, -0.17254638671875,-0.203399658203125,-0.9723968505859375,0.34638404846191406,-0.7227233052253723,-0.21501749753952026,-75.43069458007812,-6.3054351806640625,-106.19544982910156
2022-06-30 19:10:57 +0000,-68.81059,-75.80711,-200.0,-200.0,-58.883034,-63.47394,-68.04214,-62.79752,-78.90279,-76.83943,-92.585045,-200.0,-78.37034,-200.0,-74.043655,-75.81924,-83.709,-84.68519,-73.90254,-200.0,-86.85377, -87.1417, 0.005279541015625,-0.2215118408203125,-0.9969635009765625,-0.0041121868416666985,0.13092286884784698,0.023331156000494957,-75.43069458007812,-6.3054351806640625,-106.19544982910156
2022-06-30 19:10:58 +0000,-68.828995,-76.03872,-71.61849,-68.14726,-58.68416,-200.0,-69.410675,-62.428555,-78.37027,-76.4664,-200.0,-200.0,-200.0,-86.433235,-73.55362,-75.73271,-200.0,-85.00725,-74.12406,-200.0,-200.0, -87.61372, -0.039215087890625,-0.2300872802734375,-0.9972686767578125,-0.028548287227749825,-0.11127299815416336,0.01955692283809185,-75.43069458007812,-6.3054351806640625,-106.19544982910156
