timeStamp,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,accer_x,accer_y,accer_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
2022-06-30 18:06:45 +0000,-200.0,-200.0,-89.0,-79.0,-82.0,-84.0,-81.0,-200.0,-88.0,-91.0,-200.0,-200.0,-200.0,-92.0,-200.0,-70.0,-200.0,-200.0,-62.0,-200.0,-73.0, -200.0, 0.00421142578125,-0.3726043701171875,-0.94342041015625,0.04181136190891266,-0.06771460175514221,-0.005387841258198023,-66.9739990234375,-2.9587554931640625,-99.80380249023438
2022-06-30 18:06:46 +0000,-200.0,-200.0,-84.4955,-80.001,-80.498505,-81.497505,-78.497505,-67.0,-89.501495,-91.500496,-200.0,-200.0,-93.0,-92.500496,-200.0,-70.0,-81.0,-88.0,-200.0,-200.0,-73.0, -93.0, -0.0542449951171875,-0.3348388671875,-0.9571990966796875,0.013226855546236038,-0.043083555996418,0.008009190671145916,-66.9739990234375,-2.9587554931640625,-99.80380249023438
2022-06-30 18:06:47 +0000,-81.0,-85.0,-80.65091,-200.0,-80.33179,-80.32779,-77.66223,-68.501495,-200.0,-200.0,-200.0,-200.0,-89.997,-200.0,-83.0,-200.0,-85.5045,-88.500496,-65.503494,-200.0,-73.668884, -91.498505, -0.0224151611328125,-0.322265625,-0.962310791015625,0.0846797302365303,-0.05115905776619911,0.06041993573307991,-66.9739990234375,-2.9587554931640625,-99.80380249023438
2022-06-30 18:06:48 +0000,-82.001,-87.502495,-200.0,-80.669556,-80.75175,-80.748764,-76.99203,-68.33377,-85.98935,-91.33311,-200.0,-200.0,-87.99135,-200.0,-83.500496,-70.668884,-87.00799,-89.670876,-66.672874,-200.0,-74.25573, -90.662895, -0.0879669189453125,-0.3208160400390625,-0.9899444580078125,0.05116438493132591,-0.0787411481142044,-0.12651853263378143,-66.9739990234375,-2.9587554931640625,-99.80380249023438
2022-06-30 18:06:49 +0000,-82.669556,-86.66556,-81.74577,-78.738785,-200.0,-200.0,-200.0,-68.24975,-85.2368,-91.249245,-200.0,-200.0,-200.0,-93.00199,-83.66755,-70.75224,-87.761215,-200.0,-67.00697,-200.0,-200.0, -90.49602, -0.0174407958984375,-0.2981719970703125,-0.9432830810546875,-0.04587321728467941,0.02822098508477211,0.0673191174864769,-66.9739990234375,-2.9587554931640625,-99.80380249023438
2022-06-30 18:06:50 +0000,-84.263214,-200.0,-80.3805,-77.57732,-80.39721,-80.192444,-78.00559,-200.0,-84.784096,-91.1988,-200.0,-200.0,-88.49702,-92.498,-200.0,-71.20717,-200.0,-200.0,-67.20795,-200.0,-74.20397, -200.0, -0.0499267578125,-0.3088531494140625,-0.9613494873046875,0.04554884135723114,-0.024923192337155342,-0.03301946818828583,-66.9739990234375,-2.9587554931640625,-99.80380249023438
2022-06-30 18:06:51 +0000,-200.0,-200.0,-79.128,-77.13994,-80.160095,-79.65067,-78.68346,-200.0,-84.31162,-200.0,-95.0,-200.0,-88.80121,-92.599594,-200.0,-72.02053,-88.01193,-90.257225,-200.0,-200.0,-74.33906, -89.38368, -0.052978515625,-0.313232421875,-0.9585723876953125,-0.006330600008368492,0.002088717184960842,-0.059959739446640015,-66.9739990234375,-2.9587554931640625,-99.80380249023438
2022-06-30 18:06:52 +0000,-82.995605,-86.24626,-79.40232,-200.0,-79.9901,-79.26224,-78.87639,-67.18725,-200.0,-200.0,-95.0,-200.0,-200.0,-93.00696,-83.4995,-200.0,-88.0099,-90.407555,-200.0,-200.0,-73.7032, -88.470055, -0.0466766357421875,-0.296051025390625,-0.962646484375,-0.008679508231580257,0.02111460641026497,-0.057553306221961975,-66.9739990234375,-2.9587554931640625,-99.80380249023438
2022-06-30 18:06:53 +0000,-81.97813,-85.58926,-200.0,-76.82635,-200.0,-78.71099,-79.409706,-66.137245,-84.559044,-90.14684,-200.0,-200.0,-200.0,-200.0,-83.196014,-72.31061,-88.155,-90.33839,-67.68177,-200.0,-200.0, -88.69426, -0.061065673828125,-0.3162994384765625,-0.948272705078125,-0.011670771054923534,-0.03116164728999138,-0.030672958120703697,-66.9739990234375,-2.9587554931640625,-99.80380249023438
2022-06-30 18:06:54 +0000,-200.0,-85.14985,-78.83296,-76.719475,-200.0,-200.0,-200.0,-65.23788,-84.74541,-89.39261,-200.0,-200.0,-200.0,-92.273224,-83.16275,-72.65843,-88.52294,-200.0,-67.87495,-200.0,-200.0, -88.21648, -0.028778076171875,-0.3110809326171875,-0.9351654052734375,-0.04739760980010033,-0.0031672974582761526,-0.04711504653096199,-66.9739990234375,-2.9587554931640625,-99.80380249023438
