timeStamp,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,accer_x,accer_y,accer_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
2022-06-30 20:02:41 +0000,-76.0,-73.0,-200.0,-62.0,-85.0,-200.0,-85.0,-78.0,-81.0,-55.0,-200.0,-79.0,-60.0,-200.0,-90.0,-200.0,-200.0,-200.0,-200.0,-74.0,-200.0, -200.0, 0.0858917236328125,-0.3296051025390625,-1.0083770751953125,0.2274709790945053,-0.16687020659446716,-0.06920304149389267,-32.830718994140625,32.509613037109375,-117.6231689453125
2022-06-30 20:02:42 +0000,-77.001,-74.501495,-200.0,-62.0,-200.0,-200.0,-85.0,-82.5045,-81.0,-55.5005,-200.0,-80.501495,-61.001,-200.0,-87.998,-90.0,-200.0,-200.0,-90.0,-74.0,-200.0, -200.0, -0.0134429931640625,-0.2448272705078125,-0.974578857421875,0.030056169256567955,-0.02642468363046646,-0.14482775330543518,-32.830718994140625,32.509613037109375,-117.6231689453125
2022-06-30 20:02:43 +0000,-77.669556,-75.337105,-200.0,-61.665558,-200.0,-81.0,-200.0,-200.0,-81.668884,-56.67088,-93.0,-200.0,-200.0,-73.0,-87.32979,-88.999,-200.0,-200.0,-88.498505,-200.0,-200.0, -200.0, 0.0935821533203125,-0.2238006591796875,-1.1747283935546875,0.4281691908836365,0.3162085711956024,-0.05651946738362312,-32.830718994140625,32.509613037109375,-117.6231689453125
2022-06-30 20:02:44 +0000,-77.75275,-200.0,-85.0,-61.749752,-82.998,-80.499504,-84.66556,-81.666885,-81.75224,-200.0,-90.497505,-79.330444,-62.67288,-71.999,-88.002,-88.66489,-200.0,-200.0,-89.669556,-76.00665,-200.0, -200.0, -0.06591796875,-0.2574462890625,-0.967041015625,0.22353588044643402,-0.09502451866865158,-0.08253376185894012,-32.830718994140625,32.509613037109375,-117.6231689453125
2022-06-30 20:02:45 +0000,-200.0,-76.76271,-86.001,-200.0,-82.32979,-81.67022,-82.735794,-81.24725,-200.0,-200.0,-89.66223,-79.24725,-63.25872,-71.66489,-200.0,-200.0,-200.0,-200.0,-200.0,-76.00498,-200.0, -200.0, 0.0239105224609375,-0.3149566650390625,-0.982635498046875,0.18385611474514008,0.13883724808692932,0.20026038587093353,-32.830718994140625,32.509613037109375,-117.6231689453125
2022-06-30 20:02:46 +0000,-78.20757,-76.608345,-200.0,-63.419518,-82.75026,-83.7672,-81.77732,-80.79243,-81.80238,-56.250244,-89.74727,-79.602,-64.015915,-200.0,-88.81116,-200.0,-200.0,-200.0,-88.997505,-75.59919,-200.0, -200.0, 0.0421142578125,-0.313079833984375,-0.9638214111328125,0.04929671064019203,-0.0001728391507640481,0.022070415318012238,-32.830718994140625,32.509613037109375,-117.6231689453125
2022-06-30 20:02:47 +0000,-78.00264,-76.505104,-84.99734,-64.196846,-83.81276,-200.0,-200.0,-200.0,-82.34503,-55.997208,-200.0,-80.17866,-64.52233,-200.0,-89.18262,-89.001,-200.0,-200.0,-88.39084,-75.1581,-200.0, -200.0, 0.0582733154296875,-0.3798980712890625,-0.950164794921875,-0.01558375358581543,0.006208094768226147,-0.1352670043706894,-32.830718994140625,32.509613037109375,-117.6231689453125
2022-06-30 20:02:48 +0000,-78.00226,-76.87071,-84.494514,-64.46108,-200.0,-83.20714,-200.0,-200.0,-82.880646,-55.827976,-87.976906,-200.0,-200.0,-72.504486,-89.15585,-89.203186,-200.0,-200.0,-88.49422,-200.0,-200.0, -200.0, 0.0855255126953125,-0.3687744140625,-0.9273223876953125,0.004972654394805431,-0.00036432043998502195,-0.04534830525517464,-32.830718994140625,32.509613037109375,-117.6231689453125
2022-06-30 20:02:49 +0000,-78.131294,-200.0,-82.9777,-64.66012,-83.844536,-82.66287,-81.4757,-80.99736,-83.02541,-200.0,-86.7929,-200.0,-64.885414,-72.80716,-89.26503,-89.84753,-200.0,-200.0,-200.0,-74.84185,-200.0, -200.0, 0.0845184326171875,-0.3411407470703125,-0.896575927734375,-0.2292504906654358,-0.15941736102104187,-0.2656441926956177,-32.830718994140625,32.509613037109375,-117.6231689453125
2022-06-30 20:02:50 +0000,-200.0,-75.85278,-82.811775,-200.0,-83.574234,-82.27265,-80.819824,-80.55811,-200.0,-200.0,-86.237076,-79.41976,-64.770905,-73.00959,-200.0,-200.0,-200.0,-200.0,-200.0,-74.73297,-200.0, -200.0, 0.1457672119140625,-0.3328094482421875,-0.926971435546875,-0.313627153635025,-0.11397956311702728,0.22106660902500153,-32.830718994140625,32.509613037109375,-117.6231689453125
