timeStamp,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,accer_x,accer_y,accer_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
2022-06-30 21:24:49 +0000,-200.0,-200.0,-200.0,-200.0,-92.0,-90.0,-95.0,-83.0,-200.0,-79.0,-57.0,-70.0,-70.0,-60.0,-200.0,-200.0,-200.0,-200.0,-200.0,-76.0,-200.0, -200.0, 0.20343017578125,-0.2491302490234375,-0.951995849609375,0.011006845161318779,-0.0450843870639801,0.03599981218576431,-57.78474426269531,14.623138427734375,-110.27438354492188
2022-06-30 21:24:50 +0000,-200.0,-53.0,-200.0,-76.0,-89.998,-90.0,-94.499504,-82.499504,-92.0,-79.0,-57.0,-69.499504,-70.500496,-60.5005,-200.0,-200.0,-200.0,-200.0,-92.0,-71.996,-200.0, -200.0, 0.1797332763671875,-0.3021697998046875,-0.9578857421875,0.12827834486961365,-0.10867268592119217,-0.1834411919116974,-57.78474426269531,14.623138427734375,-110.27438354492188
2022-06-30 21:24:51 +0000,-85.0,-52.4995,-87.0,-76.0,-88.32646,-200.0,-92.99468,-81.99801,-91.499504,-79.33444,-200.0,-68.99801,-71.670876,-200.0,-95.0,-200.0,-200.0,-200.0,-92.500496,-69.990685,-200.0, -200.0, 0.1197662353515625,-0.362945556640625,-0.948455810546875,0.00313560594804585,-0.08504485338926315,0.11493750661611557,-57.78474426269531,14.623138427734375,-110.27438354492188
2022-06-30 21:24:52 +0000,-84.499504,-52.332443,-88.001,-75.66556,-86.48206,-90.668884,-200.0,-200.0,-91.33245,-80.00548,-200.0,-200.0,-200.0,-60.33311,-95.0,-200.0,-200.0,-200.0,-92.66755,-67.979065,-200.0, -200.0, 0.1603851318359375,-0.3331298828125,-0.98211669921875,-0.2698943316936493,-0.1639159619808197,-0.3489832878112793,-57.78474426269531,14.623138427734375,-110.27438354492188
2022-06-30 21:24:53 +0000,-83.99801,-200.0,-88.33511,-77.51196,-200.0,-89.997,-200.0,-81.24327,-90.99702,-200.0,-57.0,-200.0,-200.0,-60.500996,-94.66556,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0, -200.0, 0.2429656982421875,-0.5115203857421875,-0.824066162109375,0.4670337736606598,0.024025175720453262,0.024221183732151985,-57.78474426269531,14.623138427734375,-110.27438354492188
2022-06-30 21:24:54 +0000,-200.0,-200.0,-88.75424,-200.0,-87.59884,-90.40239,-90.47857,-81.598816,-200.0,-79.80198,-57.755234,-68.99851,-70.9985,-61.209156,-200.0,-200.0,-200.0,-200.0,-200.0,-68.59048,-200.0, -200.0, 0.03704833984375,-0.2989959716796875,-0.9918670654296875,-0.8405330777168274,0.5432339906692505,0.4551326334476471,-57.78474426269531,14.623138427734375,-110.27438354492188
2022-06-30 21:24:55 +0000,-200.0,-54.26271,-200.0,-77.813126,-87.497215,-90.843216,-91.39366,-82.00631,-91.4024,-79.66588,-59.01911,-69.2012,-71.80836,-62.36159,-200.0,-200.0,-200.0,-200.0,-200.0,-68.99938,-200.0, -200.0, 0.10052490234375,-0.312957763671875,-0.969940185546875,-0.15091921389102936,-0.2508186399936676,0.2223086953163147,-57.78474426269531,14.623138427734375,-110.27438354492188
2022-06-30 21:24:56 +0000,-85.50898,-56.638218,-89.00637,-77.84484,-87.57089,-200.0,-91.66627,-81.7123,-91.673515,-80.887184,-200.0,-69.84588,-73.19852,-200.0,-93.23928,-200.0,-200.0,-200.0,-200.0,-69.29256,-200.0, -200.0, 0.0712432861328125,-0.286041259765625,-0.976806640625,-0.3393189311027527,-0.145102858543396,-0.1778315156698227,-57.78474426269531,14.623138427734375,-110.27438354492188
2022-06-30 21:24:57 +0000,-86.21552,-58.736065,-89.174995,-77.42795,-88.27305,-90.42656,-200.0,-200.0,-91.8679,-80.64311,-60.543205,-70.60117,-200.0,-62.74823,-92.58369,-200.0,-200.0,-200.0,-200.0,-68.73739,-200.0, -200.0, 0.0733642578125,-0.2879180908203125,-0.963134765625,0.07970868051052094,-0.021311679854989052,-0.042214564979076385,-57.78474426269531,14.623138427734375,-110.27438354492188
2022-06-30 21:24:58 +0000,-87.19717,-200.0,-89.2959,-77.11394,-200.0,-90.11273,-90.98246,-81.36152,-92.14365,-200.0,-61.049774,-200.0,-74.34177,-63.298115,-92.484634,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0, -200.0, 0.058258056640625,-0.2805328369140625,-0.977081298828125,0.1019548624753952,0.0005624596378766,-0.0018972359830513597,-57.78474426269531,14.623138427734375,-110.27438354492188
