,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-64.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-63.0,-200.0,-200.0,-61.0,-200,-67.75062,-200.0
1,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-64.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-63.0,-200.0,-200.0,-58.998,-200,-67.75062,-200.0
2,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-65.00333,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-68.77545,-200.0,-200.0,-58.329784,-200,-66.0,-200.0
3,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-70.45509000000001,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-68.77545,-200.0,-200.0,-57.992268,-200,-67.001,-200.0
4,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-64.499,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-64.00333,-200.0,-200.0,-58.75025,-200,-67.669556,-200.0
5,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-63.993225,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-64.505974,-200.0,-200.0,-58.598408,-200,-68.25623,-200.0
6,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-63.654964,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-64.80835,-200.0,-200.0,-58.496857,-200,-67.75062,-200.0
7,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-63.2659,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-68.77545,-200.0,-200.0,-58.717133,-200,-68.00198,-200.0
8,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-69.70015,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-68.77545,-200.0,-200.0,-57.992268,-200,-67.83195,-200.0
9,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-63.23151,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-65.18028,-200.0,-200.0,-58.753716,-200,-68.14966,-200.0
10,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-63.204636,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-65.30041,-200.0,-200.0,-58.782307,-200,-68.518295,-200.0
11,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-63.077408,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-65.52022,-200.0,-200.0,-58.91091,-200,-67.75062,-200.0
12,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-63.06989,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-65.692,-200.0,-200.0,-57.992268,-200,-68.57422,-200.0
13,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-69.63066,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-68.77545,-200.0,-200.0,-57.992268,-200,-68.51357,-200.0
14,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-63.1538,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-65.83015,-200.0,-200.0,-59.016727,-200,-68.366516,-200.0
15,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-63.140816,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-66.13813,-200.0,-200.0,-58.834793,-200,-68.15303,-200.0
16,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-63.28872,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-66.03545,-200.0,-200.0,-58.59546,-200,-67.75062,-200.0
17,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-63.34235,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-66.96118,-200.0,-200.0,-58.30943,-200,-68.562256,-200.0
18,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-70.039795,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-68.77545,-200.0,-200.0,-57.992268,-200,-68.517525,-200.0
19,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-63.605125,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-66.72561,-200.0,-200.0,-57.98448,-200,-68.4031,-200.0
20,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-63.838577,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-66.52009,-200.0,-200.0,-57.62638,-200,-68.445984,-200.0
21,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-64.31187,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-66.41088,-200.0,-200.0,-57.445778,-200,-67.75062,-200.0
22,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-65.7582,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-66.86399,-200.0,-200.0,-57.74676,-200,-69.102974,-200.0
23,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-70.45509000000001,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-68.77545,-200.0,-200.0,-57.992268,-200,-69.75706,-200.0
24,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-65.8965,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-67.533875,-200.0,-200.0,-57.95415,-200,-69.96379,-200.0
25,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-66.08234,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-67.94608,-200.0,-200.0,-58.26544,-200,-69.96603,-200.0
26,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-66.31063,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-68.257866,-200.0,-200.0,-58.60882,-200,-67.75062,-200.0
27,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-66.52036,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-68.77545,-200.0,-200.0,-58.748165,-200,-70.08782,-200.0
28,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-70.45509000000001,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-68.77545,-200.0,-200.0,-57.992268,-200,-70.140976,-200.0
29,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-66.88048,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-68.48194,-200.0,-200.0,-59.16041,-200,-70.24665,-200.0
30,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-67.159195,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-68.45386,-200.0,-200.0,-58.87361,-200,-70.955444,-200.0
31,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-67.31097,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-68.37121,-200.0,-200.0,-58.553837,-200,-67.75062,-200.0
32,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-70.47153,-67.924835,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-68.183846,-200.0,-200.0,-57.992268,-200,-200.0,-200.0
33,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-70.45509000000001,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-68.77545,-200.0,-200.0,-57.992268,-200,-70.96012,-200.0
34,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-68.13551,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-67.84718,-200.0,-200.0,-58.577675,-200,-70.85718,-200.0
35,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-71.00358,-68.23053,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-67.53478,-200.0,-200.0,-58.599857,-200,-200.0,-200.0
36,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-68.11834,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-67.401665,-200.0,-200.0,-58.568848,-200,-67.75062,-200.0
37,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-70.47153,-68.06276,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-67.2258,-200.0,-200.0,-58.539856,-200,-200.0,-200.0
38,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-70.45509000000001,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-68.77545,-200.0,-200.0,-57.992268,-200,-70.61923,-200.0
39,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-68.5021,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-67.11237,-200.0,-200.0,-58.713894,-200,-70.38966,-200.0
40,R06,-200.0,-200,-200.0,-200,-200.0,-200.0,-200.0,-68.818344,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-66.90553,-200.0,-200.0,-58.62871,-200,-70.12472,-200.0
