,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,A07,-200.0,-200.0,-200.0,-200.0,-65.0,-69.0,-64.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.125068,-200.0,-200.0,-69.60513499999999,-200,-200.0,-200.0
1,A07,-200.0,-200.0,-200.0,-200.0,-64.499504,-69.0,-64.0,-71.999,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.125068,-200.0,-200.0,-200.0,-200,-200.0,-200.0
2,A07,-200.0,-200.0,-200.0,-71.0,-69.337765,-69.0,-59.7644255,-70.996,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
3,A07,-200.0,-200.0,-200.0,-71.0,-69.337765,-71.24952,-59.7644255,-70.74526,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
4,A07,-71.17956,-200.0,-200.0,-71.0,-64.66689,-200.0,-66.3411,-69.929275,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
5,A07,-200.0,-200.0,-200.0,-200.0,-65.002495,-70.19838,-65.75174,-70.59443,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.60513499999999,-200,-200.0,-200.0
6,A07,-200.0,-200.0,-200.0,-200.0,-65.20438,-69.31619,-64.992424,-70.154144,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.125068,-200.0,-200.0,-200.0,-200,-200.0,-200.0
7,A07,-200.0,-200.0,-200.0,-200.0,-65.5091,-68.83023,-64.824005,-70.13155,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.65697,-200,-200.0,-200.0
8,A07,-200.0,-200.0,-200.0,-200.0,-69.337765,-71.24952,-59.7644255,-70.11454,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.5607,-200,-200.0,-200.0
9,A07,-71.17956,-200.0,-200.0,-200.0,-65.58104,-71.30949,-66.16868,-69.929275,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
10,A07,-200.0,-200.0,-200.0,-200.0,-65.63522,-70.80922,-67.052185,-69.86907,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.60513499999999,-200,-200.0,-200.0
11,A07,-200.0,-200.0,-200.0,-200.0,-66.025826,-71.46305,-67.85873,-69.882904,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.125068,-200.0,-200.0,-200.0,-200,-200.0,-200.0
12,A07,-200.0,-200.0,-200.0,-200.0,-66.33994,-72.87545,-68.929794,-69.99144,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.48818,-200,-200.0,-200.0
13,A07,-200.0,-200.0,-200.0,-200.0,-68.73589,-71.24952,-59.7644255,-69.81178,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.24643,-200,-200.0,-200.0
14,A07,-71.17956,-200.0,-200.0,-200.0,-69.030365,-200.0,-67.96502,-69.929275,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-70.773125,-200,-200.0,-200.0
15,A07,-200.0,-200.0,-200.0,-200.0,-69.28109,-200.0,-66.88561,-70.33424,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.125068,-200.0,-200.0,-69.60513499999999,-200,-200.0,-200.0
16,A07,-200.0,-200.0,-200.0,-200.0,-70.13381,-200.0,-66.05099,-70.705414,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.125068,-200.0,-200.0,-70.707855,-200,-200.0,-200.0
17,A07,-72.24407,-200.0,-200.0,-200.0,-69.337765,-200.0,-65.41051,-71.180046,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-70.65154,-200,-200.0,-200.0
18,A07,-200.0,-200.0,-200.0,-200.0,-69.337765,-71.24952,-59.7644255,-71.8137,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-70.60242,-200,-200.0,-200.0
19,A07,-71.17956,-200.0,-200.0,-200.0,-70.50074,-200.0,-65.153336,-69.929275,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-70.559135,-200,-200.0,-200.0
20,A07,-71.35476,-200.0,-200.0,-200.0,-70.89583,-200.0,-64.92679,-71.68898,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.60513499999999,-200,-200.0,-200.0
21,A07,-70.84901,-200.0,-200.0,-200.0,-71.45312,-200.0,-64.38169,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.125068,-200.0,-200.0,-70.45192,-200,-200.0,-200.0
22,A07,-70.46245,-200.0,-200.0,-200.0,-69.337765,-200.0,-63.89384,-71.349304,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-70.223785,-200,-200.0,-200.0
23,A07,-70.81546,-200.0,-200.0,-200.0,-69.337765,-200.0,-59.7644255,-71.20437,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-70.08202,-200,-200.0,-200.0
24,A07,-71.17956,-200.0,-200.0,-200.0,-71.22491,-200.0,-63.964355,-69.929275,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.953575,-200,-200.0,-200.0
25,A07,-71.17956,-200.0,-200.0,-200.0,-71.08307,-200.0,-63.90486,-70.89274,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.60513499999999,-200,-200.0,-200.0
26,A07,-200.0,-200.0,-200.0,-200.0,-70.89287,-200.0,-63.85068,-70.66589,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.125068,-200.0,-200.0,-70.07612,-200,-200.0,-200.0
27,A07,-71.841995,-200.0,-200.0,-200.0,-69.337765,-200.0,-63.393196,-70.74173,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-70.013405,-200,-200.0,-200.0
28,A07,-200.0,-200.0,-200.0,-200.0,-69.337765,-71.24952,-59.7644255,-70.64493,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.614716,-200,-200.0,-200.0
29,A07,-71.17956,-200.0,-200.0,-200.0,-71.01904,-200.0,-63.313995,-69.929275,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.13593,-200,-200.0,-200.0
30,A07,-200.0,-200.0,-200.0,-200.0,-71.07621,-71.733,-63.129814,-70.66426,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.60513499999999,-200,-200.0,-200.0
31,A07,-200.0,-200.0,-200.0,-200.0,-71.01503,-200.0,-62.850536,-70.6822,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.125068,-200.0,-200.0,-69.07409,-200,-200.0,-200.0
32,A07,-200.0,-200.0,-200.0,-200.0,-69.337765,-71.76054,-59.7644255,-70.48882,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.0167,-200,-200.0,-200.0
33,A07,-200.0,-200.0,-200.0,-200.0,-69.337765,-71.24952,-59.7644255,-70.98054,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.91079,-200,-200.0,-200.0
34,A07,-71.17956,-200.0,-200.0,-200.0,-70.84746,-200.0,-59.7644255,-69.929275,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.76031,-200,-200.0,-200.0
35,A07,-71.17956,-200.0,-200.0,-200.0,-70.69244,-200.0,-63.339367,-71.18538,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.60513499999999,-200,-200.0,-200.0
36,A07,-200.0,-200.0,-200.0,-200.0,-70.495155,-200.0,-63.163998,-71.176056,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.125068,-200.0,-200.0,-68.61964,-200,-200.0,-200.0
37,A07,-200.0,-200.0,-200.0,-200.0,-69.337765,-200.0,-63.10382,-71.11761,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.64268,-200.0,-200.0,-68.48788,-200,-200.0,-200.0
38,A07,-200.0,-200.0,-200.0,-200.0,-69.337765,-71.24952,-59.7644255,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.406075,-200.0,-200.0,-68.56303,-200,-200.0,-200.0
39,A07,-71.17956,-200.0,-200.0,-200.0,-70.31161,-200.0,-63.35334,-69.929275,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.07609,-200,-200.0,-200.0
40,A07,-71.17956,-200.0,-200.0,-200.0,-70.1404,-200.0,-63.134373,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.125068,-200.0,-200.0,-69.60513499999999,-200,-200.0,-200.0
41,A07,-200.0,-200.0,-200.0,-200.0,-70.235176,-200.0,-62.6804,-71.03835,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.125068,-200.0,-200.0,-69.16972,-200,-200.0,-200.0
42,A07,-200.0,-200.0,-200.0,-200.0,-69.337765,-200.0,-59.7644255,-70.84522,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.32248,-200.0,-200.0,-69.01686,-200,-200.0,-200.0
43,A07,-200.0,-200.0,-200.0,-200.0,-69.337765,-71.24952,-59.7644255,-71.042404,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.01605,-200,-200.0,-200.0
44,A07,-200.0,-200.0,-200.0,-200.0,-70.47484,-200.0,-62.548637,-69.929275,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.95293,-200.0,-200.0,-68.96783,-200,-200.0,-200.0
45,A07,-200.0,-200.0,-200.0,-200.0,-70.40154,-200.0,-62.37593,-70.8519,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.66584,-200.0,-200.0,-69.60513499999999,-200,-200.0,-200.0
46,A07,-200.0,-200.0,-200.0,-200.0,-70.33265,-200.0,-62.1649,-70.671524,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.125068,-200.0,-200.0,-68.7337,-200,-200.0,-200.0
47,A07,-200.0,-200.0,-200.0,-200.0,-69.337765,-200.0,-62.157017,-70.407486,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.29923,-200.0,-200.0,-68.55886,-200,-200.0,-200.0
48,A07,-200.0,-200.0,-200.0,-200.0,-69.337765,-200.0,-59.7644255,-70.15708,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.000275,-200.0,-200.0,-68.439735,-200,-200.0,-200.0
49,A07,-200.0,-200.0,-200.0,-200.0,-70.170456,-200.0,-62.291943,-69.929275,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-69.85888,-200.0,-200.0,-68.46568,-200,-200.0,-200.0
50,A07,-200.0,-200.0,-200.0,-200.0,-70.01756,-200.0,-62.183926,-69.82728,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-69.865486,-200.0,-200.0,-69.60513499999999,-200,-200.0,-200.0
51,A07,-200.0,-200.0,-200.0,-200.0,-69.825424,-200.0,-61.753857,-69.6517,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.125068,-200.0,-200.0,-68.35206,-200,-200.0,-200.0
52,A07,-200.0,-200.0,-200.0,-200.0,-69.337765,-200.0,-61.299767,-69.66762,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.10453,-200.0,-200.0,-68.51941,-200,-200.0,-200.0
53,A07,-200.0,-200.0,-200.0,-200.0,-69.337765,-200.0,-59.7644255,-70.04689,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.23861,-200.0,-200.0,-68.632744,-200,-200.0,-200.0
54,A07,-200.0,-200.0,-200.0,-200.0,-69.501495,-200.0,-60.822815,-69.929275,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.2737,-200.0,-200.0,-68.558426,-200,-200.0,-200.0
55,A07,-200.0,-200.0,-200.0,-200.0,-69.19509,-200.0,-60.41625,-70.180855,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.30702,-200.0,-200.0,-69.60513499999999,-200,-200.0,-200.0
56,A07,-200.0,-200.0,-200.0,-200.0,-69.04547,-200.0,-59.984272,-70.35356,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.125068,-200.0,-200.0,-68.39701,-200,-200.0,-200.0
57,A07,-200.0,-200.0,-200.0,-200.0,-69.337765,-200.0,-59.61948,-70.56308,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.475746,-200.0,-200.0,-68.37906,-200,-200.0,-200.0
58,A07,-200.0,-200.0,-200.0,-200.0,-69.337765,-200.0,-59.7644255,-70.85258,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.727196,-200.0,-200.0,-68.22669,-200,-200.0,-200.0
59,A07,-200.0,-200.0,-200.0,-200.0,-68.810585,-200.0,-59.318172,-69.929275,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.92103,-200.0,-200.0,-68.08157,-200,-200.0,-200.0
60,A07,-200.0,-200.0,-200.0,-200.0,-68.54151,-200.0,-59.031563,-70.90406,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.01504,-200.0,-200.0,-69.60513499999999,-200,-200.0,-200.0
61,A07,-200.0,-200.0,-200.0,-200.0,-68.470474,-200.0,-58.84925,-70.908356,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.125068,-200.0,-200.0,-68.07791,-200,-200.0,-200.0
62,A07,-200.0,-200.0,-200.0,-200.0,-69.337765,-200.0,-58.991325,-70.867775,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.788895,-200.0,-200.0,-68.029655,-200,-200.0,-200.0
63,A07,-200.0,-200.0,-200.0,-200.0,-68.54065,-200.0,-59.7644255,-70.87367,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.52854,-200.0,-200.0,-68.02833,-200,-200.0,-200.0
64,A07,-200.0,-200.0,-200.0,-200.0,-68.56164,-200.0,-59.081665,-69.929275,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.280495,-200.0,-200.0,-68.07166,-200,-200.0,-200.0
65,A07,-200.0,-200.0,-200.0,-200.0,-68.71815,-200.0,-59.2126,-70.968346,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.13363,-200.0,-200.0,-69.60513499999999,-200,-200.0,-200.0
66,A07,-200.0,-200.0,-200.0,-200.0,-68.86702,-200.0,-59.561237,-71.014206,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.125068,-200.0,-200.0,-68.38014,-200,-200.0,-200.0
67,A07,-200.0,-200.0,-200.0,-200.0,-69.337765,-200.0,-59.93828,-71.10236,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.21702,-200.0,-200.0,-68.585526,-200,-200.0,-200.0
68,A07,-200.0,-200.0,-200.0,-200.0,-69.337765,-71.24952,-59.7644255,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.11814,-200.0,-200.0,-68.7815,-200,-200.0,-200.0
69,A07,-200.0,-200.0,-200.0,-200.0,-69.053925,-200.0,-59.941032,-69.929275,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.11288,-200.0,-200.0,-69.01288,-200,-200.0,-200.0
70,A07,-200.0,-200.0,-200.0,-200.0,-69.231865,-200.0,-59.765564,-71.69246,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.15231,-200.0,-200.0,-69.60513499999999,-200,-200.0,-200.0
71,A07,-200.0,-200.0,-200.0,-200.0,-69.35636,-200.0,-59.55371,-71.52911,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.125068,-200.0,-200.0,-69.3223,-200,-200.0,-200.0
72,A07,-200.0,-200.0,-200.0,-200.0,-69.34038,-200.0,-59.30716,-71.373146,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.05676,-200.0,-200.0,-69.57347,-200,-200.0,-200.0
73,A07,-200.0,-200.0,-200.0,-200.0,-69.337765,-71.24952,-59.7644255,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.09859,-200.0,-200.0,-69.81329,-200,-200.0,-200.0
74,A07,-200.0,-200.0,-200.0,-200.0,-69.59375,-200.0,-59.20487,-69.929275,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.271355,-200.0,-200.0,-70.08647,-200,-200.0,-200.0
75,A07,-71.17956,-200.0,-200.0,-200.0,-69.835304,-200.0,-59.151512,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.4363,-200.0,-200.0,-69.60513499999999,-200,-200.0,-200.0
76,A07,-200.0,-200.0,-200.0,-200.0,-69.708855,-71.37916,-59.18905,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.125068,-200.0,-200.0,-70.47973,-200,-200.0,-200.0
77,A07,-200.0,-200.0,-200.0,-200.0,-69.337765,-200.0,-59.31328,-71.328255,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.68218,-200.0,-200.0,-70.37041,-200,-200.0,-200.0
