,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,E04,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-80.0,-200.0,-200.0,-200,-200,-200,-200,-200,-77.0,-56.0,-71.0,-79.0,-69.023848,-200,-200.0,-79.0
1,E04,-200.0,-200,-200.0,-200.0,-200.0,-79.998,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-77.0,-55.9988115,-71.0,-79.0,-69.023848,-200,-200.0,-78.499504
2,E04,-200.0,-200,-200.0,-200.0,-200.0,-80.618065,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-77.61528,-55.9988115,-67.75208,-78.66556,-69.0,-200,-200.0,-79.67022
3,E04,-200.0,-200,-200.0,-200.0,-200.0,-81.00199,-81.75772,-200.0,-200.0,-200,-200,-200,-200,-200,-77.61528,-53.4975,-67.75208,-200.0,-69.0,-200,-200.0,-79.60242
4,E04,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-76.1910725,-200.0,-200.0,-200,-200,-200,-200,-200,-75.99667,-53.665558,-71.668884,-200.0,-68.66556,-200,-78.52078,-79.60242
5,E04,-200.0,-200,-200.0,-200.0,-200.0,-80.801994,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-75.745766,-53.49801,-71.75224,-80.00848,-69.023848,-200,-200.0,-79.24975
6,E04,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-80.99767,-200.0,-200.0,-200,-200,-200,-200,-200,-75.39244,-55.9988115,-71.6,-80.61393,-69.023848,-200,-200.0,-78.99681
7,E04,-200.0,-200,-200.0,-200.0,-200.0,-80.618065,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-77.61528,-55.9988115,-67.75208,-80.67944,-68.49801,-200,-200.0,-78.827644
8,E04,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-81.1276,-200.0,-200.0,-200,-200,-200,-200,-200,-75.49555,-53.397217,-67.75208,-200.0,-68.194824,-200,-81.837616,-79.60242
9,E04,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-76.1910725,-200.0,-200.0,-200,-200,-200,-200,-200,-75.12985,-54.008625,-71.49818,-200.0,-67.99206,-200,-78.52078,-80.025246
10,E04,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-74.72506,-53.567734,-71.42517,-80.63247,-68.13976,-200,-78.52078,-80.151306
